special_id,product_fit_verdict
1,KEEP
2,KEEP
3,KEEP
4,KEEP_REFERENCE_ONLY
5,KEEP_REFERENCE_ONLY
6,KEEP
7,KEEP_REFERENCE_ONLY
8,KEEP
9,KEEP
10,KEEP
11,KEEP
12,KEEP
13,KEEP
14,KEEP
15,KEEP
16,KEEP
17,KEEP
18,KEEP
19,KEEP
20,KEEP
21,KEEP
22,KEEP
23,KEEP
24,KEEP
25,KEEP
26,KEEP
27,KEEP
28,KEEP
29,KEEP
30,KEEP
31,KEEP
32,KEEP
33,KEEP
34,KEEP
35,KEEP
36,KEEP
37,KEEP
38,KEEP
39,KEEP
40,KEEP
41,KEEP
42,KEEP
43,KEEP
44,KEEP
45,KEEP
46,KEEP
47,KEEP
48,KEEP
49,KEEP
50,KEEP
51,KEEP
52,KEEP
53,KEEP
54,KEEP
55,KEEP
56,KEEP
57,KEEP
58,KEEP
59,KEEP
60,KEEP
61,KEEP_REFERENCE_ONLY
62,KEEP
63,KEEP
64,KEEP
65,KEEP
66,KEEP
67,KEEP
68,KEEP
69,KEEP
70,REVIEW
71,KEEP
72,KEEP
73,KEEP
74,KEEP
75,KEEP
76,KEEP_REFERENCE_ONLY
77,KEEP_REFERENCE_ONLY
78,KEEP_REFERENCE_ONLY
79,KEEP_REFERENCE_ONLY
80,KEEP_REFERENCE_ONLY
81,KEEP_REFERENCE_ONLY
82,KEEP_REFERENCE_ONLY
83,KEEP_REFERENCE_ONLY
84,KEEP
85,KEEP
86,KEEP
87,KEEP
88,KEEP
89,KEEP
90,KEEP
91,KEEP
92,KEEP
93,KEEP
94,KEEP
95,KEEP
96,KEEP_REFERENCE_ONLY
97,KEEP_REFERENCE_ONLY
98,KEEP_REFERENCE_ONLY
99,KEEP_REFERENCE_ONLY
100,KEEP
101,KEEP
102,KEEP
103,KEEP
104,KEEP
105,KEEP
106,KEEP
107,KEEP
108,KEEP
109,KEEP
110,KEEP
111,KEEP
112,KEEP_REFERENCE_ONLY
113,KEEP_REFERENCE_ONLY
114,KEEP_REFERENCE_ONLY
115,KEEP_REFERENCE_ONLY
116,KEEP_REFERENCE_ONLY
117,KEEP
118,KEEP
119,KEEP
120,KEEP
121,KEEP
122,KEEP
123,KEEP
124,KEEP
125,KEEP
126,KEEP
127,KEEP
128,KEEP
129,KEEP
130,KEEP
131,KEEP
132,KEEP
133,KEEP
134,KEEP
135,KEEP
136,KEEP
137,KEEP
138,KEEP
139,KEEP
140,KEEP
141,KEEP
142,KEEP
143,KEEP_REFERENCE_ONLY
144,KEEP_REFERENCE_ONLY
145,KEEP
146,KEEP
147,KEEP
148,KEEP
149,KEEP
150,KEEP
151,KEEP
152,KEEP
153,KEEP
154,KEEP
155,KEEP
156,KEEP
157,KEEP
158,KEEP
159,KEEP
160,KEEP
161,KEEP
162,KEEP
163,KEEP_REFERENCE_ONLY
164,KEEP_REFERENCE_ONLY
165,KEEP_REFERENCE_ONLY
166,KEEP_REFERENCE_ONLY
167,KEEP_REFERENCE_ONLY
168,KEEP_REFERENCE_ONLY
169,KEEP
170,KEEP
171,KEEP
172,KEEP
173,KEEP
174,KEEP
175,KEEP
176,KEEP
177,KEEP
178,KEEP
179,KEEP
180,KEEP
181,KEEP
182,KEEP
183,KEEP
184,KEEP
185,KEEP
186,KEEP
187,KEEP
188,KEEP
189,KEEP_REFERENCE_ONLY
190,KEEP_REFERENCE_ONLY
191,KEEP_REFERENCE_ONLY
192,KEEP
193,KEEP
194,KEEP
195,KEEP
196,KEEP
197,KEEP
198,KEEP
199,KEEP
200,KEEP
201,KEEP_REFERENCE_ONLY
202,KEEP_REFERENCE_ONLY
203,KEEP
204,KEEP_REFERENCE_ONLY
205,KEEP
206,KEEP_REFERENCE_ONLY
207,KEEP_REFERENCE_ONLY
208,KEEP
209,KEEP
210,KEEP
211,KEEP
212,KEEP
213,KEEP
214,KEEP_REFERENCE_ONLY
215,KEEP
216,KEEP
217,KEEP
218,KEEP_REFERENCE_ONLY
219,KEEP
220,KEEP_REFERENCE_ONLY
221,KEEP_REFERENCE_ONLY
222,KEEP_REFERENCE_ONLY
223,KEEP_REFERENCE_ONLY
224,KEEP
225,KEEP
226,KEEP
227,KEEP
228,KEEP
229,KEEP
230,KEEP
231,KEEP
232,KEEP
233,KEEP
234,KEEP
235,KEEP
236,KEEP
237,KEEP
238,KEEP
239,KEEP
240,KEEP
241,KEEP
242,KEEP
243,KEEP
244,KEEP_REFERENCE_ONLY
245,KEEP_REFERENCE_ONLY
246,KEEP_REFERENCE_ONLY
247,KEEP_REFERENCE_ONLY
248,KEEP
249,KEEP_REFERENCE_ONLY
250,KEEP
251,KEEP_REFERENCE_ONLY
252,KEEP
253,KEEP
254,KEEP
255,KEEP_REFERENCE_ONLY
256,KEEP_REFERENCE_ONLY
257,KEEP_REFERENCE_ONLY
258,KEEP_REFERENCE_ONLY
259,KEEP_REFERENCE_ONLY
260,KEEP
261,KEEP
262,KEEP
263,KEEP
264,KEEP
265,KEEP
266,KEEP
267,KEEP
268,KEEP
269,KEEP
270,KEEP
271,KEEP
272,KEEP
273,KEEP
274,KEEP
275,KEEP
276,KEEP
277,KEEP
278,KEEP
279,KEEP
280,KEEP
281,KEEP
282,KEEP
283,KEEP
284,KEEP
285,KEEP
286,KEEP
287,KEEP
288,KEEP
289,KEEP
290,KEEP
291,KEEP
292,KEEP
293,KEEP
294,KEEP
295,KEEP
296,KEEP
297,KEEP
298,KEEP_REFERENCE_ONLY
299,KEEP_REFERENCE_ONLY
300,KEEP
301,KEEP
302,KEEP
303,KEEP_REFERENCE_ONLY
304,KEEP
305,KEEP_REFERENCE_ONLY
306,KEEP_REFERENCE_ONLY
307,KEEP
308,KEEP_REFERENCE_ONLY
309,REVIEW
310,KEEP
311,KEEP
312,KEEP
313,KEEP
314,KEEP
315,KEEP_REFERENCE_ONLY
316,KEEP
317,KEEP_REFERENCE_ONLY
318,KEEP
319,KEEP_REFERENCE_ONLY
320,KEEP
321,KEEP_REFERENCE_ONLY
322,KEEP_REFERENCE_ONLY
323,KEEP_REFERENCE_ONLY
324,KEEP
325,KEEP
326,KEEP
327,KEEP
328,KEEP_REFERENCE_ONLY
329,KEEP_REFERENCE_ONLY
330,KEEP_REFERENCE_ONLY
331,KEEP
332,KEEP
333,KEEP
334,KEEP
335,KEEP
336,KEEP
337,KEEP
338,KEEP
339,KEEP
340,KEEP
341,KEEP
342,KEEP
343,KEEP
344,KEEP
345,KEEP
346,KEEP
347,KEEP
348,KEEP
349,KEEP
350,KEEP
351,KEEP
352,KEEP
353,KEEP
354,KEEP
355,KEEP
356,KEEP
357,KEEP
358,KEEP
359,KEEP
360,KEEP
361,KEEP
362,KEEP
363,KEEP
364,KEEP
365,KEEP
366,KEEP
367,KEEP
368,KEEP
369,KEEP
370,KEEP
371,KEEP
372,KEEP
373,KEEP
374,KEEP
375,KEEP
376,KEEP
377,KEEP
378,KEEP
379,KEEP
380,KEEP
381,KEEP
382,KEEP
383,KEEP
384,KEEP
385,KEEP
386,KEEP
387,KEEP
388,KEEP
389,KEEP
390,KEEP
391,KEEP
392,KEEP
393,KEEP
394,KEEP
395,KEEP
396,KEEP
397,KEEP
398,KEEP
399,KEEP
400,KEEP
401,KEEP_REFERENCE_ONLY
402,KEEP_REFERENCE_ONLY
403,KEEP_REFERENCE_ONLY
404,KEEP_REFERENCE_ONLY
405,KEEP_REFERENCE_ONLY
406,KEEP_REFERENCE_ONLY
407,KEEP_REFERENCE_ONLY
408,KEEP_REFERENCE_ONLY
409,KEEP_REFERENCE_ONLY
410,KEEP_REFERENCE_ONLY
411,KEEP_REFERENCE_ONLY
412,KEEP_REFERENCE_ONLY
413,KEEP_REFERENCE_ONLY
414,KEEP_REFERENCE_ONLY
415,KEEP_REFERENCE_ONLY
416,KEEP_REFERENCE_ONLY
417,KEEP
418,KEEP_REFERENCE_ONLY
419,KEEP_REFERENCE_ONLY
420,KEEP
421,KEEP_REFERENCE_ONLY
422,KEEP_REFERENCE_ONLY
423,KEEP
424,KEEP
425,KEEP
426,KEEP
427,KEEP
428,KEEP
429,KEEP
430,KEEP
431,KEEP
432,KEEP
433,KEEP
434,KEEP
435,KEEP
436,KEEP
437,KEEP
438,REVIEW
439,KEEP
440,KEEP_REFERENCE_ONLY
441,KEEP_REFERENCE_ONLY
442,KEEP_REFERENCE_ONLY
443,KEEP
444,REVIEW
445,REVIEW
446,KEEP_REFERENCE_ONLY
447,KEEP_REFERENCE_ONLY
448,KEEP_REFERENCE_ONLY
449,KEEP_REFERENCE_ONLY
450,KEEP_REFERENCE_ONLY
