canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
artia,hololive_china,https://safebooru.donmai.us/wiki_pages/hololive_china,DANBOORU_CURATED_CHARACTER_LIST,"the listed Hololive China second generation member; the branch page explicitly names this member; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
civia,hololive_china,https://safebooru.donmai.us/wiki_pages/hololive_china,DANBOORU_CURATED_CHARACTER_LIST,"the listed Hololive China first generation member; the branch page explicitly names this member; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
fubuchun,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Fubuki's named hololive Gamers mascot; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
futo-inu,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Korone's listed channel mascot; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
houshou_kumarine,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Marine's named character entry on the Hololive mascot roster; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
mikodanye,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"the roster identifies Mikodanye as an event mascot that became an alternate/separate character; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
miochun,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Mio's named hololive Gamers mascot; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
pokobee,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Iroha's named mascot on the Hololive roster; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
subaru_duck,hololive,https://safebooru.donmai.us/wiki_pages/list_of_hololive_mascots,DANBOORU_CURATED_CHARACTER_LIST,"Subaru's named mascot on the Hololive roster; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
white_burinyan,hololive,https://safebooru.donmai.us/wiki_pages/white_burinyan,DANBOORU_CURATED_CHARACTER_LIST,"the page identifies this exact alter-ego as Shirakami Fubuki of hololive; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
yozora_mel,hololive,https://safebooru.donmai.us/wiki_pages/hololive,DANBOORU_CURATED_CHARACTER_LIST,"the curated Hololive member list names Yozora Mel in 1st Generation and records her terminated status; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
uruha_rushia,hololive,https://safebooru.donmai.us/wiki_pages/hololive,DANBOORU_CURATED_CHARACTER_LIST,"the curated Hololive member list names Uruha Rushia in 3rd Generation and records her terminated status; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
mano_aloe,hololive,https://safebooru.donmai.us/wiki_pages/hololive,DANBOORU_CURATED_CHARACTER_LIST,"the curated Hololive member list names Mano Aloe in 5th Generation and records her graduation; the exact listed entity is assigned to the specific Hololive branch/root named by the page.",Exact named mascot/member entry only; fanbase labels, office staff, stream collabs, and unlisted character concepts are excluded.
