canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
chirizuka_ubame,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Chirizuka Ubame in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 1 Midboss/Boss.
houjuu_chimi,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Houjuu Chimi in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 2 Midboss/Boss.
michigami_nareko,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Michigami Nareko in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 3 Boss.
yuiman_asama,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Yuiman Asama in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 4 Boss / Extra Midboss.
watatsuki_no_toyohime,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Watatsuki no Toyohime in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 5 Boss.
iwanaga_ariya,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Iwanaga Ariya in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Stage 6 Boss.
watari_nina,touhou,https://safebooru.donmai.us/wiki_pages/fossilized_wonders,DANBOORU_CURATED_CHARACTER_LIST,"The curated Touhou Fossilized Wonders game page explicitly names Watari Nina in its Characters roster and identifies the work as a mainline Touhou game; this exact tag is mapped to Touhou.",Fossilized Wonders: Extra Stage Boss.
asakura_rikako,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names asakura rikako in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
noroiko,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names noroiko in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
evil_eye_sigma,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names evil eye sigma in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
ruukoto,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names ruukoto in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
mimi-chan,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names mimi-chan in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
cirno,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names cirno in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
clownpiece,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names clownpiece in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
dark_haired_kappa,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names dark haired kappa in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
doremy_sweet,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names doremy sweet in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
ebisu_eika,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names ebisu eika in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
eternity_larva,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names eternity larva in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
fujiwara_no_mokou,touhou,https://safebooru.donmai.us/wiki_pages/list_of_touhou_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated List of Touhou Characters explicitly names fujiwara no mokou in its work/debut-organized character roster; this exact listed Character tag is assigned to the accepted Touhou Copyright root.",Exact named roster entry; no discovery hint or similarity inference.
