canonical_tag,home_copyright,source_population,evidence_url,evidence_type
pikachu,pokemon,UNQUALIFIED,https://zukan.pokemon.co.jp/detail/0025,POKEMON_OFFICIAL_POKEDEX_EXACT
lapras,pokemon,UNQUALIFIED,https://www.pokemon.co.jp/ex/sun_moon/pokemon/160826_01.html,POKEMON_OFFICIAL_POKEDEX_EXACT
gotoh_hitori,bocchi_the_rock!,UNQUALIFIED,https://bocchi.rocks/omnibus/character/,BOCCHI_OFFICIAL_CHARACTER_EXACT
hakurei_reimu,touhou,UNQUALIFIED,https://touhou-project.news/shanghai-alice-reprise/,TOUHOU_OFFICIAL_CHARACTER_EXACT
kirisame_marisa,touhou,UNQUALIFIED,https://touhou-project.news/shanghai-alice-reprise/,TOUHOU_OFFICIAL_CHARACTER_EXACT
flandre_scarlet,touhou,UNQUALIFIED,https://touhou-project.news/shanghai-alice-reprise/,TOUHOU_OFFICIAL_CHARACTER_EXACT
gawr_gura,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/gawr-gura/,HOLOLIVE_OFFICIAL_TALENT_EXACT
mori_calliope,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/mori-calliope/,HOLOLIVE_OFFICIAL_TALENT_EXACT
takanashi_kiara,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/takanashi-kiara/,HOLOLIVE_OFFICIAL_TALENT_EXACT
usada_pekora,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/usada-pekora/,HOLOLIVE_OFFICIAL_TALENT_EXACT
nekomata_okayu,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/nekomata-okayu/,HOLOLIVE_OFFICIAL_TALENT_EXACT
sakura_miko,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/sakuramiko/,HOLOLIVE_OFFICIAL_TALENT_EXACT
shirakami_fubuki,hololive,UNQUALIFIED,https://hololive.hololivepro.com/talents/shirakami-fubuki/,HOLOLIVE_OFFICIAL_TALENT_EXACT
muse_(amaburi),amagi_brilliant_park,IP_REMAINING,https://amaburi.jp/character/,AMABURI_OFFICIAL_CHARACTER_EXACT
sylphy_(amaburi),amagi_brilliant_park,IP_REMAINING,https://amaburi.jp/character/,AMABURI_OFFICIAL_CHARACTER_EXACT
salama_(amaburi),amagi_brilliant_park,IP_REMAINING,https://amaburi.jp/character/,AMABURI_OFFICIAL_CHARACTER_EXACT
koborii_(amaburi),amagi_brilliant_park,IP_REMAINING,https://amaburi.jp/character/,AMABURI_OFFICIAL_CHARACTER_EXACT
macaron_(amaburi),amagi_brilliant_park,IP_REMAINING,https://amaburi.jp/character/,AMABURI_OFFICIAL_CHARACTER_EXACT
miia_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
papi_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
suu_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
lala_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
zombina_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
doppel_(monster_musume),monster_musume_no_iru_nichijou,IP_REMAINING,https://monmusu.tv/product/1289/,MONMUSU_OFFICIAL_CAST_EXACT
aladdin_(magi),magi_the_labyrinth_of_magic,IP_REMAINING,https://www.project-magi.com/staff/,MAGI_OFFICIAL_CAST_EXACT
sinbad_(magi),magi_the_labyrinth_of_magic,IP_REMAINING,https://www.project-magi.com/staff/,MAGI_OFFICIAL_CAST_EXACT
ja'far_(magi),magi_the_labyrinth_of_magic,IP_REMAINING,https://www.project-magi.com/staff/,MAGI_OFFICIAL_CAST_EXACT
scheherazade_(magi),magi_the_labyrinth_of_magic,IP_REMAINING,https://www.project-magi.com/staff/,MAGI_OFFICIAL_CAST_EXACT
douki-chan_(douki-chan),ganbare_douki-chan,IP_REMAINING,https://doukichan-anime.com/,DOUKICHAN_OFFICIAL_CHARACTER_EXACT
douki-kun_(douki-chan),ganbare_douki-chan,IP_REMAINING,https://doukichan-anime.com/,DOUKICHAN_OFFICIAL_CAST_EXACT
kouhai-chan_(douki-chan),ganbare_douki-chan,IP_REMAINING,https://doukichan-anime.com/,DOUKICHAN_OFFICIAL_CHARACTER_EXACT
senpai-san_(douki-chan),ganbare_douki-chan,IP_REMAINING,https://doukichan-anime.com/,DOUKICHAN_OFFICIAL_CHARACTER_EXACT
king_(nadia),fushigi_no_umi_no_nadia,IP_REMAINING,https://www.nhk-character.com/character/nadia.html,NHK_NADIA_OFFICIAL_CHARACTER_EXACT
electra_(nadia),fushigi_no_umi_no_nadia,IP_REMAINING,https://www.nhk-character.com/chara/nadia/,NHK_NADIA_OFFICIAL_CHARACTER_EXACT
nemo_(nadia),fushigi_no_umi_no_nadia,IP_REMAINING,https://www.nhk-character.com/chara/nadia/,NHK_NADIA_OFFICIAL_CHARACTER_EXACT
sanson_(nadia),fushigi_no_umi_no_nadia,IP_REMAINING,https://www.nhk-character.com/chara/nadia/,NHK_NADIA_OFFICIAL_CHARACTER_EXACT
