global_row,canonical,classification_status,primary_genre_id,primary_subgenre_id,secondary_paths,confidence,reason_ja
5701,computer_fan,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「computer_fan」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5702,computer_keyboard,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「computer_keyboard」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5703,computer_mouse,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「computer_mouse」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5704,computer_tower,PROPOSED,OBJECT_PROP,DAILY,[],HIGH,「computer_tower」は日用品・道具の具体的な物体を示し、物品の種類から直接探せるため。
5705,concealed_weapon,PROPOSED,OBJECT_PROP,WEAPON,[],MEDIUM,「concealed_weapon」は武器・戦闘道具の種類を示すため、道具・小物の武器から探せるため。
5706,concentrating,PROPOSED,EXPRESSION_EMOTION,,[],HIGH,「concentrating」は人物の表情・心理状態を示し、表情・感情から探せるため。
5707,concentric_circles,PROPOSED,COLOR_APPEARANCE,,[],MEDIUM,「concentric_circles」は独立した図形・色柄の視覚特徴として検索するのが実用的なため。
5708,concept_gyarus_(idolmaster),UNRESOLVED,,,[],LOW,「concept_gyarus_(idolmaster)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5709,concept_maihime_(idolmaster),UNRESOLVED,,,[],LOW,「concept_maihime_(idolmaster)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5710,concept_police_(idolmaster),UNRESOLVED,,,[],LOW,「concept_police_(idolmaster)」は固有名・ミーム・抽象概念の意味が絵の具体的な対象を一意に示さず、名称だけでは安全な分類先を決められないため。
5711,concert,PROPOSED,PLACE_BACKGROUND,,[],MEDIUM,「concert」は場所・建造物・行事の場面を示すため、背景の探索経路が実用的なため。
5712,conch,PROPOSED,OBJECT_PROP,DAILY,[],MEDIUM,「conch」は巻き貝の殻を手に取る物体として示すため、道具・小物から探すのが実用的なため。
