canonical,source_batch,source_global_row,old_primary_path,new_primary_path,old_secondary_paths,new_secondary_paths,rule
typewriter,34,28413,OBJECT_PROP/DEVICE,OBJECT_PROP,[],[],top_level_fallback:DEVICE
typhoon,34,28414,LIGHT_TIME_WEATHER/WEATHER,LIGHT_TIME_WEATHER,[],[],top_level_fallback:WEATHER
typing,34,28416,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
typo,34,28417,STYLE_QUALITY_META/METADATA,STYLE_QUALITY_META,[],[],top_level_fallback:METADATA
tyrannosaurus_rex,34,28418,LIVING_NATURE/ANIMAL,LIVING_NATURE/CREATURE,[],[],explicit_alias:ANIMAL->CREATURE
u.a._cheerleader_uniform,34,28423,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
u.a._gym_uniform,34,28424,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
u.a._school_uniform,34,28425,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
ubel_(sousou_no_frieren)_(cosplay),34,28428,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
uchiha_sasuke_(cosplay),34,28431,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
uchikake,34,28433,CLOTHING/DRESSES_OUTFITS,CLOTHING,[],[],top_level_fallback:DRESSES_OUTFITS
uchiwa_(medium),34,28436,STYLE_QUALITY_META/MEDIUM,STYLE_QUALITY_META,[],[],top_level_fallback:MEDIUM
udder,34,28438,BODY_PART/ANATOMY,BODY_PART,[],[],top_level_fallback:ANATOMY
ueda_hajime_(style),34,28440,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
ueda_masashi_(style),34,28441,STYLE_QUALITY_META/STYLE,STYLE_QUALITY_META,[],[],top_level_fallback:STYLE
