ID,Claim,SOURCE_CLASS,STATUS,SCOPE,VALIDATION_STATE,source/evidence,last_checked,supersedes/contradicted_by,downstream_relevance
K-GOV-001,Every generation claim must retain model family/version/profile scope; exact-family behavior must not be silently generalized.,PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/catalog/00_FOUNDATIONS_AND_AUTHORITY.md; docs/knowledge/catalog/01_MODEL_FAMILIES.md,2026-09-09,,PROMPT;DEV;AUDIT;Stage10
K-GOV-002,"Canonical tag identity, Alias identity, implication/hierarchy, UI Japanese wording, model trigger surface, generation support, assisted-control capability, and evaluator verdict are separate authority layers.",PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/00_FOUNDATIONS_AND_AUTHORITY.md; docs/knowledge/catalog/06_SEMANTICS_ALIAS_TRIGGER.md,2026-09-09,,PROMPT;DEV;AUDIT;Stage10
K-GOV-003,Official or author-provided information can be accepted as a source fact without implying that the same setting is production-optimal for DanbooruTagTool.,PROJECT_FACT,ACCEPTED,PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/00_FOUNDATIONS_AND_AUTHORITY.md; docs/knowledge/research/WAI17_LOCAL_ENV_TEST_BASELINE_20260909.md,2026-09-09,,PROMPT;DEV;AUDIT;Stage10
K-GOV-004,Community/practical evidence is useful for hypothesis and failure discovery but does not become canonical semantic authority solely by frequency or popularity.,PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE;PROJECT_ONLY,NOT_REQUIRED,docs/knowledge/catalog/08_SOURCE_AND_SITE_AUDITS.md; docs/knowledge/research/SOURCE_AUTHORITY_MATRIX_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-SEM-001,Current Danbooru Wiki plus active Alias/Implication records are the primary authority for Danbooru semantic identity; implication is not synonymy.,SEMANTIC_AUTHORITY,ACCEPTED,PROJECT_ONLY,SOURCE_RECHECK_REQUIRED,docs/knowledge/catalog/06_SEMANTICS_ALIAS_TRIGGER.md; docs/knowledge/research/DANBOORU_WIKI_SEMANTIC_AUDIT_20260909.md,2026-09-09,,DEV;AUDIT;PROMPT
K-SEM-002,"e621 is a secondary vocabulary/training-surface source, especially relevant to NoobAI/nonhuman terminology, and must not silently replace Danbooru canonical identity.",SEMANTIC_AUTHORITY,ACCEPTED,PROJECT_ONLY;MODEL_VERSION:NoobAI-XL-1.1-EPS,SOURCE_RECHECK_REQUIRED,docs/knowledge/catalog/06_SEMANTICS_ALIAS_TRIGGER.md; docs/knowledge/research/E621_WIKI_SEMANTIC_TRIGGER_AUDIT_20260909.md,2026-09-09,,PROMPT;AUDIT;Stage10
K-SEM-003,Alias identity does not guarantee equal generation response under a model checkpoint.,PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/catalog/02_PROMPT_SUPPORT_AND_COMPOSITION.md; docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md,2026-09-09,Contradicts K-REJECT-004,PROMPT;Stage10
K-SEM-004,Exact canonical-vs-Alias-vs-historical trigger response is unresolved for WAI17 and other project models and requires controlled comparison under pinned versions.,PROJECT_FACT,HOLD,MODEL_VERSION:WAI-v17;MODEL_VERSION:NoobAI-XL-1.1-EPS;FAMILY:Anima,CONTROLLED_TEST_REQUIRED,docs/knowledge/catalog/09_OPEN_QUESTIONS_AND_HOLD.md; docs/knowledge/catalog/06_SEMANTICS_ALIAS_TRIGGER.md,2026-09-09,,PROMPT;Stage10
K-SEM-005,Anima author guidance can justify retaining Gelbooru-form spellings as exact-model trigger candidates without rewriting Danbooru canonical identity.,AUTHOR_GUIDE,ACCEPTED,FAMILY:Anima,SOURCE_RECHECK_REQUIRED,S-ANIMA-001; S-ANIMA-005; docs/knowledge/catalog/06_SEMANTICS_ALIAS_TRIGGER.md,2026-09-09,,PROMPT;Stage10
K-SEM-006,Current Danbooru post_count is not a direct probability estimate of model training exposure or concept knowledge.,PROJECT_FACT,ACCEPTED,GLOBAL_PRINCIPLE,NOT_REQUIRED,docs/knowledge/KNOWLEDGE_REASSESSMENT_20260909.md; docs/knowledge/GENERATION_KNOWLEDGE_CORPUS.md,2026-09-09,Contradicts K-REJECT-003,PROMPT;AUDIT;Stage10
