identity_key,state
abdomen_tail,LOW_RISK_BODY_CANDIDATE_V19
abs,LOW_RISK_BODY_CANDIDATE_V19
absurdly_long_tail,LOW_RISK_BODY_CANDIDATE_V19
abyssal_ship_transformation,LOW_RISK_BODY_CANDIDATE_V19
accessory_tan,LOW_RISK_BODY_CANDIDATE_V19
achilles_tendon,LOW_RISK_BODY_CANDIDATE_V19
adam's_apple,LOW_RISK_BODY_CANDIDATE_V19
age_comparison,LOW_RISK_BODY_CANDIDATE_V19
age_progression,LOW_RISK_BODY_CANDIDATE_V19
age_regression,LOW_RISK_BODY_CANDIDATE_V19
age_switch,LOW_RISK_BODY_CANDIDATE_V19
aged_down,LOW_RISK_BODY_CANDIDATE_V19
aged_up,LOW_RISK_BODY_CANDIDATE_V19
albino,LOW_RISK_BODY_CANDIDATE_V19
allergy,LOW_RISK_BODY_CANDIDATE_V19
alpaca_ears,LOW_RISK_BODY_CANDIDATE_V19
alpaca_tail,LOW_RISK_BODY_CANDIDATE_V19
alternate_animal_ears,LOW_RISK_BODY_CANDIDATE_V19
alternate_body_fluid,LOW_RISK_BODY_CANDIDATE_V19
alternate_body_hair,LOW_RISK_BODY_CANDIDATE_V19
alternate_ears,LOW_RISK_BODY_CANDIDATE_V19
alternate_horns,LOW_RISK_BODY_CANDIDATE_V19
alternate_piercings,LOW_RISK_BODY_CANDIDATE_V19
alternate_size,LOW_RISK_BODY_CANDIDATE_V19
alternate_skin_color,LOW_RISK_BODY_CANDIDATE_V19
alternate_tail,LOW_RISK_BODY_CANDIDATE_V19
alternate_tail_color,LOW_RISK_BODY_CANDIDATE_V19
alternate_tattoo,LOW_RISK_BODY_CANDIDATE_V19
alternate_wing_color,LOW_RISK_BODY_CANDIDATE_V19
alternate_wings,LOW_RISK_BODY_CANDIDATE_V19
ambiguous_red_liquid,LOW_RISK_BODY_CANDIDATE_V19
american_flag_tattoo,LOW_RISK_BODY_CANDIDATE_V19
amnesia,LOW_RISK_BODY_CANDIDATE_V19
anatomy,LOW_RISK_BODY_CANDIDATE_V19
anchor_tattoo,LOW_RISK_BODY_CANDIDATE_V19
angel_wings,LOW_RISK_BODY_CANDIDATE_V19
animal_ear_fluff,LOW_RISK_BODY_CANDIDATE_V19
animal_ears,LOW_RISK_BODY_CANDIDATE_V19
animal_genitalia_on_humanoid,LOW_RISK_BODY_CANDIDATE_V19
animal_hands,LOW_RISK_BODY_CANDIDATE_V19
animal_head,LOW_RISK_BODY_CANDIDATE_V19
animal_legs,LOW_RISK_BODY_CANDIDATE_V19
animal_nose,LOW_RISK_BODY_CANDIDATE_V19
animal_skeleton,LOW_RISK_BODY_CANDIDATE_V19
animal_skull,LOW_RISK_BODY_CANDIDATE_V19
animal_with_hair,LOW_RISK_BODY_CANDIDATE_V19
ankh_tattoo,LOW_RISK_BODY_CANDIDATE_V19
ankle,LOW_RISK_BODY_CANDIDATE_V19
ankle_fins,LOW_RISK_BODY_CANDIDATE_V19
ankle_tattoo,LOW_RISK_BODY_CANDIDATE_V19
ankle_wings,LOW_RISK_BODY_CANDIDATE_V19
anteater_ears,LOW_RISK_BODY_CANDIDATE_V19
anteater_tail,LOW_RISK_BODY_CANDIDATE_V19
antelope_ears,LOW_RISK_BODY_CANDIDATE_V19
antelope_horns,LOW_RISK_BODY_CANDIDATE_V19
antennae,LOW_RISK_BODY_CANDIDATE_V19
anti-eyebrow_piercing,LOW_RISK_BODY_CANDIDATE_V19
antlers,LOW_RISK_BODY_CANDIDATE_V19
aqua_feathers,LOW_RISK_BODY_CANDIDATE_V19
aqua_fur,LOW_RISK_BODY_CANDIDATE_V19
aqua_horns,LOW_RISK_BODY_CANDIDATE_V19
aqua_nails,LOW_RISK_BODY_CANDIDATE_V19
aqua_scales,LOW_RISK_BODY_CANDIDATE_V19
aqua_skin,LOW_RISK_BODY_CANDIDATE_V19
aqua_tail,LOW_RISK_BODY_CANDIDATE_V19
aqua_wings,LOW_RISK_BODY_CANDIDATE_V19
arm_cast,LOW_RISK_BODY_CANDIDATE_V19
arm_fins,LOW_RISK_BODY_CANDIDATE_V19
arm_freckles,LOW_RISK_BODY_CANDIDATE_V19
arm_hair,LOW_RISK_BODY_CANDIDATE_V19
arm_markings,LOW_RISK_BODY_CANDIDATE_V19
arm_spikes,LOW_RISK_BODY_CANDIDATE_V19
arm_tattoo,LOW_RISK_BODY_CANDIDATE_V19
armadillo_ears,LOW_RISK_BODY_CANDIDATE_V19
armadillo_tail,LOW_RISK_BODY_CANDIDATE_V19
arrow_in_body,LOW_RISK_BODY_CANDIDATE_V19
arrow_in_head,LOW_RISK_BODY_CANDIDATE_V19
arrow_tattoo,LOW_RISK_BODY_CANDIDATE_V19
arthropod_limbs,LOW_RISK_BODY_CANDIDATE_V19
arthropod_tail,LOW_RISK_BODY_CANDIDATE_V19
artificial_wings,LOW_RISK_BODY_CANDIDATE_V19
asymmetrical_arms,LOW_RISK_BODY_CANDIDATE_V19
asymmetrical_ears,LOW_RISK_BODY_CANDIDATE_V19
asymmetrical_horns,LOW_RISK_BODY_CANDIDATE_V19
asymmetrical_wings,LOW_RISK_BODY_CANDIDATE_V19
automail,LOW_RISK_BODY_CANDIDATE_V19
axillary_tail_of_spence,LOW_RISK_BODY_CANDIDATE_V19
axolotl_ears,LOW_RISK_BODY_CANDIDATE_V19
axolotl_tail,LOW_RISK_BODY_CANDIDATE_V19
back,LOW_RISK_BODY_CANDIDATE_V19
back_fin,LOW_RISK_BODY_CANDIDATE_V19
back_muscles,LOW_RISK_BODY_CANDIDATE_V19
back_spikes,LOW_RISK_BODY_CANDIDATE_V19
back_tattoo,LOW_RISK_BODY_CANDIDATE_V19
backward-facing_horns,LOW_RISK_BODY_CANDIDATE_V19
badger_ears,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_cheek,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_face,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_hair,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_knee,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_leg,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_neck,LOW_RISK_BODY_CANDIDATE_V19
bandage_on_nose,LOW_RISK_BODY_CANDIDATE_V19
bandage_over_one_eye,LOW_RISK_BODY_CANDIDATE_V19
bandaged_ankle,LOW_RISK_BODY_CANDIDATE_V19
bandaged_arm,LOW_RISK_BODY_CANDIDATE_V19
bandaged_ear,LOW_RISK_BODY_CANDIDATE_V19
bandaged_fingers,LOW_RISK_BODY_CANDIDATE_V19
