identity_key,state,risk_flags
alternate_ass_size_(larger),BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
alternate_pectoral_size,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
aqua_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
arched_soles,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
armpit_crease,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
armpit_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
armpit_stubble,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
armpits,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
ass_blush,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
ass_expansion,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
ass_hair,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
ass_ripple,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
bandage_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandage_on_thigh,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaged_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaged_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaged_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaged_waist,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandages_over_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaid_on_ass,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
bandaid_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaid_on_foot,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaid_on_hip,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaid_on_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bandaid_on_thigh,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
barbed_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
belly,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
between_buttocks,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
between_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
between_pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
between_thighs,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
between_toes,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
big_belly,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
big_mouth,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bite_mark_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bite_mark_on_pectorals,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bite_mark_on_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bite_mark_on_thigh,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
blonde_armpit_hair,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
blue_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bruise_on_chest,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bruise_on_stomach,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
bulge,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
burnt_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
butt_crack,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
cat's_tongue,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
cat_feet,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
cheek_bulge,BODY_BOUNDARY_UNCLASSIFIED,sexualized_body_site
chest_blush,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_eye,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_freckles,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
chest_fur,BODY_BOUNDARY_UNCLASSIFIED,intimate_or_fetish_body_site
