row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-003451,janus_(kancolle),4,Character,janus_(kantai_collection),janus (kantai collection),,ジェーナス | ジェーナス(艦これ) | ジェーナス(艦隊これくしょん),,Janus,"[""kantai_collection"",""dragon_quest"",""dragon_quest_iii""]"
I70-003452,nanashi_mumei_(emo),4,Character,nanashi_mumei_(4th_costume),nanashi mumei (4th costume),,,,,"[""hololive"",""hololive_english"",""hololive_indonesia""]"
I70-003453,shirokane_rinko,4,Character,,,,,りんさよ | 白金燐子,,"[""bang_dream!"",""bang_dream!_girls_band_party!"",""bang_dream!_it's_mygo!!!!!""]"
I70-003454,shoukaku_(azur_lane),4,Character,,,,翔鶴(アズールレーン),翔鶴 | 鹬,,"[""azur_lane"",""kantai_collection"",""azur_lane:_slow_ahead""]"
I70-003455,creeper,4,Character,,,,たくみ | クリーパー,匠,creepers | minecraft_creeper | minecraftcreeper,"[""minecraft"",""mob_talker"",""touhou""]"
I70-003456,hugo_vlad,4,Character,,,,,ヒューゴ・ヴラド,,"[""zenless_zone_zero"",""mihoyo"",""honkai:_star_rail""]"
I70-003457,mia_(fire_emblem),4,Character,wayu_(fire_emblem),wayu (fire emblem),,ワユ,,,"[""fire_emblem"",""fire_emblem:_path_of_radiance"",""fire_emblem:_radiant_dawn""]"
I70-003458,aragaki_ayase,4,Character,,,,新垣あやせ,新垣绫濑,,"[""ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai"",""hoshikuzu_witch_meruru"",""idolmaster""]"
I70-003459,slowpoke,4,Character,,,,ヤドン,,,"[""pokemon"",""pokemon_(anime)"",""pokemon_sun_and_moon""]"
I70-003460,xie_lian,4,Character,,,,,谢怜,,"[""heaven_official's_blessing"",""the_scum_villain's_self-saving_system"",""grandmaster_of_demonic_cultivation""]"
I70-003461,yoneme_mei,4,Character,,,,メイこれかわいい | メイちゃんかわいいね | 四季メイ | 米女メイ,,,"[""love_live!"",""love_live!_superstar!!"",""special_color_(love_live!)""]"
I70-003462,applin,4,Character,,,,カジッチュ,,,"[""pokemon"",""pokemon_scarlet_and_violet"",""pokemon_sword_and_shield""]"
I70-003463,katsura_hinagiku,4,Character,,,,桂ヒナギク,,,"[""hayate_no_gotoku!"",""gundam"",""pokemon""]"
