special_id,canonical_or_tag,issue109_previous_verdict,verified_general_overlap,general_canonical_or_equivalent,general_display_ja,general_search_ja,general_browse_path,final_production_decision,final_reason,evidence_note,confidence
1,anus,GENERAL_SUFFICIENT_CANDIDATE,YES,anus,肛門,肛門,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,anusは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。anusとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=anus (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=肛門 and search_ja=肛門.",HIGH
49,presenting own body,NEEDS_REVIEW,YES,presenting_own_body,自分の身体を見せる,プレゼントは私,POSE_MOVEMENT,HUMAN_DECISION_REQUIRED,presenting own bodyは現行Generalに正規化可能なposeだが、Danbooru上の性的presentation templateとしてのSpecial価値と一般poseの境界を追加確認する必要がある。,"Current #64 effective sidecar contains normalized exact canonical=presenting_own_body (status=PROPOSED, path=POSE_MOVEMENT). Current Japanese overlay has display_ja=自分の身体を見せる and search_ja=プレゼントは私.",LOW
54,sex,GENERAL_SUFFICIENT_CANDIDATE,YES,sex,性行為,性行為,ACTION_CONTACT/INTIMATE,REMOVE_FROM_SPECIAL_CONFIRMED,sexは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。sexとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=sex (status=PROPOSED, path=ACTION_CONTACT/INTIMATE). Current Japanese overlay has display_ja=性行為 and search_ja=性行為.",HIGH
57,take your pick,NEEDS_REVIEW,YES,take_your_pick,好きな相手を選ぶ,多人身体展示,ACTION_CONTACT/INTERACTION,HUMAN_DECISION_REQUIRED,take your pickは現行Generalの日本語searchはあるが、通常の選択表現なのか特定の成人composition/templateなのか意味境界が不明で、REMOVE/KEEPを確定できない。,"Current #64 effective sidecar contains normalized exact canonical=take_your_pick (status=PROPOSED, path=ACTION_CONTACT/INTERACTION). Current Japanese overlay has display_ja=好きな相手を選ぶ and search_ja=多人身体展示.",LOW
213,urethra,GENERAL_SUFFICIENT_CANDIDATE,YES,urethra,にょうどう,にょうどう,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,urethraは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。urethraとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=urethra (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=にょうどう and search_ja=にょうどう.",HIGH
509,pussy,GENERAL_SUFFICIENT_CANDIDATE,YES,pussy,まんこ,まんこ,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,pussyは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。pussyとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=pussy (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=まんこ and search_ja=まんこ.",HIGH
578,penis,GENERAL_SUFFICIENT_CANDIDATE,YES,penis,陰茎,陰茎,BODY_PART,REMOVE_FROM_SPECIAL_CONFIRMED,penisは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。penisとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=penis (status=PROPOSED, path=BODY_PART). Current Japanese overlay has display_ja=陰茎 and search_ja=陰茎.",HIGH
636,nude,GENERAL_SUFFICIENT_CANDIDATE,YES,nude,ヌード,ヌード,CLOTHING_STATE_EXPOSURE,REMOVE_FROM_SPECIAL_CONFIRMED,nudeは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。nudeとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=nude (status=PROPOSED, path=CLOTHING_STATE_EXPOSURE). Current Japanese overlay has display_ja=ヌード and search_ja=ヌード.",HIGH
638,completely nude,GENERAL_SUFFICIENT_CANDIDATE,YES,completely_nude,完全な裸,完全な裸,CLOTHING_STATE_EXPOSURE,REMOVE_FROM_SPECIAL_CONFIRMED,completely nudeは一般的な身体部位・身体特徴で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。completely_nudeとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=completely_nude (status=PROPOSED, path=CLOTHING_STATE_EXPOSURE). Current Japanese overlay has display_ja=完全な裸 and search_ja=完全な裸.",HIGH
649,naughty face,GENERAL_SUFFICIENT_CANDIDATE,YES,naughty_face,いたずらっぽい顔,いたずらっぽい顔,EXPRESSION_EMOTION,REMOVE_FROM_SPECIAL_CONFIRMED,naughty faceは広いumbrella・meta・event概念で、特殊な行為・body-site relation・器具・consent/intensity・sexual topologyを独立指定しない。naughty_faceとして現行Generalの日本語display/searchと#64 browse pathが利用可能で、Specialから外しても日本語ユーザーの理解・発見能力は実用上ほぼ低下しない。,"Current #64 effective sidecar contains normalized exact canonical=naughty_face (status=PROPOSED, path=EXPRESSION_EMOTION). Current Japanese overlay has display_ja=いたずらっぽい顔 and search_ja=いたずらっぽい顔.",HIGH
