special_id,canonical_or_tag,general_overlap,previous_product_fit_verdict,final_reverse_audit_verdict,final_reason,general_discoverability_note,provenance_note,source_batch
1,anus,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,plain anatomy/body-site entry; General exact coverage exists and Special deep value comes from the specific anal acts/states around it rather than the bare body-part row,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
54,sex,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,"very broad umbrella concept; specific sex acts/positions remain in Special, while the umbrella itself adds little deep-discovery value",#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
213,urethra,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,bare anatomy/body-site entry; urethral insertion/play/sounding concepts remain Special and carry the actual deep-discovery value,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
509,pussy,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,bare anatomy/slang entry with General exact coverage; specific exposure/action/body-state rows remain Special,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
578,penis,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,bare anatomy entry with General exact coverage; specific penis states/actions/relations remain Special,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
636,nude,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,broad ordinary exposure state already covered by General; unusual/specific exposure states remain Special,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B1
638,completely nude,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,broad nudity intensity state; General exact coverage is sufficient and deep-discovery value is low,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B1
649,naughty face,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,general expression-level concept; unlike ahegao/torogao it has weak niche/deep-discovery specificity,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
664,zenra,YES,KEEP,GENERAL_SUFFICIENT_CANDIDATE,broad full-nudity concept with General exposure coverage; function substantially overlaps ordinary nudity discovery,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
665,nipples,YES,KEEP_REFERENCE_ONLY,GENERAL_SUFFICIENT_CANDIDATE,bare anatomy entry; specific nipple states/exposure/stimulation/piercing concepts remain Special,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B1
