special_id,canonical_or_tag,previous_decision,definition_evidence,general_route_evidence,special_deep_discovery_value,final_decision,final_reason,confidence
49,presenting own body,HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as displaying or emphasizing one's body in a sexually risqué or explicit manner, often inviting sex, teasing, or power play. Sources: https://danbooru.donmai.us/wiki_pages/show?title=presenting%20own%20body; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=presenting%20own%20body; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=presenting%20own%20body.","Current #64 effective sidecar canonical=presenting_own_body; status=PROPOSED; primary_path=POSE_MOVEMENT; Japanese overlay display=yes, search=yes.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,KEEP: the canonical definition is a distinct sexual presentation/invitation gesture with teasing or power-play meaning. A generic pose route does not replace its Special browse value.,HIGH
57,take your pick,HUMAN_DECISION_REQUIRED,Danbooru wiki defines this as multiple characters presenting their bodies or body parts invitingly as if saying pick one and come get it. Sources: https://danbooru.donmai.us/wiki_pages/show?title=take%20your%20pick; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=take%20your%20pick; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=take%20your%20pick.,"Current #64 effective sidecar canonical=take_your_pick; status=PROPOSED; primary_path=ACTION_CONTACT/INTERACTION; Japanese overlay display=yes, search=yes.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,"KEEP: this is a distinct multi-character sexual invitation template. The selection/invitation relation is the concept, not a generic action or pose.",HIGH
835,brown egyptian cat-eared loli (trend),HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as a drawing trend originating from an artist tweet, with named variants and example posts/assets. Sources: https://danbooru.donmai.us/wiki_pages/show?title=brown%20egyptian%20cat-eared%20loli%20%28trend%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=brown%20egyptian%20cat-eared%20loli%20%28trend%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=brown%20egyptian%20cat-eared%20loli%20%28trend%29.","Current #64 effective sidecar canonical=brown_egyptian_cat-eared_loli_(trend); status=PROPOSED; primary_path=STYLE_QUALITY_META; Japanese overlay display=no, search=no.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the canonical definition is a named drawing trend/event reference, not a concrete sexual, anatomical, positional, or fetish target. General style/meta handling is the natural home; no Special Core deep-discovery value was found.",HIGH
875,sex ed,HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as a character teaching the basic concepts of sex, with sexual coaching and anatomy as related concepts. Sources: https://danbooru.donmai.us/wiki_pages/show?title=sex%20ed; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=sex%20ed; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=sex%20ed.","Current #64 effective sidecar canonical=sex_ed; status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=yes, search=yes.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the definition is a broad educational scene/context concept. It does not identify a niche sexual action, body state, object, or topology that beginners need Special Core to discover. The unresolved General browse row does not justify keeping it in Special.",HIGH
876,slave gear (tsmg nao!),HUMAN_DECISION_REQUIRED,"Danbooru wiki describes this as a corrupted form from TS Magical Girl Nao, making it a work-specific franchise tag rather than a general fetish concept. Sources: https://danbooru.donmai.us/wiki_pages/show?title=slave%20gear%20%28tsmg%20nao%21%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=slave%20gear%20%28tsmg%20nao%21%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=slave%20gear%20%28tsmg%20nao%21%29.","Current #64 effective sidecar canonical=slave_gear_(tsmg_nao!); status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=no, search=no.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the definition identifies a corrupted work-specific form from TS Magical Girl Nao, not a reusable fetish or visual concept. Its franchise identity belongs in reference/copyright handling rather than Special Core.",HIGH
950,slave crest (shield hero),HUMAN_DECISION_REQUIRED,No exact wiki page was returned. Danbooru alias data records slave_crest_(shield_hero) -> slave_crest_(tate_no_yuusha_no_nariagari) with deleted status; the queried tag has no live post identity. Sources: https://danbooru.donmai.us/wiki_pages/show?title=slave%20crest%20%28shield%20hero%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=slave%20crest%20%28shield%20hero%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=slave%20crest%20%28shield%20hero%29.,No current #64 effective-sidecar row or Japanese overlay entry; no current General browse route was verified. This absence is not used as a KEEP reason.,Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the tag has no live exact wiki identity, zero live posts, and only a deleted alias to a franchise-specific slave crest tag. Keeping the stale Special identity would preserve an invalid/duplicative row.",HIGH
1052,nipple guessing game (meme),HUMAN_DECISION_REQUIRED,Danbooru wiki defines this as a meme about poking a girl's clothed breasts while trying to hit her nipples. Sources: https://danbooru.donmai.us/wiki_pages/show?title=nipple%20guessing%20game%20%28meme%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=nipple%20guessing%20game%20%28meme%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=nipple%20guessing%20game%20%28meme%29.,"Current #64 effective sidecar canonical=nipple_guessing_game_(meme); status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=no, search=no.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,KEEP: the definition is a distinct sexual meme/template involving clothed-breast nipple play. That visual action is intentionally discoverable in Special even though it is named as a meme.,HIGH
1055,slave visor (tsmg nao!),HUMAN_DECISION_REQUIRED,Danbooru wiki describes this as a mask/visor prop used to disguise identity from TS Magical Girl Nao. Sources: https://danbooru.donmai.us/wiki_pages/show?title=slave%20visor%20%28tsmg%20nao%21%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=slave%20visor%20%28tsmg%20nao%21%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=slave%20visor%20%28tsmg%20nao%21%29.,"Current #64 effective sidecar canonical=slave_visor_(tsmg_nao!); status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=no, search=no.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the definition is a work-specific disguise prop. It is an ordinary object within a named franchise, not a reusable fetish-specific state or deep sexual relation for Special Core.",HIGH
1084,arm slave (mecha),HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as the mecha class in Full Metal Panic!, also called AS, with a listed series-specific roster. Sources: https://danbooru.donmai.us/wiki_pages/show?title=arm%20slave%20%28mecha%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=arm%20slave%20%28mecha%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=arm%20slave%20%28mecha%29.","Current #64 effective sidecar canonical=arm_slave_(mecha); status=PROPOSED; primary_path=OBJECT_PROP; Japanese overlay display=no, search=no.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,"REMOVE: the definition is a named franchise mecha class and roster concept. It is an object/reference identity, not a Special sexual or niche visual target; the current General object route is sufficient for product discovery.",HIGH
1122,handjob gesture (not ok),HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as a handjob gesture that is not an OK sign, including clenched-hand, pinky-out, and metal-sign variants; not-ok identifies the gesture shape, not refusal or consent. Sources: https://danbooru.donmai.us/wiki_pages/show?title=handjob%20gesture%20%28not%20ok%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=handjob%20gesture%20%28not%20ok%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=handjob%20gesture%20%28not%20ok%29.","Current #64 effective sidecar canonical=handjob_gesture_(not_ok); status=PROPOSED; primary_path=ACTION_CONTACT/INTIMATE; Japanese overlay display=no, search=no.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,"KEEP: the definition resolves not-ok as a non-OK-sign hand configuration, while retaining the specific handjob gesture meaning. This is a niche sexual gesture variant with independent browse value.",HIGH
1139,game controller nipples (meme),HUMAN_DECISION_REQUIRED,Danbooru wiki defines this as playing with the nipples of a girl wearing a game-controller-print shirt as if they were joysticks or buttons. Sources: https://danbooru.donmai.us/wiki_pages/show?title=game%20controller%20nipples%20%28meme%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=game%20controller%20nipples%20%28meme%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=game%20controller%20nipples%20%28meme%29.,"Current #64 effective sidecar canonical=game_controller_nipples_(meme); status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=no, search=no.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,KEEP: the definition is a specific sexual visual meme in which nipples function as game-controller controls. The object/body-site relation is the visual concept and is not replaced by generic object or nipple tags.,HIGH
1166,exs-slave,HUMAN_DECISION_REQUIRED,"The exact wiki body is empty, but the page has Japanese names エクスレイヴ and 黒翼隷姫エクスレイヴ, indicating a named work/title identity rather than a defined reusable visual concept. Sources: https://danbooru.donmai.us/wiki_pages/show?title=exs-slave; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=exs-slave; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=exs-slave.","Current #64 effective sidecar canonical=exs-slave; status=PROPOSED; primary_path=OBJECT_PROP/VEHICLE; Japanese overlay display=no, search=no.",Low: broad/context/meta/work-specific reference with no independent Special Core target.,REMOVE_FROM_SPECIAL_CONFIRMED,REMOVE: available evidence identifies a named title/work identity with no usable definition of a reusable visual or fetish concept. Special Core should not retain an undefined proper-name reference merely because the General route is imperfect.,HIGH
1171,instance domination,HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as an SSSS.Dynazenon/Gridman Universe pose: a hand raised near the eye with a V split, often with light, eye-color change, or an eye glint, used when controlling a Kaiju. Sources: https://danbooru.donmai.us/wiki_pages/show?title=instance%20domination; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=instance%20domination; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=instance%20domination.","Current #64 effective sidecar canonical=instance_domination; status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=yes, search=yes.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,"KEEP: the definition is a specific, recognizable pose and visual effect template tied to a control action. It is not generic BDSM domination; the hand/eye/light relation has independent Special discovery value.",HIGH
1173,off-color cum,HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as semen of an unusual color, usually yellow rather than white, and distinguishes it from completely unnatural colored cum such as red or black. Sources: https://danbooru.donmai.us/wiki_pages/show?title=off-color%20cum; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=off-color%20cum; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=off-color%20cum.","Current #64 effective sidecar canonical=off-color_cum; status=PROPOSED; primary_path=COLOR_APPEARANCE; Japanese overlay display=no, search=no.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,KEEP: the definition is a fluid-specific state with a precise color boundary and a distinction from colored cum. This is exactly the kind of niche body/fluid concept Special Core should expose.,HIGH
1186,insertion threshold (meme),HUMAN_DECISION_REQUIRED,"Danbooru wiki defines this as a meme in which a character reacts to increasing insertion, such as increasing fingers during fingering, and links it to implied insertion concepts. Sources: https://danbooru.donmai.us/wiki_pages/show?title=insertion%20threshold%20%28meme%29; https://danbooru.donmai.us/tags?search%5Bname_matches%5D=insertion%20threshold%20%28meme%29; alias check: https://danbooru.donmai.us/tag_aliases?search%5Bantecedent_name%5D=insertion%20threshold%20%28meme%29.","Current #64 effective sidecar canonical=insertion_threshold_(meme); status=UNRESOLVED; primary_path=UNRESOLVED_NO_VALIDATED_BROWSE_PATH; Japanese overlay display=no, search=no.","High: specific sexual gesture, body/fluid state, insertion/topology, relation, or visual template.",KEEP_SPECIAL_CONFIRMED,KEEP: the definition is a distinct sexual insertion-reaction meme with an escalation/insertion threshold pattern. It has independent discovery value beyond generic insertion or fingering.,HIGH
