special_id,canonical_or_tag,general_overlap,previous_product_fit_verdict,reverse_audit_verdict,reason,general_discoverability_note,provenance_note
2401,ball and chain restraint,YES,KEEP,KEEP_SPECIAL,ball and chain restraintはBDSM・拘束・特殊器具またはその状態を明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2402,tape bondage,YES,KEEP,KEEP_SPECIAL,tape bondageはGeneralの広い上位語だけでは代替しにくい具体的なSpecial概念を明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2403,toe cleavage,YES,KEEP,KEEP_SPECIAL,toe cleavageは特殊な露出・衣服越し状態・body-site/object placementを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2404,naked dress,YES,KEEP,KEEP_SPECIAL,naked dressは特殊な露出・衣服越し状態・body-site/object placementを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2405,colored blindfold,YES,KEEP_REFERENCE_ONLY,KEEP_SPECIAL,colored blindfoldはBDSM・拘束・特殊器具またはその状態を明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。
2406,naked skirt,YES,KEEP,KEEP_SPECIAL,naked skirtは特殊な露出・衣服越し状態・body-site/object placementを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2407,implied nudity,YES,KEEP,KEEP_SPECIAL,implied nudityはactor/target・role・consent・implied/intensityを含む独立した性的文脈を明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2408,sideboob cutout,YES,KEEP,KEEP_SPECIAL,sideboob cutoutは特殊な露出・衣服越し状態・body-site/object placementを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2409,naked paint,YES,KEEP,KEEP_SPECIAL,naked paintは特殊な露出・衣服越し状態・body-site/object placementを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
2410,pectoral docking,YES,KEEP,KEEP_SPECIAL,pectoral dockingは具体的なsexual actionまたはactor/body-site relationを明示的に探して選択するdeep-discovery価値があるため、General exact overlapがあってもKEEP_SPECIAL。,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。
