identity_key,boundary_flags,candidate_state
american_flag_bikini,clothing_token:bikini,CLOTHING_BOUNDARY
american_flag_swimsuit,clothing_token:swimsuit,CLOTHING_BOUNDARY
angel's_swimsuit_(idolmaster),clothing_token:swimsuit,CLOTHING_BOUNDARY
angel_leotard,clothing_token:leotard,CLOTHING_BOUNDARY
aqua_bikini,clothing_token:bikini,CLOTHING_BOUNDARY
aqua_bodysuit,clothing_token:bodysuit,CLOTHING_BOUNDARY
aqua_leotard,clothing_token:leotard,CLOTHING_BOUNDARY
aqua_male_swimwear,clothing_token:swimwear,CLOTHING_BOUNDARY
aqua_one-piece_swimsuit,clothing_token:swimsuit,CLOTHING_BOUNDARY
aqua_pantyhose,clothing_token:pantyhose,CLOTHING_BOUNDARY
aqua_thighhighs,clothing_token:thighhighs,CLOTHING_BOUNDARY
argyle_bikini,clothing_token:bikini,CLOTHING_BOUNDARY
argyle_pantyhose,clothing_token:pantyhose,CLOTHING_BOUNDARY
argyle_thighhighs,clothing_token:thighhighs,CLOTHING_BOUNDARY
asymmetrical_bikini,clothing_token:bikini,CLOTHING_BOUNDARY
asymmetrical_bodysuit,clothing_token:bodysuit,CLOTHING_BOUNDARY
asymmetrical_one-piece_swimsuit,clothing_token:swimsuit,CLOTHING_BOUNDARY
athletic_leotard,clothing_token:leotard,CLOTHING_BOUNDARY
babydoll_t-shirt,clothing_token:babydoll,CLOTHING_BOUNDARY
bandeau,clothing_token:bandeau,CLOTHING_BOUNDARY
bikini,clothing_token:bikini,CLOTHING_BOUNDARY
bikini_jeans,clothing_token:bikini,CLOTHING_BOUNDARY
bikini_ribbon,clothing_token:bikini,CLOTHING_BOUNDARY
bikini_shorts,clothing_token:bikini,CLOTHING_BOUNDARY
bikini_skirt,clothing_token:bikini,CLOTHING_BOUNDARY
black_babydoll,clothing_token:babydoll,CLOTHING_BOUNDARY
black_bandeau,clothing_token:bandeau,CLOTHING_BOUNDARY
black_bikini,clothing_token:bikini,CLOTHING_BOUNDARY
black_bodysuit,clothing_token:bodysuit,CLOTHING_BOUNDARY
black_corset,clothing_token:corset,CLOTHING_BOUNDARY
black_fundoshi,clothing_token:fundoshi,CLOTHING_BOUNDARY
black_leotard,clothing_token:leotard,CLOTHING_BOUNDARY
