CanonicalTag,Japanese,TranslationSource,TranslationStatus
1boy,男性1人,ChatGPT trial seed,UNREVIEWED_TRIAL
1boy,男の子1人,ChatGPT trial seed,UNREVIEWED_TRIAL
1girl,女性1人,ChatGPT trial seed,UNREVIEWED_TRIAL
1girl,女の子1人,ChatGPT trial seed,UNREVIEWED_TRIAL
abs,腹筋,ChatGPT trial seed,UNREVIEWED_TRIAL
angry,怒る,ChatGPT trial seed,UNREVIEWED_TRIAL
angry,怒り,ChatGPT trial seed,UNREVIEWED_TRIAL
anime,アニメ,ChatGPT trial seed,UNREVIEWED_TRIAL
anime_coloring,アニメ塗り,ChatGPT trial seed,UNREVIEWED_TRIAL
aqua_eyes,水色の目,ChatGPT trial seed,UNREVIEWED_TRIAL
aqua_eyes,アクアの目,ChatGPT trial seed,UNREVIEWED_TRIAL
aqua_hair,水色髪,ChatGPT trial seed,UNREVIEWED_TRIAL
aqua_hair,アクア髪,ChatGPT trial seed,UNREVIEWED_TRIAL
arms_behind_back,両腕を後ろに回す,ChatGPT trial seed,UNREVIEWED_TRIAL
arms_up,両腕を上げる,ChatGPT trial seed,UNREVIEWED_TRIAL
arms_up,腕上げ,ChatGPT trial seed,UNREVIEWED_TRIAL
ass,尻,ChatGPT trial seed,UNREVIEWED_TRIAL
ass,お尻,ChatGPT trial seed,UNREVIEWED_TRIAL
bangs,前髪,ChatGPT trial seed,UNREVIEWED_TRIAL
bare_shoulders,肩出し,ChatGPT trial seed,UNREVIEWED_TRIAL
bare_shoulders,裸の肩,ChatGPT trial seed,UNREVIEWED_TRIAL
beach,ビーチ,ChatGPT trial seed,UNREVIEWED_TRIAL
beach,海辺,ChatGPT trial seed,UNREVIEWED_TRIAL
bedroom,寝室,ChatGPT trial seed,UNREVIEWED_TRIAL
best_quality,最高品質,ChatGPT trial seed,UNREVIEWED_TRIAL
black_background,黒背景,ChatGPT trial seed,UNREVIEWED_TRIAL
black_hair,黒髪,ChatGPT trial seed,UNREVIEWED_TRIAL
blazer,ブレザー,ChatGPT trial seed,UNREVIEWED_TRIAL
blonde_hair,金髪,ChatGPT trial seed,UNREVIEWED_TRIAL
blue_eyes,青目,ChatGPT trial seed,UNREVIEWED_TRIAL
blue_eyes,青い目,ChatGPT trial seed,UNREVIEWED_TRIAL
blue_hair,青髪,ChatGPT trial seed,UNREVIEWED_TRIAL
