row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note,reviewed_unresolved,review_count,last_review_cycle,last_review_reason
I70-039547,mass_effect_3,Copyright,206,質量効果3,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039550,sengoku_musou_4,Copyright,206,戦国無双4,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039559,magical_astronomy,Copyright,205,大空魔術,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039576,touhou_bougetsushou,Copyright,203,東方儚月抄,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039581,lotus_eaters,Copyright,202,東方酔蝶華,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039588,gangsta,Copyright,201,GANGSTA匪徒,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039592,sengoku_saga,Copyright,201,戦国SAGA,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039622,you_can_eat_the_girl,Copyright,199,食用系少女,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039629,phoenix_wright:_ace_attorney_-_justice_for_all,Copyright,198,逆転裁判2,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039638,orangina,Copyright,197,オランジーナ擬人化イラコン,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039665,gensou_suikoden_iv,Copyright,194,幻想水滸伝iv,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039672,seirei_gensouki,Copyright,194,精霊幻想記,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-058019,kawasaki_tadataka,Artist,169,川崎直孝,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058042,nakamura_tetsuya,Artist,169,中村哲也,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058135,matsumoto_noriyuki,Artist,168,松本規之,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058189,watashiya_kaworu,Artist,168,私屋カヲル,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058200,aida_yuu,Artist,167,相田裕,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058334,kayura_yuka,Artist,166,かゆらゆか,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058551,kajiyama_hiroshi,Artist,164,梶山浩,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058817,yoshikawa_hideaki,Artist,162,吉川英朗,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-058841,fujisaka_kimihiko,Artist,161,藤坂公彦,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-059118,munyuu,Artist,159,むにゅう,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-059221,kishimoto_masashi,Artist,158,岸本斉史,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-059267,tanaka_masayoshi,Artist,158,田中将賀,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-004633,amakusa_shirou_(fate),Character,701,天草四郎,天草四郎,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004640,rahu_(path_to_nowhere),Character,700,ラーフ,ラーフ,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,,,,,
I70-004645,female_morgan_(fire_emblem),Character,699,マーク（女）,マーク（女）,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004647,mousse_(ranma_1/2),Character,699,ムース,ムース,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004652,arsene_lupin_iii,Character,698,ルパン三世,ルパン三世,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004660,suzu_(cookie),Character,698,SZ姉貴,SZ姉貴,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-004679,fluorite_(arknights),Character,694,フローライト,フローライト,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004691,mo_chengwei,Character,693,莫承威,莫承威,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-004693,shitodo_kuroji,Character,693,シトド・クロジ,シトド・クロジ,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,,,,,
I70-004700,ade_(nikke),Character,691,エード,エード,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004717,wizard_(ragnarok_online),Character,687,ウィザード,ウィザード,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004748,cait_sith_(ff7),Character,682,ケット・シー,ケット・シー,,character_accepted_blank_batch057.csv,,,,,,,,,,
