row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-073951,ue,1,Artist,,,,,,,[]
I70-073952,umecha_0,1,Artist,,,,,,,[]
I70-073953,umeo_(umeonoe),1,Artist,umeo_(pixiv51103813),umeo (pixiv51103813),,,,,[]
I70-073954,u-min,1,Artist,chidentsu,chidentsu,,,u-min,,[]
I70-073955,unravel_page,1,Artist,,,,,,,[]
I70-073956,uthy,1,Artist,0000_(asd7083),0000 (asd7083),,,uthy,,[]
I70-073957,wangmou_zilaojuan,1,Artist,,,,,,,[]
I70-073958,watano_yuki,1,Artist,,,,,,,[]
I70-073959,watou,1,Artist,,,,,,,[]
I70-073960,wittmann_(ehvr8373),1,Artist,,,,,,,[]
I70-073961,wori,1,Artist,,,,,wori,,[]
I70-073962,xdjf63qbpt0iqmj,1,Artist,,,,,,,[]
I70-073963,xiexianglg,1,Artist,,,,,,,[]
I70-073964,yagumo_kengou,1,Artist,,,,,Yagumo Kengou,,[]
I70-073965,yakuto007,1,Artist,,,,,Yakuto007,,[]
I70-073966,yamadainari,1,Artist,,,,,,,[]
I70-073967,yamanome,1,Artist,,,,,ヤマノーム,,[]
I70-073968,yatagae_(yatuno_llc),1,Artist,,,,,,,[]
I70-073969,yeol2510,1,Artist,,,,,,,[]
I70-073970,yeshisi,1,Artist,yyz_coconut,yyz coconut,,,,,[]
I70-073971,yokotn,1,Artist,,,,,,,[]
I70-073972,yonchi,1,Artist,,,,,,,[]
I70-073973,yoshino_ns,1,Artist,,,,,ヨシノns,,[]
I70-073974,young_savage,1,Artist,nilasarcanister,nilasarcanister,,,若い野ave,,[]
I70-073975,young57440489,1,Artist,,,,,,,[]
I70-073976,yu_anle_bu_le,1,Artist,,,,,,,[]
I70-073977,yu_yu_huadiao,1,Artist,"huadiao0113,anu_yu",anu yu | huadiao0113,,,,,[]
I70-073978,yuino_(fancy_party),1,Artist,,,,,ユイノ（ファンシーパーティー）,,[]
I70-073979,yukimaro_yukkii,1,Artist,,,,,ユキマロユッキイ,,[]
I70-073980,yukinami_(paru26i),1,Artist,,,,,Yukinami（Paru26i）,,[]
I70-073981,yukke_jan,1,Artist,,,,,,,[]
I70-073982,yunjuice,1,Artist,yunjoos,yunjoos,,,,,[]
I70-073983,yunmaojan,1,Artist,32oooo,32oooo,,,,,[]
I70-073984,yuufreak,1,Artist,,,,,yuufreak,,[]
I70-073985,yuuki_(yukigeshou_hyouka),1,Artist,,,,,ユウキ（Yukigeshouhyouka）,,[]
I70-073986,yuzuha_(yuzuya),1,Artist,,,,,Yuzuha（Yuzuya）,,[]
I70-073987,zee_n3,1,Artist,,,,,Zee N3,,[]
I70-073988,144_(riesztan),1,Artist,,,,,144（Riesztan）,,[]
I70-073989,15citron,1,Artist,,,,,15citron,,[]
I70-073990,15ooo,1,Artist,,,,,,,[]
I70-073991,18_(backstreetno18),1,Artist,no.18,no.18,,,18（backstreetno18）,,[]
I70-073992,1yu_x,1,Artist,tapi_ing,tapi ing,,,,,[]
I70-073993,706_(bodied706),1,Artist,bodiedwile,bodiedwile,,,,,[]
I70-073994,abondz,1,Artist,,,,,アボンズ,,[]
I70-073995,addendium,1,Artist,,,,,,,[]
I70-073996,agetake,1,Artist,,,,,Agetake,,[]
I70-073997,ahiru_(ahahahahiru),1,Artist,,,,,,,[]
I70-073998,aida_(chinhung0612),1,Artist,,,,,アイーダ（Chinhung0612）,,[]
I70-073999,ajiwo,1,Artist,"azuko_(ampenm),prrrrrrmine",azuko (ampenm) | prrrrrrmine,,,,,[]
I70-074000,akahoshi_kenji,1,Artist,barbecue_(artist),barbecue (artist),,,Akahoshi Kenji,,[]
