canonical,candidate_display_ja,final_state,route,reason,reason_codes,risk_class
!,！,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NONSENSE_OR_UNSAFE_SHAPE|SYMBOL_WORDING_REVIEW,LOW
1other,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|STRICT_ROUTE_REQUIRED,LOW
3boys,3人の男の子,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
3girls,3人の女の子,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,MEDIUM
5girls,5人の女の子,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
6+girls,6人以上の女の子,REVIEW,STRICT,STRICT_REVIEW_REQUIRED,STRICT_REVIEW_REQUIRED|STRICT_ROUTE_REQUIRED,LOW
:d,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
:o,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
:p,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
;d,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
?,？,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NONSENSE_OR_UNSAFE_SHAPE|SYMBOL_WORDING_REVIEW,LOW
@_@,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
^^^,,FALLBACK_ENGLISH,FALLBACK,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION,ENGLISH_CANONICAL_FALLBACK_AFTER_ROUTE_EXHAUSTION|NO_MACHINE_CANDIDATE|SYMBOL_WORDING_REVIEW,LOW
