row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-036709,world_cup,Copyright,1767,ワールドカップ,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_DISPLAY,FIFAワールドカップ,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026/news,FIFA official Japanese World Cup surface consistently uses FIFAワールドカップ; current ワールドカップ is too generic.
I70-037288,koumajou_densetsu,Copyright,844,紅魔城伝説 緋色の交響曲,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_DISPLAY,紅魔城レミリア 緋色の交響曲,,https://www.youtube.com/watch?v=01tHkoatrCs,CFK official promotion identifies the title as 紅魔城レミリア 緋色の交響曲; current display omits レミリア.
I70-037527,hololive_dreams,Copyright,654,ホロライブドリームス,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_BOTH,hololive Dreams,ホロライブドリームス | ホロドリ,https://hololive.hololivepro.com/news/20260723-01-401/,hololive official release uses hololive Dreams and gives ホロライブドリームス plus official abbreviation ホロドリ.
I70-037531,homestuck,Copyright,651,ホームスタック,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_DISPLAY,Homestuck,,https://homestuck.com/,Creator-owned official site uses Homestuck; no verified Japanese localized title supports ホームスタック.
I70-037536,starward,Copyright,649,星の翼,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,KEEP,,,https://apps.apple.com/jp/app/%E6%98%9F%E3%81%AE%E7%BF%BC/id6654894830,Official Japanese distribution by SINGAPORE SHENGTIAN NETWORK TECHNOLOGY uses 星の翼 exactly.
I70-037537,ef_(visual_novel),Copyright,648,ef - a fairy tale of the two.,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,KEEP,,,https://www.kadokawa.co.jp/product/310667900010/,KADOKAWA official publication page explicitly identifies the source PC game as ef - a fairy tale of the two.; current display is exact.
I70-037586,bang_dream!_our_notes,Copyright,624,アワーノーツ,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_BOTH,BanG Dream! Our Notes,アワーノーツ | バンドリ！アワーノーツ,https://bang-dream.com/news/2278/,BanG Dream official site uses BanG Dream! Our Notes and the Japanese reading バンドリ！アワーノーツ; current display is only the short reading.
I70-037594,mahou_shoujo_ikusei_keikaku_unmarked,Copyright,622,魔法少女育成計画 unmarked,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,FIX_DISPLAY,魔法少女育成計画,,https://store.tkj.jp/shopdetail/000000006876/,Takarajimasha official first-volume page uses 魔法少女育成計画; unmarked is a Danbooru discriminator and not part of the work title.
I70-037655,blackpink,Copyright,592,BLACKPINK,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,KEEP,,,https://ygfamily.com/jp/artists/blackpink/profile,YG Entertainment official Japanese profile uses BLACKPINK exactly.
I70-037932,transformers_(live_action),Copyright,482,トランスフォーマー（実写映画）,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,KEEP,,,https://paramount.jp/transformers/,Paramount official Japanese franchise site groups the live-action Transformers films under トランスフォーマー; existing parenthetical safely preserves the tag scope.
I70-037977,gfriend,Copyright,467,GFRIEND,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_A.csv,KEEP,,,https://weverse.io/gfriend/highlight,Official GFRIEND artist surface uses GFRIEND exactly; current display is identity-safe.
I70-038052,chuugoku_yome_nikki,Copyright,441,中国嫁日記,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,KEEP,,,https://store.kadokawa.co.jp/shop/series/series00088301,KADOKAWA official store uses 中国嫁日記 as the series title; current display is exact.
I70-038180,me!me!me!,Copyright,407,私！私！私！,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,FIX_DISPLAY,ME!ME!ME!,,https://www.youtube.com/watch?v=pkONNzVAuKc,Official Japan Anima(tor) Expo trailer identifies episode 3 as ME!ME!ME!; replace literal Japanese translation.
I70-038226,double_dealing_character,Copyright,395,東方輝針城,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,FIX_BOTH,東方輝針城 〜 Double Dealing Character.,東方輝針城,https://store.steampowered.com/app/1043240/Touhou_Kishinjou__Double_Dealing_Character/?l=japanese,Official distribution identifies developer 上海アリス幻樂団 and full title 東方輝針城 〜 Double Dealing Character.; retain short Japanese title for search.
I70-038276,antinomy_of_common_flowers,Copyright,381,憑依華,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,FIX_BOTH,東方憑依華 ～ Antinomy of Common Flowers.,東方憑依華 | 憑依華,https://store.steampowered.com/app/716710?l=japanese,Official distribution identifies 黄昏フロンティア and the full Japanese title; retain common short forms for search.
I70-038475,inabakumori,Copyright,339,稲葉曇,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,KEEP,,,https://www.youtube.com/watch?v=g6sYNwl1EWg,Inabakumori Official Artist Channel self-identifies as 稲葉曇 and credits music as 稲葉曇; current display is exact.
I70-038491,hello_charlotte,Copyright,337,你好夏洛特,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,FIX_DISPLAY,Hello Charlotte,,https://store.steampowered.com/app/760890?l=japanese,Developer etherane official distribution identifies Hello Charlotte as the series identity; replace unsupported Chinese localized display.
I70-038497,kagetsu_tooya,Copyright,336,歌月十夜,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,BATCH080_VERIFIED_SHORTLIST_C.csv,KEEP,,,https://www.typemoon.com/support/bbs.php?bbsname=support&mode=past&pno=3,TYPE-MOON official support archive explicitly identifies the former circle work 歌月十夜; current display is exact.
