row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note,reviewed_unresolved,review_count,last_review_cycle,last_review_reason
I70-047552,tokumi_yuiko,Artist,452,とくみゆいこ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0002,No sufficiently authoritative profile or credit source established in this pass
I70-048498,choborau_nyopomi,Artist,388,ちょぼらうにょぽみ,,"semantic translation: artist identity preserved; known Japanese credit used when clear, otherwise canonical handle retained without machine translation",artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0002,No sufficiently authoritative identity source established in this pass
I70-050191,sugina_miki,Artist,311,杉菜水姫,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式プロフィールまたは一次クレジットを今回確定できず
I70-050545,yamamoto_kazue,Artist,300,山本和枝,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-050694,nanase_aoi,Artist,295,七瀬葵,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-050715,chikotam,Artist,294,ちこたむ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-050744,taka-michi,Artist,294,たかみち,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,同名異人を排除できる一次クレジット不足
I70-050763,komatsuzaki_rui,Artist,293,小松崎類,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-050860,nana_kagura,Artist,290,ななかぐら,カグラナナ,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,イラストレーター名とV活動名の正規化境界を一次情報で確定できず
I70-051159,kawarajima_kou,Artist,281,かわらじま晃,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-051168,monokubo,Artist,281,もの久保,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-051267,ponkan_8,Artist,279,ぽんかん⑧,ぽんかん8,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式表記と検索別名の一次根拠不足
I70-051764,nyoijizai,Artist,265,如意自在,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットを今回確定できず
I70-052320,dowman_sayman,Artist,252,道満晴明,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Identity-safe official profile or publisher credit not established in this pass
I70-053016,nekobayashi,Artist,238,猫囃子,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Official identity-safe profile/credit not established
I70-053157,fujieda_miyabi,Artist,235,藤枝雅,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Authoritative identity evidence not established in this pass
I70-053167,matsuo_yuusuke,Artist,235,松尾祐輔,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Secondary coverage supports name but first-party/identity-safe evidence threshold not met
I70-053233,suzuragi_karin,Artist,234,鈴羅木かりん,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Official profile/credit not established in this pass
I70-053246,annindoufu_(oicon),Artist,233,杏仁豆腐,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Published work supports pen name but identity-safe first-party evidence threshold not met
I70-053267,katou_itsuwa,Artist,233,加藤いつわ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Official profile/credit not established
I70-053286,ueda_metawo,Artist,233,上田メタヲ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,No sufficiently authoritative identity-safe credit established in this pass
I70-053442,tsukasa_jun,Artist,230,司淳,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,No sufficiently authoritative profile/credit established in this pass
I70-053479,nakajima_atsuko,Artist,229,中嶋敦子,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Search surfaced secondary material but not a sufficiently authoritative identity source
I70-053563,takayama_toshiaki,Artist,228,タカヤマトシアキ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,No sufficiently authoritative profile/credit established in this pass
I70-053568,yoshinari_you,Artist,228,吉成曜,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Search surfaced secondary identity material but no first-party credit retained
I70-053664,seo_kouji,Artist,226,瀬尾公治,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Search surfaced secondary identity material but no first-party profile retained
I70-053914,amano_kozue,Artist,221,天野こずえ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,Identity appears clear but this pass did not establish a sufficiently authoritative creator credit
I70-054140,minazuki_suu,Artist,218,水無月すう,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式プロフィールまたは一次クレジットURLを確立できず
I70-054195,mikami_mika,Artist,217,三上ミカ,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式プロフィールまたは一次クレジットURLを確立できず
I70-054200,nagimiso,Artist,217,なぎみそ,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式プロフィールまたは一次クレジットURLを確立できず
I70-054216,sumeragi_hamao,Artist,217,皇ハマオ,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,公式プロフィールまたは一次クレジットURLを確立できず
I70-054223,tsuchibayashi_makoto,Artist,217,土林誠,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットURLを確立できず
I70-054341,taniguchi_jun'ichirou,Artist,215,谷口淳一郎,,semantic re-audit: independently verified official/common artist credit,artist_initial_audit_batch008.csv,,,,,,,true,1,cycle-0003,一次クレジットURLを確立できず
I70-042379,pinocchio_(disney_movie),Copyright,80,ピノキオ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-042388,spirit_animals_in_disguise,Copyright,80,千变灵兽,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-042408,digimon_world,Copyright,79,デジモンワールド,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-042415,indiana_jones_(series),Copyright,79,インディ・ジョーンズ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-042432,quanmian_shidai,Copyright,79,全棉时代,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-042483,minions_(movie),Copyright,78,ミニオンズ,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-042508,echo_(visual_novel),Copyright,77,ECHO,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-042513,icetea,Copyright,77,ヨメミ,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
I70-042587,ryoushin_no_shakkin,Copyright,76,かたかわ,,semantic re-curation: genuinely ambiguous/unresolved; manual verification still required,copyright_review_external_batch062.csv,,,,,,,,,,
