identity_key,is_general,is_special,sexual_intent,review_status,rule_id,evidence
!,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
!!,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
!?,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
#unicus_(idolmaster),YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
+++,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
+_+,YES,NO,,UNCLASSIFIED,,
+_-,YES,NO,,UNCLASSIFIED,,
...,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
...!,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
...?,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
.52_gal_(splatoon),YES,NO,,UNCLASSIFIED,,
.96_gal_(splatoon),YES,NO,,UNCLASSIFIED,,
._.,YES,NO,,UNCLASSIFIED,,
0_0,YES,NO,,UNCLASSIFIED,,
0th_generation_(hololive),YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
0w0,YES,NO,,UNCLASSIFIED,,
1-up_mushroom,YES,NO,,UNCLASSIFIED,,
100kg_(meme),YES,NO,,UNCLASSIFIED,,
10mm_pistol,YES,NO,,UNCLASSIFIED,,
114514_(meme),YES,NO,,UNCLASSIFIED,,
12_billion_yen_incident,YES,NO,,UNCLASSIFIED,,
15-nin_no_richiteki_na_megane-tachi,YES,NO,,UNCLASSIFIED,,
18+,NO,YES,,UNCLASSIFIED,,
1920s_fashion,YES,NO,,UNCLASSIFIED,,
1930s_(style),YES,NO,,UNCLASSIFIED,,
1950s_(style),YES,NO,,UNCLASSIFIED,,
1950s_fashion,YES,NO,,UNCLASSIFIED,,
1960s_(style),YES,NO,,UNCLASSIFIED,,
1960s_fashion,YES,NO,,UNCLASSIFIED,,
1970s_(style),YES,NO,,UNCLASSIFIED,,
1970s_fashion,YES,NO,,UNCLASSIFIED,,
1980s_(style),YES,NO,,UNCLASSIFIED,,
1980s_fashion,YES,NO,,UNCLASSIFIED,,
1985,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1990,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1990s_(style),YES,NO,,UNCLASSIFIED,,
1990s_fashion,YES,NO,,UNCLASSIFIED,,
1994,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1995,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1996,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1997,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1998,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1999,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
1boy,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
1girl,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
1koma,YES,NO,,UNCLASSIFIED,,
1other,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
1st_generation_(hololive),YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_VALIDATED_GENERAL_SUBPATHS_V3,PILOT_PURE+FRESH_HOLDOUT_30_30
1up,YES,NO,,UNCLASSIFIED,,
2000,YES,NO,NON_SEXUAL,HUMAN_REVIEWED,,HOLDOUT_240:chunk_002_review_v1.csv
2000s_(style),YES,NO,,UNCLASSIFIED,,
2001,YES,NO,NON_SEXUAL,HUMAN_REVIEWED,,PILOT_700:chunk_006_review_v1.csv
2002,YES,NO,NON_SEXUAL,AUTO_HIGH_CONF,AUTO_NONSEX_SAFE_GENERAL_ROOTS_V2,PILOT_61_61+HOLDOUT_120_120
