runtime_identity,runtime_is_general,runtime_is_special,source_identity_count,source_identities,special_ids,special_tags,chosen_canonical_tags,old_semantic_classes,final_sexual_intent,final_review_status,review_reason,mapping_quality,reviewer_action
:>=,YES,YES,2,:>=|vacuum_fellatio,1361,vacuum fellatio,:>=,NON_SEXUAL|SEXUAL,,UNCLASSIFIED,runtime identity is punctuation with no stable concept while vacuum fellatio is explicit,SUSPECT,NEEDS_CANONICAL_FIX
above-cleavage_cutout,YES,YES,2,above-cleavage_cutout|above_cleavage_cutout,2399|2587,above cleavage cutout|above-cleavage cutout,above-cleavage_cutout,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,cleavage opening is ordinary clothing design and can also be sexualized exposure,VALID,RESOLVED
adult_baby,YES,YES,2,adult_baby|adultbaby,2318|2717,adult baby|adultbaby,adult_baby,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,adult-baby roleplay can be nonsexual identity play or sexualized roleplay,VALID,RESOLVED
ass_focus,YES,YES,2,ass_focus|pov_ass,2140|2660,ass focus|pov ass,ass_focus,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,anatomical focus can support neutral study or pose and erotic display,VALID,RESOLVED
backboob,YES,YES,2,back_boob|backboob,2168|2685,back boob|backboob,backboob,NON_SEXUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,breast exposure has ordinary anatomy and sexualized uses,VALID,RESOLVED
bandaids_on_nipples,YES,YES,4,bandaid_on_nipple|bandaid_on_nipples|bandaids_on_nipple|bandaids_on_nipples,741|1358|1359|1360,bandaid on nipple|bandaid on nipples|bandaids on nipple|bandaids on nipples,bandaids_on_nipples,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple covering can be medical or modesty-related and erotic,VALID,RESOLVED
bikini_bottom_aside,YES,YES,2,bikini_aside|bikini_bottom_aside,2044|2735,bikini aside|bikini bottom aside,bikini_bottom_aside,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,moving swimwear aside is clothing exposure with ordinary and erotic contexts,VALID,RESOLVED
bisexual_female,YES,YES,2,bisexual_(female)|bisexual_female,1647,bisexual (female),bisexual_female,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,orientation identity can be nonsexual character information and sexual context,VALID,RESOLVED
breast_cutouts,YES,YES,2,breast_cutout|breast_cutouts,2169|2714,breast cutout|breast cutouts,breast_cutouts,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,breast cutout clothing can be fashion or erotic exposure,VALID,RESOLVED
breast_slip,YES,YES,2,boob_slip|breast_slip,668|2697,boob slip|breast slip,breast_slip,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,accidental or incidental exposure and erotic display are both natural uses,VALID,RESOLVED
breastfeeding,YES,YES,3,breast_feed|breast_feeding|breastfeeding,2193|2704|2705,breast feed|breast feeding|breastfeeding,breastfeeding,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,infant feeding is ordinary while sexualized lactation is also a natural use,VALID,RESOLVED
breasts,YES,YES,5,boobs|breast|breasts|oppai|tits,2170|2631|2632|2633|2784,boobs|breast|breasts|oppai|tits,breasts,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,breasts denote anatomy in ordinary contexts and sexual display contexts,VALID,RESOLVED
breasts_out,YES,YES,3,breasts_out|breasts_out_of_clothes|breasts_outside,669|2650|2651,breasts out|breasts out of clothes|breasts outside,breasts_out,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,breast exposure occurs in ordinary body depiction and erotic contexts,VALID,RESOLVED
catheter,YES,YES,2,catheter|pee_tube,207|1510,catheter|pee tube,catheter,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,catheter is medical equipment with a substantial fetish use,VALID,RESOLVED
censored_nipples,YES,YES,2,censored_nipples|nipple_censor,748|1378,censored nipples|nipple censor,censored_nipples,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple censoring is a general moderation state and an erotic depiction,VALID,RESOLVED
cleavage_cutout,YES,YES,4,boob_window|cleavage_cutout|cleavage_window|heart_cleavage_cutout,2172|2532|2533|2644,boob window|cleavage cutout|cleavage window|heart cleavage cutout,cleavage_cutout,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,cleavage cutout is fashion exposure that also has erotic use,VALID,RESOLVED
cleave_gag,YES,YES,3,cleave_gag|cleave_gagged|cleavegag,1820|2579|2701,cleave gag|cleave gagged|cleavegag,cleave_gag,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,specialized cleave gag denotes an intrinsically fetish-oriented gag concept,VALID,RESOLVED
clitoris_slip,YES,YES,3,clit_slip|clitoris_slip|clitslip,521|1729|1734,clit slip|clitoris slip|clitslip,clitoris_slip,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,visible clitoris exposure is an intrinsically explicit sexual body state,VALID,RESOLVED
clothed_female_nude_female,YES,YES,4,cfnf|clothed_female_naked_female|clothed_female_nude_female|nude_female_clothed_female,2265|2389|2567|2568,cfnf|clothed female naked female|clothed female nude female|nude female clothed female,clothed_female_nude_female,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_female_nude_male,YES,YES,4,cfnm|clothed_female_naked_male|clothed_female_nude_male|nude_male_clothed_female,2266|2365|2535|2536,cfnm|clothed female naked male|clothed female nude male|nude male clothed female,clothed_female_nude_male,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_male_nude_female,YES,YES,4,clothed_male_naked_female|clothed_male_nude_female|cmnf|nude_female_clothed_male,2267|2386|2556|2557,clothed male naked female|clothed male nude female|cmnf|nude female clothed male,clothed_male_nude_female,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_male_nude_male,YES,YES,4,clothed_male_naked_male|clothed_male_nude_male|cmnm|nude_male_clothed_male,2268|2400|2588|2589,clothed male naked male|clothed male nude male|cmnm|nude male clothed male,clothed_male_nude_male,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
convenient_tentacle,YES,YES,2,convenient_tentacle|tentacle_censor,1864|2628,convenient tentacle|tentacle censor,convenient_tentacle,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,convenient tentacle is a sexualized genital-censoring trope,VALID,RESOLVED
covered_nipples,YES,YES,7,covered_erect_nipples|covered_nipples|erect_nipple|erect_nipples|erect_nipples_under_clothes|errect_nipples|perky_nipples,725|1251|1252|1253|1254|1255|1256,covered erect nipples|covered nipples|erect nipple|erect nipples|erect nipples under clothes|errect nipples|perky nipples,covered_nipples,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,nipple covering can be medical or modesty-related and erotic,SUSPECT,NEEDS_CANONICAL_FIX
covering_breasts,YES,YES,5,breast_cover|breast_covering|breasts_covering|covering_breasts|handbra,2304|2664|2665|2666|2667,breast cover|breast covering|breasts covering|covering breasts|handbra,covering_breasts,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,covering breasts is ordinary modesty or erotic concealment,VALID,RESOLVED
covering_crotch,YES,YES,2,covering_crotch|covering_pussy,2305|2551,covering crotch|covering pussy,covering_crotch,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,covering the crotch is ordinary modesty or erotic concealment,VALID,RESOLVED
cow_girl,YES,YES,2,cow_girl|cowgirl,137,cowgirl,cow_girl,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,cowgirl denotes a nonsexual riding role and a sexual position,VALID,RESOLVED
crossdressing,YES,YES,2,crossdress|crossdressing,2658,crossdress,crossdressing,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,crossdressing is a general identity or clothing concept with sexual uses,VALID,RESOLVED
crotch_stomping,YES,YES,2,crotch_stomp|crotch_stomping,1968|2718,crotch stomp|crotch stomping,crotch_stomping,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,crotch violence has nonsexual assault and sexual fetish contexts,VALID,RESOLVED
cum_overflow,YES,YES,2,cum_overflow|overflow,371|1607,cum overflow|overflow,cum_overflow,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,cum overflow denotes an explicit sexual fluid state,VALID,RESOLVED
dark_penis,YES,YES,2,black_cock|dark_penis,766|1408,black cock|dark penis,dark_penis,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,canonical concept is explicit penis anatomy rather than a general color concept,VALID,RESOLVED
