"row_id","canonical_tag","category","category_name","post_count","source_aliases","verified_aliases","existing_display_ja","existing_search_ja","existing_candidate_ja","existing_rejected_ja","related_copyright_candidates","display_ja","search_ja","translation_status","translation_note"
"I70-084001","era_(traveling_bird)","1","Artist","62","","","","","ERA（鳥の旅）","","","","","PENDING",""
"I70-084002","eric_toner","1","Artist","62","","","","","エリック・トナー","","","","","PENDING",""
"I70-084003","eriko_(nakaeri_gogo)","1","Artist","62","","","","","エリコ（ナカリゴゴ）","","","","","PENDING",""
"I70-084004","eureka1812","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084005","f20_(funimaru)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084006","fecho_kouta_(nikubo)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084007","felicia-val","1","Artist","62","","","","","フェリシアバル","","","","","PENDING",""
"I70-084008","feriowind","1","Artist","62","","","","","feriowind","","","","","PENDING",""
"I70-084009","foeyp","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084010","fpsmoe","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084011","fr-ee-dom","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084012","fujishiro_shinobu","1","Artist","62","shino-puchihebi","shino-puchihebi","","","shino-puchihebi","","","","","PENDING",""
"I70-084013","furaido","1","Artist","62","","","","","フライド","","","","","PENDING",""
"I70-084014","gagaga","1","Artist","62","","","","","ガガガ","","","","","PENDING",""
"I70-084015","gakki_(gaku_suru)","1","Artist","62","","","","","gakki（gaku suru）","","","","","PENDING",""
"I70-084016","gattsun","1","Artist","62","","","","","ガッツン","","","","","PENDING",""
"I70-084017","geezhii","1","Artist","62","geezhiii","geezhiii","","","","","","","","PENDING",""
"I70-084018","ginsky2000","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084019","gitokuja","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084020","golbang","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084021","goo_(koushishikou11)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084022","gotou_nao","1","Artist","62","lucie,goto_nao","goto nao | lucie","","","gotou nao","","","","","PENDING",""
"I70-084023","grand_cupido","1","Artist","62","","","","","グランドキュピド","","","","","PENDING",""
"I70-084024","grandaloe","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084025","grimaisbestwaifu","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084026","gyoen_(gyogyogyoen)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084027","h_ans_(hmn_anz)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084028","hachiware_(user_wwva4743)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084029","hagunontada","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084030","haidara","1","Artist","62","","","","","ハイダラ","","","","","PENDING",""
"I70-084031","haitukun","1","Artist","62","","","","","haitukun","","","","","PENDING",""
"I70-084032","hakugin006","1","Artist","62","","","","","Hakugin006","","","","","PENDING",""
"I70-084033","hakusoto","1","Artist","62","","","","","おなみ","","","","","PENDING",""
"I70-084034","hamilundenongdizhe","1","Artist","62","kohaku_kaki,amberkaki,xiazhijun816","amberkaki | kohaku kaki | xiazhijun816","","","hamilundenongdizhe","","","","","PENDING",""
"I70-084035","hammerman_benkei","1","Artist","62","","","","","ハマーマン・ベンケイ","","","","","PENDING",""
"I70-084036","hammk","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084037","hane_(feathe02)","1","Artist","62","","","","","ハーン（feathe02）","","","","","PENDING",""
"I70-084038","hanzow_t","1","Artist","62","","","","","ハンゾーt","","","","","PENDING",""
"I70-084039","hariikei","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084040","harubato","1","Artist","62","","","","","ハルバト","","","","","PENDING",""
"I70-084041","haruka_faraway716","1","Artist","62","","","","","Haruka Faraway716","","","","","PENDING",""
"I70-084042","haruna_hisui","1","Artist","62","","","","","Haruna Hisui","","","","","PENDING",""
"I70-084043","haruteru","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084044","haryu_chee","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084045","hatanana_(ag6uptphhal3frd)","1","Artist","62","hatanana","hatanana","","","","","","","","PENDING",""
"I70-084046","hayama_kamui","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084047","hayase_illusut","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084048","hayashi_ryouta","1","Artist","62","","","","","林リアウタ","","","","","PENDING",""
"I70-084049","hazuki_ruri","1","Artist","62","musesaturday","musesaturday","","","","","","","","PENDING",""
"I70-084050","heibai_bangbing","1","Artist","62","miokng0706","miokng0706","","","","","","","","PENDING",""
"I70-084051","henki_(orange)","1","Artist","62","","","","","ヘンキ（オレンジ）","","","","","PENDING",""
"I70-084052","hentarise","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084053","hirano_toshihiro","1","Artist","62","","","","","ヒラノ・トシヒロ","","","","","PENDING",""
"I70-084054","hishimatope","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084055","hokuto_(hokuto_pk)","1","Artist","62","","","","","北朝鮮（北部PK）","","","","","PENDING",""
"I70-084056","honey_boba","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084057","horie_ryuu","1","Artist","62","h_o_r_i_e_r_o_s","h o r i e r o s","","","ホリー・リュウ","","","","","PENDING",""
"I70-084058","hoshi_kitsune","1","Artist","62","wgkk5538","wgkk5538","","","","","","","","PENDING",""
"I70-084059","hoshino_aoi_(la_huynh_hai_than)","1","Artist","62","","","","","hoshino aoi（la huynh hai than）","","","","","PENDING",""
"I70-084060","hosimiya_yume","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084061","howxen","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084062","hs2","1","Artist","62","","","","","HS2","","","","","PENDING",""
"I70-084063","huaxue_maomi","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084064","hum_(ten_ten)","1","Artist","62","","","","","ハム（10 10）","","","","","PENDING",""
"I70-084065","hutuu_(1121)","1","Artist","62","mishasimarina0130","mishasimarina0130","","","hutuu（1121）","","","","","PENDING",""
"I70-084066","hxbdzj","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084067","ibuki_riku","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084068","ichiha_(pixiv_1450931203)","1","Artist","62","ichiha_001","ichiha 001","","","","","","","","PENDING",""
"I70-084069","immeasurable","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084070","indis","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084071","isanatori","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084072","ishinabe_art","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084073","isutai","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084074","itahana_toshiyuki","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084075","iwato1712","1","Artist","62","","","","","Iwato1712","","","","","PENDING",""
"I70-084076","izu_(tea_value_lord)","1","Artist","62","","","","","イズ（お茶の価値主）","","","","","PENDING",""
"I70-084077","j._scott_campbell","1","Artist","62","j_scott_campbell","j scott campbell","","","","","","","","PENDING",""
"I70-084078","jajimalgeol","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084079","jakomurashi","1","Artist","62","","","","","ヤコムラシ","","","","","PENDING",""
"I70-084080","jana_schirmer","1","Artist","62","janaschi","janaschi","","","ヤナ・シルマー","","","","","PENDING",""
"I70-084081","jelly_platinum","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084082","jogabi","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084083","jordan_reine","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084084","jose_(joseeidossei)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084085","juice_(jule_tyaojule)","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084086","juu_satoshi","1","Artist","62","","","","","Juu Satoshi","","","","","PENDING",""
"I70-084087","kaa-san","1","Artist","62","narakuroko27","narakuroko27","","","","","","","","PENDING",""
"I70-084088","kaipon","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084089","kakon","1","Artist","62","iso1206","iso1206","","","カコン","","","","","PENDING",""
"I70-084090","kaminaga_mutsumi","1","Artist","62","makotocat066","makotocat066","","","","","","","","PENDING",""
"I70-084091","kam-ja","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084092","kaneko_yoi","1","Artist","62","yoi_(207342)","yoi (207342)","","","yoi（207342）","","","","","PENDING",""
"I70-084093","kappa_mame","1","Artist","62","","","","","カッパマメ","","","","","PENDING",""
"I70-084094","kappce","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084095","karaage_(ta-na)","1","Artist","62","","","","","Karaage（ta-na）","","","","","PENDING",""
"I70-084096","karenncat","1","Artist","62","","","","","","","","","","PENDING",""
"I70-084097","karupisusawa","1","Artist","62","","","","","カルピソサワ","","","","","PENDING",""
"I70-084098","kasane","1","Artist","62","","","","","カサン","","","","","PENDING",""
"I70-084099","kase_(kurimuzone_oruta)","1","Artist","62","","","","","Kase（Kurimuzone Oruta）","","","","","PENDING",""
"I70-084100","kasetsu_03","1","Artist","62","","","","","カセチュ03","","","","","PENDING",""
"I70-084101","kashisuover","1","Artist","62","","","","","カシソオーバー","","","","","PENDING",""
"I70-084102","kashiyama","1","Artist","62","red003","red003","","","カシヤマ","","","","","PENDING",""
"I70-084103","kasuga_rurito","1","Artist","62","kasuga_ruri_(rurito0725),ruriruri","kasuga ruri (rurito0725) | ruriruri","","","カスガ・ルリト","","","","","PENDING",""
