"row_id","canonical_tag","category","category_name","post_count","source_aliases","verified_aliases","existing_display_ja","existing_search_ja","existing_candidate_ja","existing_rejected_ja","related_copyright_candidates","display_ja","search_ja","translation_status","translation_note"
"I70-002501","chihiro_(blue_archive)","4","Character","1357","kagami_chihiro_(blue_archive)","kagami chihiro (blue archive)","","各務チヒロ","","카가미치히로","[{""copyright"":""blue_archive"",""co_posts"":1287,""character_coverage"":1.0},{""copyright"":""vocaloid"",""co_posts"":10,""character_coverage"":0.00777},{""copyright"":""love_live!"",""co_posts"":3,""character_coverage"":0.002331},{""copyright"":""love_live!_nijigasaki_high_school_idol_club"",""co_posts"":3,""character_coverage"":0.002331},{""copyright"":""microsoft_windows"",""co_posts"":3,""character_coverage"":0.002331}]","","","PENDING",""
"I70-002502","indou_hikaru","4","Character","1355","hikaru_(hikaru_ga_shinda_natsu)","hikaru (hikaru ga shinda natsu)","","","ヒカル","","[{""copyright"":""hikaru_ga_shinda_natsu"",""co_posts"":1260,""character_coverage"":1.0},{""copyright"":""papico_(ice_cream)"",""co_posts"":7,""character_coverage"":0.005556},{""copyright"":""alien_stage"",""co_posts"":6,""character_coverage"":0.004762},{""copyright"":""chainsaw_man"",""co_posts"":6,""character_coverage"":0.004762},{""copyright"":""jujutsu_kaisen"",""co_posts"":5,""character_coverage"":0.003968}]","","","PENDING",""
"I70-002503","tingyun_(honkai:_star_rail)","4","Character","1355","","","","テイウン","停云 | 停雲","Tingyun | 정운","[{""copyright"":""honkai:_star_rail"",""co_posts"":1304,""character_coverage"":1.0},{""copyright"":""honkai_(series)"",""co_posts"":1304,""character_coverage"":1.0},{""copyright"":""genshin_impact"",""co_posts"":19,""character_coverage"":0.014571},{""copyright"":""mihoyo"",""co_posts"":19,""character_coverage"":0.014571},{""copyright"":""honkai_impact_3rd"",""co_posts"":6,""character_coverage"":0.004601}]","","","PENDING",""
"I70-002504","neo_universe_(umamusume)","4","Character","1354","","","","ネオユニヴァース | ネオユニヴァース(ウマ娘)","","","[{""copyright"":""umamusume"",""co_posts"":1291,""character_coverage"":1.0},{""copyright"":""real_life"",""co_posts"":11,""character_coverage"":0.008521},{""copyright"":""gundam"",""co_posts"":9,""character_coverage"":0.006971},{""copyright"":""pokemon"",""co_posts"":9,""character_coverage"":0.006971},{""copyright"":""bloodborne"",""co_posts"":5,""character_coverage"":0.003873}]","","","PENDING",""
"I70-002505","durandal_(honkai_impact)","4","Character","1353","bianka_durandal_ataegina","bianka durandal ataegina","","デュランダル","幽兰戴尔 | 幽兰黛尔","","[{""copyright"":""honkai_(series)"",""co_posts"":1264,""character_coverage"":0.999209},{""copyright"":""honkai_impact_3rd"",""co_posts"":1264,""character_coverage"":0.999209},{""copyright"":""mihoyo"",""co_posts"":28,""character_coverage"":0.022134},{""copyright"":""genshin_impact"",""co_posts"":18,""character_coverage"":0.014229},{""copyright"":""honkai:_star_rail"",""co_posts"":18,""character_coverage"":0.014229}]","","","PENDING",""
"I70-002506","fami_(chainsaw_man)","4","Character","1353","famine_devil_(chainsaw_man)","famine devil (chainsaw man)","","キガ | キガ(チェンソーマン) | キガちゃん | 飢餓の悪魔","","","[{""copyright"":""chainsaw_man"",""co_posts"":1282,""character_coverage"":1.0},{""copyright"":""burger_king"",""co_posts"":3,""character_coverage"":0.00234},{""copyright"":""chiikawa"",""co_posts"":3,""character_coverage"":0.00234},{""copyright"":""jojo_no_kimyou_na_bouken"",""co_posts"":3,""character_coverage"":0.00234},{""copyright"":""neon_genesis_evangelion"",""co_posts"":3,""character_coverage"":0.00234}]","","","PENDING",""
"I70-002507","imai_lisa","4","Character","1353","","","","今井リサ","","","[{""copyright"":""bang_dream!"",""co_posts"":1286,""character_coverage"":1.0},{""copyright"":""bang_dream!_girls_band_party!"",""co_posts"":1254,""character_coverage"":0.975117},{""copyright"":""bang_dream!_it's_mygo!!!!!"",""co_posts"":22,""character_coverage"":0.017107},{""copyright"":""bang_dream!_yumemita"",""co_posts"":4,""character_coverage"":0.00311},{""copyright"":""disneyland"",""co_posts"":3,""character_coverage"":0.002333}]","","","PENDING",""
"I70-002508","asuka_(senran_kagura)","4","Character","1352","","","","飛鳥(閃乱カグラ)","飛鳥","","[{""copyright"":""senran_kagura"",""co_posts"":1242,""character_coverage"":0.999195},{""copyright"":""senran_kagura_new_wave"",""co_posts"":339,""character_coverage"":0.272727},{""copyright"":""senran_kagura_shoujo-tachi_no_shin'ei"",""co_posts"":291,""character_coverage"":0.234111},{""copyright"":""senran_kagura_new_link"",""co_posts"":163,""character_coverage"":0.131134},{""copyright"":""senran_kagura_shinovi_versus"",""co_posts"":73,""character_coverage"":0.058729}]","","","PENDING",""
"I70-002509","kneesocks_(psg)","4","Character","1351","","","","ニーソックス(パンティ&ストッキングwithガーターベルト)","","","[{""copyright"":""panty_&_stocking_with_garterbelt"",""co_posts"":1204,""character_coverage"":1.0},{""copyright"":""inazuma_eleven_(series)"",""co_posts"":8,""character_coverage"":0.006645},{""copyright"":""trigger_(company)"",""co_posts"":7,""character_coverage"":0.005814},{""copyright"":""tengen_toppa_gurren_lagann"",""co_posts"":6,""character_coverage"":0.004983},{""copyright"":""inazuma_eleven"",""co_posts"":5,""character_coverage"":0.004153}]","","","PENDING",""
"I70-002510","necrass_(arknights)","4","Character","1349","eblana_(arknights)","eblana (arknights)","","","エブラナ(アークナイツ)","","[{""copyright"":""arknights"",""co_posts"":1193,""character_coverage"":1.0},{""copyright"":""ambience_synesthesia"",""co_posts"":41,""character_coverage"":0.034367},{""copyright"":""guilty_gear"",""co_posts"":3,""character_coverage"":0.002515},{""copyright"":""monster_hunter_(series)"",""co_posts"":3,""character_coverage"":0.002515},{""copyright"":""blue_archive"",""co_posts"":2,""character_coverage"":0.001676}]","","","PENDING",""
