"row_id","canonical_tag","category","category_name","post_count","source_aliases","verified_aliases","existing_display_ja","existing_search_ja","existing_candidate_ja","existing_rejected_ja","related_copyright_candidates","display_ja","search_ja","translation_status","translation_note"
"I70-048501","gandy_(gan3e46)","1","Artist","388","gan3e46","gan3e46","","","","","","","","PENDING",""
"I70-048502","ikura_nagisa","1","Artist","388","","","","","イクラ・ナギサ","","","","","PENDING",""
"I70-048503","kasasagi_(futagodori888)","1","Artist","388","kasasagi_(pixiv_17135508),futagodori0301w","futagodori0301w | kasasagi (pixiv 17135508)","","","","","","","","PENDING",""
"I70-048504","keita_(tundereyuina)","1","Artist","388","kirito_(tundereyuina)","kirito (tundereyuina)","","","ケイタ（Tundereyuina）","","","","","PENDING",""
"I70-048505","mendou_kusai","1","Artist","388","","","","","Mendou Kusai","","","","","PENDING",""
"I70-048506","mizusoba","1","Artist","388","","","","","ミズソバ","","","","","PENDING",""
"I70-048507","raichiyo33","1","Artist","388","carlos_eduardo","carlos eduardo","","","raichyo33","","","","","PENDING",""
"I70-048508","shirako_miso","1","Artist","388","","","","","シラコ・味o","","","","","PENDING",""
"I70-048509","tanaka_shoutarou","1","Artist","388","fomalhaut","fomalhaut","","","ターナカ・サワウロウ","","","","","PENDING",""
"I70-048510","wingedwasabi","1","Artist","388","","","","","翼のあるワサビ","","","","","PENDING",""
"I70-048511","zumi_(zumidraws)","1","Artist","388","","","","","Zumi（Zumidraws）","","","","","PENDING",""
"I70-048512","lasto","1","Artist","387","skhorosho","skhorosho","","","最後","","","","","PENDING",""
"I70-048513","maniacpaint","1","Artist","387","","","","","マニアックペイント","","","","","PENDING",""
"I70-048514","nanashin_naomi","1","Artist","387","naomi_(sekai_no_hate_no_kissaten),naomi@tsuitta","naomi (sekai no hate no kissaten) | naomi@tsuitta","","","ナナシン・ナオミ","","","","","PENDING",""
"I70-048515","rioliogiz","1","Artist","387","dynamitenatalia","dynamitenatalia","","","","","","","","PENDING",""
"I70-048516","vickie_(cryingrobot)","1","Artist","387","cryingrobot","cryingrobot","","","ヴィッキー（クリングロボット）","","","","","PENDING",""
"I70-048517","yoye_(pastel_white)","1","Artist","387","masiroke","masiroke","","","ヨエ（パステルホワイト）","","","","","PENDING",""
"I70-048518","yugen99","1","Artist","387","","","","","yugen99","","","","","PENDING",""
