row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-043251,touhou_shizenyu,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043252,tower_defense_simulator,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043253,uchi_no_shisho_wa_shippo_ga_nai,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043254,ultraman_r/b,Copyright,65,REAL_3D,HIGH,Live-action/tokusatsu television property; outside the user's 2D-only media scope.,,MANUAL_SCOPE_BATCH_031
I70-043255,unbalance_unbalance,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043256,uwabami_breakers,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043257,valhalla_valkyries,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043258,yozakura-san_chi_no_daisakusen,Copyright,65,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043259,akihabara_beer_fair,Copyright,64,REAL_3D,HIGH,Real-world commercial/event identity; outside 2D-only scope.,,MANUAL_SCOPE_BATCH_031
I70-043260,apricot_(vocaloid),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043261,asura_fantasy_online,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043262,ataman_ita_(synthesizer_v),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043263,awakening_promise_(love_live!),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043264,bakumatsu_rouman_dainimaku,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043265,battle_spirits:_burning_soul,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043266,boku_to_kanojo_no_onani_life,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043267,bunny_garden_2,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043268,castlevania:_legacy_of_darkness,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043269,demonion_ii:_maou_to_sannin_no_joou,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043270,di_gi_charat_(1999),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043271,double_teacher_life,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043272,freely_tomorrow_(vocaloid),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043273,fujiya,Copyright,64,REAL_3D,HIGH,Real-world commercial food/company brand identity; outside 2D-only scope.,,MANUAL_SCOPE_BATCH_031
I70-043274,futari_ecchi,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043276,gleipnir_(series),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043277,hanidebi!_honey_&_devil,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043278,haruka_naru_enkei_sekai,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043279,hibikase_(vocaloid),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043280,imouto_no_okage_de_mote_sugite_yabai,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043281,juuni_senshi_bakuretsu_eto_ranger,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043282,juuoumujin_no_fafnir,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043283,karasu_wa_aruji_wo_erabanai,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043284,kemono_friends_opening_day,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043285,killer_instinct_(series),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043286,kuuchuu_buranko,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043287,labyrinth_of_touhou_2,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043288,maebashi_witches,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043289,mamamoo,Copyright,64,REAL_3D,HIGH,Real-person music/idol group identity; outside Character/Copyright 2D-fiction scope.,,MANUAL_SCOPE_BATCH_031
I70-043290,mega_man_10,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043291,million_chain,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043292,mongil:_star_dive,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043293,muteki_koujin_daitarn_3,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043294,nanawind,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043295,natsu_no_arashi!,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043296,nega0,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043297,nudist_beach_ni_shuugakuryokou_de!!,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043298,oumagadoki_doubutsuen,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043299,pash_(magazine),Copyright,64,REAL_3D,HIGH,Real-world magazine/publication identity; outside 2D-only scope.,,MANUAL_SCOPE_BATCH_031
I70-043300,phighting!,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043303,raideen_(series),Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043304,risk_hunters,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043305,saint_estera_gakuin_no_shichinin_no_majo,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043306,sei_ni_utokatta_watashi_wa_kurasu_no_danshi_to_ooo_shite_shimaimashita,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043307,seikaisuru_kado,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043308,sengoku_gensoukyoku,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043309,senran_nin_nin_ninja_taisen_neptune:_shoujo-tachi_no_kyouen,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043310,shinki_kakusei_melty_maiden,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043311,soap_school,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043312,super_robot_wars_t,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
I70-043313,taiyou_de_are!,Copyright,64,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_031
