row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-038978,project-sp,Copyright,263,IN_2D,HIGH,Chinese VTuber group; retained under the explicit VTuber and virtual-character rule.,https://virtualyoutuber.fandom.com/wiki/Project_SP,MANUAL_SCOPE_BATCH_040
I70-039217,aerisdies,Copyright,236,IN_2D,HIGH,Released downloadable role-playing game; retained under the game rule.,https://jrpgcombatsystems.itch.io/aerisdies,MANUAL_SCOPE_BATCH_040
I70-039396,horse_race_tests,Copyright,220,IN_2D,HIGH,Fictional illustrated horse-girl property with named characters; retained in 2D character scope.,https://safebooru.org/index.php?id=5725316&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-039440,the_weaker_sex_1_(gibson),Copyright,216,IN_2D,HIGH,Charles Dana Gibson illustrated work used as an image-parody source; retained as illustrated content.,https://www.loc.gov/item/2010716170/,MANUAL_SCOPE_BATCH_040
I70-039782,project_i,Copyright,187,IN_2D,HIGH,Virtual-YouTuber character project; retained under the explicit VTuber rule.,https://safebooru.org/index.php?id=6385982&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-039879,w_tails_cat,Copyright,180,IN_2D,HIGH,Masamune Shirow illustrated story and art-book property with fictional characters; retained in illustrated scope.,https://ndlsearch.ndl.go.jp/books/R100000002-I023405044,MANUAL_SCOPE_BATCH_040
I70-039999,trojan_green_asteroid,Copyright,173,IN_2D,HIGH,Touhou-derived fictional illustrated property; retained in 2D fan-content scope.,https://safebooru.org/index.php?id=6374008&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-040270,omc,Copyright,155,REAL_3D,HIGH,OrderMade COM is a real commercial online commission service operated by Terranetz; excluded as a real web service.,https://www.sse.or.jp/datafiles/listing/explain/2140/2140-ir-11-02-24.pdf,MANUAL_SCOPE_BATCH_040
I70-040325,ways_of_darkness_(series),Copyright,152,IN_2D,HIGH,Fictional illustrated fantasy series with named characters; retained in 2D character scope.,https://safebooru.org/index.php?id=5537080&page=post&s=view,MANUAL_SCOPE_BATCH_040
I70-040338,silverlight,Copyright,151,REAL_3D,HIGH,Microsoft Silverlight is a real software and web platform identity; excluded under the real product and web-service rule.,https://news.microsoft.com/source/2007/04/15/microsoft-unveils-silverlight-to-power-the-next-generation-of-media-experiences-on-the-web/,MANUAL_SCOPE_BATCH_040
I70-040658,omariposa,Copyright,134,IN_2D,HIGH,OMORI alternate-universe illustrated fan property; retained as fictional illustrated content.,https://safebooru.org/index.php?id=6337124&page=post&s=view,MANUAL_SCOPE_BATCH_040
