identity_key,state
anvil_position,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
armpit_licking,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
arms_bound,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
arms_tied,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
artificial_tentacles,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ashikoki,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ass-up_head-down,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
assertive_trap,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
backjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ball_bite,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ball_biting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ball_caress,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
ball_squeeze,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
beastiality,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
beheading,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bisexual_(female),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bisexual_(male),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bitch_brat,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
blindfolded,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
body_mutilation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bootjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bound_elbows,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bound_hands,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
brainwashing,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
braless,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bralift,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
breastless_clothing,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
breeding,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
bulge_grab,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
butt_cheeks,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cfnf,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cfnm,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
chastity_cage_removed,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cheating,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
child_body,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
childlike,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cleavegag,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
clevage,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
clothes_aside,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
clothes_removed,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
clothing_down,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
clothing_removed,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cmnf,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
cmnm,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21_1
