identity_key,bucket,reason
2d_dating,INTIMATE_GENERAL,affection_or_romance_contact
accidental_kiss,INTIMATE_GENERAL,affection_or_romance_contact
after_kiss,INTIMATE_GENERAL,affection_or_romance_contact
animal_hug,INTIMATE_GENERAL,affection_or_romance_contact
arm_hug,INTIMATE_GENERAL,affection_or_romance_contact
blowing_kiss,INTIMATE_GENERAL,affection_or_romance_contact
cicada_hug,INTIMATE_GENERAL,affection_or_romance_contact
cuddling,INTIMATE_GENERAL,affection_or_romance_contact
date_connection,INTIMATE_GENERAL,affection_or_romance_contact
dating,INTIMATE_GENERAL,affection_or_romance_contact
dolls_kissing,INTIMATE_GENERAL,affection_or_romance_contact
double_arm_hug,INTIMATE_GENERAL,affection_or_romance_contact
face_hug,INTIMATE_GENERAL,affection_or_romance_contact
forced_hug,INTIMATE_GENERAL,affection_or_romance_contact
fox_shadow_puppet_kiss,INTIMATE_GENERAL,affection_or_romance_contact
frieren_blowing_a_kiss,INTIMATE_GENERAL,affection_or_romance_contact
group_hug,INTIMATE_GENERAL,affection_or_romance_contact
guided_kiss,INTIMATE_GENERAL,affection_or_romance_contact
head_hug,INTIMATE_GENERAL,affection_or_romance_contact
holding_hands,INTIMATE_GENERAL,affection_or_romance_contact
hug,INTIMATE_GENERAL,affection_or_romance_contact
hug_carry,INTIMATE_GENERAL,affection_or_romance_contact
hug_from_behind,INTIMATE_GENERAL,affection_or_romance_contact
hug_from_side,INTIMATE_GENERAL,affection_or_romance_contact
hug_invitation,INTIMATE_GENERAL,affection_or_romance_contact
hugging_another's_leg,INTIMATE_GENERAL,affection_or_romance_contact
hugging_another's_tail,INTIMATE_GENERAL,affection_or_romance_contact
hugging_ass,INTIMATE_GENERAL,affection_or_romance_contact
hugging_book,INTIMATE_GENERAL,affection_or_romance_contact
hugging_doll,INTIMATE_GENERAL,affection_or_romance_contact
hugging_object,INTIMATE_GENERAL,affection_or_romance_contact
hugging_own_leg,INTIMATE_GENERAL,affection_or_romance_contact
hugging_own_legs,INTIMATE_GENERAL,affection_or_romance_contact
hugging_own_tail,INTIMATE_GENERAL,affection_or_romance_contact
hugging_tail,INTIMATE_GENERAL,affection_or_romance_contact
hugging_viewer,INTIMATE_GENERAL,affection_or_romance_contact
hugging_with_one_arm,INTIMATE_GENERAL,affection_or_romance_contact
imminent_hand_holding,INTIMATE_GENERAL,affection_or_romance_contact
imminent_hug,INTIMATE_GENERAL,affection_or_romance_contact
imminent_kiss,INTIMATE_GENERAL,affection_or_romance_contact
imminent_pocky_kiss,INTIMATE_GENERAL,affection_or_romance_contact
kiss,INTIMATE_GENERAL,affection_or_romance_contact
kiss_from_behind,INTIMATE_GENERAL,affection_or_romance_contact
kissing_animal,INTIMATE_GENERAL,affection_or_romance_contact
kissing_ass,INTIMATE_GENERAL,affection_or_romance_contact
kissing_back,INTIMATE_GENERAL,affection_or_romance_contact
kissing_cheek,INTIMATE_GENERAL,affection_or_romance_contact
kissing_ear,INTIMATE_GENERAL,affection_or_romance_contact
kissing_eye,INTIMATE_GENERAL,affection_or_romance_contact
kissing_foot,INTIMATE_GENERAL,affection_or_romance_contact
kissing_forehead,INTIMATE_GENERAL,affection_or_romance_contact
kissing_hand,INTIMATE_GENERAL,affection_or_romance_contact
kissing_head,INTIMATE_GENERAL,affection_or_romance_contact
kissing_leg,INTIMATE_GENERAL,affection_or_romance_contact
kissing_neck,INTIMATE_GENERAL,affection_or_romance_contact
kissing_nose,INTIMATE_GENERAL,affection_or_romance_contact
kissing_object,INTIMATE_GENERAL,affection_or_romance_contact
kissing_shoulder,INTIMATE_GENERAL,affection_or_romance_contact
kissing_stomach,INTIMATE_GENERAL,affection_or_romance_contact
kissing_thigh,INTIMATE_GENERAL,affection_or_romance_contact
kissing_viewer,INTIMATE_GENERAL,affection_or_romance_contact
mutual_hug,INTIMATE_GENERAL,affection_or_romance_contact
nuzzle,INTIMATE_GENERAL,affection_or_romance_contact
one-armed_hug,INTIMATE_GENERAL,affection_or_romance_contact
pillow_hug,INTIMATE_GENERAL,affection_or_romance_contact
pov_dating,INTIMATE_GENERAL,affection_or_romance_contact
self_hug,INTIMATE_GENERAL,affection_or_romance_contact
surprise_hug,INTIMATE_GENERAL,affection_or_romance_contact
upside-down_kiss,INTIMATE_GENERAL,affection_or_romance_contact
waist_hug,INTIMATE_GENERAL,affection_or_romance_contact
wing_hug,INTIMATE_GENERAL,affection_or_romance_contact
