identity_key,bucket,reason
abduction,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
abuse,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
attack,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
attacking_viewer,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
aura_bullying_(meme),VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
axe_kick,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
boss_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
bullying,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
bullying_viewer,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
child_abuse,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
chisato_and_takina_kicking_each_other's_butt_(meme),VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
choke_hold,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
choking_on_object,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
combined_attack,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
critical_hit,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
execution,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
face_punch,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
fist_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
food_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
groin_attack,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
hip_attack,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_attack,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_hit,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_kick,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_murder,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
imminent_punch,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
implied_after_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
implied_murder,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
kicking,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
kicking_viewer,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
kidnapping,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
murder,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
pillow_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
punching,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
punching_viewer,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
rocket_punch,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
slapping,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
snowball_fight,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
stomach_punch,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
yukkuri_abuse,VIOLENCE_NONSEX_AXIS,violence_or_coercion_contact
