identity_key,bucket,reason
\m/,ORDINARY_INTERACTION,no_boundary_cue
\n/,ORDINARY_INTERACTION,no_boundary_cue
abhaya_mudra,ORDINARY_INTERACTION,no_boundary_cue
absorbing,ORDINARY_INTERACTION,no_boundary_cue
accident,ORDINARY_INTERACTION,no_boundary_cue
accidental_touch,ORDINARY_INTERACTION,no_boundary_cue
adjusting_another's_clothes,ORDINARY_INTERACTION,no_boundary_cue
adjusting_another's_eyewear,ORDINARY_INTERACTION,no_boundary_cue
adjusting_another's_hair,ORDINARY_INTERACTION,no_boundary_cue
adjusting_apron,ORDINARY_INTERACTION,no_boundary_cue
adjusting_belt,ORDINARY_INTERACTION,no_boundary_cue
adjusting_bow,ORDINARY_INTERACTION,no_boundary_cue
adjusting_bowtie,ORDINARY_INTERACTION,no_boundary_cue
adjusting_buruma,ORDINARY_INTERACTION,no_boundary_cue
adjusting_dress,ORDINARY_INTERACTION,no_boundary_cue
adjusting_earrings,ORDINARY_INTERACTION,no_boundary_cue
adjusting_eyewear,ORDINARY_INTERACTION,no_boundary_cue
adjusting_footwear,ORDINARY_INTERACTION,no_boundary_cue
adjusting_gloves,ORDINARY_INTERACTION,no_boundary_cue
adjusting_goggles,ORDINARY_INTERACTION,no_boundary_cue
adjusting_hair,ORDINARY_INTERACTION,no_boundary_cue
adjusting_hair_ornament,ORDINARY_INTERACTION,no_boundary_cue
adjusting_headphones,ORDINARY_INTERACTION,no_boundary_cue
adjusting_headset,ORDINARY_INTERACTION,no_boundary_cue
adjusting_headwear,ORDINARY_INTERACTION,no_boundary_cue
adjusting_hood,ORDINARY_INTERACTION,no_boundary_cue
adjusting_legwear,ORDINARY_INTERACTION,no_boundary_cue
adjusting_mask,ORDINARY_INTERACTION,no_boundary_cue
adjusting_neck_ribbon,ORDINARY_INTERACTION,no_boundary_cue
adjusting_necktie,ORDINARY_INTERACTION,no_boundary_cue
adjusting_scarf,ORDINARY_INTERACTION,no_boundary_cue
adjusting_shirt,ORDINARY_INTERACTION,no_boundary_cue
adjusting_shoe,ORDINARY_INTERACTION,no_boundary_cue
adjusting_shorts,ORDINARY_INTERACTION,no_boundary_cue
adjusting_skirt,ORDINARY_INTERACTION,no_boundary_cue
adjusting_sleeves,ORDINARY_INTERACTION,no_boundary_cue
adjusting_sock,ORDINARY_INTERACTION,no_boundary_cue
adjusting_strap,ORDINARY_INTERACTION,no_boundary_cue
aerial_battle,ORDINARY_INTERACTION,no_boundary_cue
aerokinesis,ORDINARY_INTERACTION,no_boundary_cue
affirmation,ORDINARY_INTERACTION,no_boundary_cue
after_bathing,ORDINARY_INTERACTION,no_boundary_cue
after_battle,ORDINARY_INTERACTION,no_boundary_cue
after_exercise,ORDINARY_INTERACTION,no_boundary_cue
after_meal,ORDINARY_INTERACTION,no_boundary_cue
ahoge_grab,ORDINARY_INTERACTION,no_boundary_cue
ai_ai_gasa,ORDINARY_INTERACTION,no_boundary_cue
air_guitar,ORDINARY_INTERACTION,no_boundary_cue
air_hockey,ORDINARY_INTERACTION,no_boundary_cue
airsoft,ORDINARY_INTERACTION,no_boundary_cue
akira_slide,ORDINARY_INTERACTION,no_boundary_cue
alchemy,ORDINARY_INTERACTION,no_boundary_cue
ambush,ORDINARY_INTERACTION,no_boundary_cue
american_football_(sport),ORDINARY_INTERACTION,no_boundary_cue
animal_around_neck,ORDINARY_INTERACTION,no_boundary_cue
animal_in_mouth,ORDINARY_INTERACTION,no_boundary_cue
animal_on_arm,ORDINARY_INTERACTION,no_boundary_cue
animal_on_ass,ORDINARY_INTERACTION,no_boundary_cue
animal_on_back,ORDINARY_INTERACTION,no_boundary_cue
animal_on_chest,ORDINARY_INTERACTION,no_boundary_cue
animal_on_face,ORDINARY_INTERACTION,no_boundary_cue
animal_on_finger,ORDINARY_INTERACTION,no_boundary_cue
animal_on_hand,ORDINARY_INTERACTION,no_boundary_cue
animal_on_head,ORDINARY_INTERACTION,no_boundary_cue
animal_on_lap,ORDINARY_INTERACTION,no_boundary_cue
animal_on_leg,ORDINARY_INTERACTION,no_boundary_cue
animal_on_shoulder,ORDINARY_INTERACTION,no_boundary_cue
animal_on_stomach,ORDINARY_INTERACTION,no_boundary_cue
animal_on_weapon,ORDINARY_INTERACTION,no_boundary_cue
apologizing,ORDINARY_INTERACTION,no_boundary_cue
apple_on_head,ORDINARY_INTERACTION,no_boundary_cue
arguing,ORDINARY_INTERACTION,no_boundary_cue
arima_kinen,ORDINARY_INTERACTION,no_boundary_cue
arm_around_another's_back,ORDINARY_INTERACTION,no_boundary_cue
arm_around_another's_waist,ORDINARY_INTERACTION,no_boundary_cue
arm_around_neck,ORDINARY_INTERACTION,no_boundary_cue
arm_around_shoulder,ORDINARY_INTERACTION,no_boundary_cue
arm_between_another's_legs,ORDINARY_INTERACTION,no_boundary_cue
arm_on_another's_head,ORDINARY_INTERACTION,no_boundary_cue
arm_on_another's_shoulder,ORDINARY_INTERACTION,no_boundary_cue
arm_pillow,ORDINARY_INTERACTION,no_boundary_cue
arm_wrestling,ORDINARY_INTERACTION,no_boundary_cue
