identity_key,candidate_cluster,candidate_state,human_intent,review_note
implied_erection,OVERLAP|BODY_PART|CONTEXT_MODIFIER|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
implied_futanari,OVERLAP|BODY_PART|CONTEXT_MODIFIER|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
labia_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
large_insertion,OVERLAP|BODY_PART|INSERTION_STRUCTURED|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
knees_to_chest,OVERLAP|BODY_PART|POSE_COMPOSITION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
cervix,OVERLAP|BODY_PART|REPRO_BODY_STATE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
uterus,OVERLAP|BODY_PART|REPRO_BODY_STATE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
pregnant,OVERLAP|BODY_PART|REPRO_BODY_STATE|REPRO,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
leash_between_breasts,OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
nose_hook,OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
tongue_clamp,OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
cameltoe,OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_ATTRIBUTE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
sideboob,OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_ATTRIBUTE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
covered_penis,OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
erection_under_clothes,OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
panties_on_penis,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|ANATOMY+EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
open_collar,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
implied_nudity,OVERLAP|CLOTHING_STATE_EXPOSURE|CONTEXT_MODIFIER|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
erection_under_blanket,OVERLAP|CLOTHING_STATE_EXPOSURE|DIRECT_COMPOSITE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
erection_under_towel,OVERLAP|CLOTHING_STATE_EXPOSURE|DIRECT_COMPOSITE|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
unworn_butt_plug,OVERLAP|CLOTHING_STATE_EXPOSURE|IMPLEMENT_OBJECT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
fingering_through_clothes,OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
fingering_through_panties,OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX+EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
tentacles_under_clothes,OVERLAP|CLOTHING_STATE_EXPOSURE|NONHUMAN_INTERACTION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
upskirt,OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
pantyshot,OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
gagged,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_ACTION|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
leash_pull,OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_ACTION|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
public_nudity,OVERLAP|CLOTHING_STATE_EXPOSURE|SCENE_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
zenra,OVERLAP|CLOTHING_STATE_EXPOSURE|SCENE_CONTEXT|NONE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
nursing_fingering,OVERLAP|CLOTHING|(none)|EXPLICIT_SEX,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
fuck-me_pasties,OVERLAP|CLOTHING|(none)|EXPLICIT_SEX+EXPOSURE_INTIMATE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
blindfold_mask,OVERLAP|CLOTHING|(none)|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
tape_blindfold,OVERLAP|CLOTHING|(none)|RESTRAINT_FETISH,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
nipple_tag,OVERLAP|CLOTHING|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
nipple_tassels,OVERLAP|CLOTHING|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
bodystocking,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ADULT_ROLE_DEVICE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
bustier,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ADULT_ROLE_DEVICE,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
crotch_seam,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ANATOMY,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
fuck-me_clothes,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|EXPLICIT_SEX,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
fuck-me_shirt,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|EXPLICIT_SEX,FULL_REVIEW_REMAINING_SMALL_CLUSTERS_V104_BATCH2,,
