row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-003078,yuu_(twisted_wonderland),Character,1094,ユウ,ユウ | ユウ(ツイステ) | 監督生,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003086,abigail_williams_(third_ascension)_(fate),Character,1091,アビゲイル・ウィリアムズ（第3再臨）,アビゲイル・ウィリアムズ | 第3再臨,,character_accepted_blank_batch057.csv,,,,,,
I70-003087,bomb_hybrid_(chainsaw_man),Character,1091,爆弾の悪魔,爆弾の悪魔 | 爆弾の武器人間 | レゼ,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003099,lamb_(league),Character,1086,ラム,ラム | Lamb | ヒツジ | キンドレッド,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003100,aijo_karen,Character,1085,愛城華恋,愛城華恋 | 華恋,,character_accepted_blank_batch057.csv,,,,,,
I70-003102,randal_ivory,Character,1085,ランダル・アイボリー,ランダル・アイボリー | Randal Ivory,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003126,yorick_(shiori_novella),Character,1078,ヨリック,ヨリック | Yorick | Shiori Novella,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003163,sameko_saba_(1st_costume),Character,1066,さめこさば（通常衣装）,さめこさば | Sameko Saba | 通常衣装,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003170,mem_(honkai:_star_rail),Character,1065,ミュリオン,ミュリオン | Mem,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003176,male_byleth_(awakened)_(fire_emblem),Character,1062,ベレト（覚醒）,ベレト | ベレト(覚醒) | 男主人公,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003203,guoba_(genshin_impact),Character,1051,グゥオパァー,グゥオパァー | Guoba | 鍋巴,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003217,metroid_(creature),Character,1045,メトロイド,メトロイド | メトロイド(クリーチャー) | ベビーメトロイド,,character_accepted_blank_batch057.csv,,,,,,
I70-003243,adventurer_(ff14),Character,1035,光の戦士,光の戦士 | メテオ | ひろし(FF14),要確認,character_youkakunin_final_batch055.csv,,,,,,
I70-003248,meltryllis_(swimsuit_lancer)_(second_ascension)_(fate),Character,1034,メルトリリス（水着ランサー・第2再臨）,メルトリリス | 水着メルトリリス | 第2再臨,,character_accepted_blank_batch057.csv,,,,,,
I70-003258,rosa_(tears_of_themis),Character,1032,ローザ,ローザ | ローザ(未定事件簿),要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003286,crow_(la+_darknesss),Character,1023,カラス,カラス | ラプラス・ダークネスのカラス,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003288,label_(nikke),Character,1022,レーベル,レーベル | レーベル(NIKKE),,character_accepted_blank_batch057.csv,,,,,,
I70-003328,pebble_(koseki_bijou),Character,1007,ペブル,ペブル | Pebble,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003352,miss_cloud,Character,1001,Miss Cloud,Miss Cloud | ミスクラウド,要確認,character_no_trusted_ja_batch010.csv,,,,,,
I70-003358,mewo,Character,999,Mewo,Mewo | ミャオ,要確認,character_no_trusted_ja_batch010.csv,,,,,,
I70-003360,p-chan_(ranma_1/2),Character,999,Pちゃん,Pちゃん | Pちゃん(らんま1/2),,character_accepted_blank_batch057.csv,,,,,,
I70-003371,rieszverne_suzette_paladill,Character,995,リース,リース,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003379,kamanosuke_(zenless_zone_zero),Character,994,かまのすけ,かまのすけ | かまちー,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003441,magus_(zenless_zone_zero),Character,978,鬼火,鬼火 | 鬼火(ゼンゼロ),要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003442,little_ica_(honkai:_star_rail),Character,977,イカルン,イカルン,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003460,xie_lian,Character,973,謝憐,謝憐 | シエ・リェン,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003468,jingwei_(bird),Character,971,精衛鳥,精衛鳥,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003470,jack_frost_(megami_tensei),Character,970,ジャックフロスト,ジャックフロスト | 妖精ジャックフロスト,,character_accepted_blank_batch057.csv,,,,,,
I70-003487,lida_(pokemon),Character,966,デウロ,デウロ,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003488,puyo_(puyopuyo),Character,966,ぷよ,ぷよ | ぷよ(ぷよぷよ),,character_accepted_blank_batch057.csv,,,,,,
I70-003517,male_endministrator_(arknights),Character,956,男管理人,男管理人,日本語公式表記の追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-003543,enraku_tsubakura,Character,948,燕楽玄鳥,燕楽玄鳥,日本語表記と読みの追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-003614,fallenshadow,Character,929,Fallenshadow,Fallenshadow,日本語定着表記の追加確認が必要,character_no_trusted_ja_batch010.csv,,,,,,
