row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-079651,tsubutarou,1,Artist,,,,,ツブタロウ,,[]
I70-079652,tsukiaki_teriyaki,1,Artist,,,,,,,[]
I70-079653,tsumaseu,1,Artist,,,,,津波,,[]
I70-079654,tsunekun,1,Artist,,,,,Tsunekun,,[]
I70-079655,tsuu_(tu-3),1,Artist,,,,,Tsuu（Tu-3）,,[]
I70-079656,tutuuraura88,1,Artist,,,,,,,[]
I70-079657,u_tei,1,Artist,,,,,,,[]
I70-079658,uguisu_ann,1,Artist,milkma2,milkma2,,,,,[]
I70-079659,umaguti,1,Artist,,,,,umaguti,,[]
I70-079660,unitaroukun,1,Artist,,,,,,,[]
I70-079661,uro_kohara,1,Artist,,,,,,,[]
I70-079662,uryan!,1,Artist,,,,,,,[]
I70-079663,usalxlusa,1,Artist,,,,,usalxlusa,,[]
I70-079664,utilizator,1,Artist,,,,,利用者,,[]
I70-079665,uzuri_art,1,Artist,,,,,,,[]
I70-079666,ve_0ekaki,1,Artist,,,,,,,[]
I70-079667,vuta,1,Artist,vuta3,vuta3,,,,,[]
I70-079668,wakaya_hana,1,Artist,,,,,ワカヤ・ハナ,,[]
I70-079669,warabin_(suteki_denpun),1,Artist,,,,,ワラビン（suteki denpun）,,[]
I70-079670,waramugu,1,Artist,tadanohokori20,tadanohokori20,,,,,[]
I70-079671,wari_sando,1,Artist,,,,,,,[]
I70-079672,wei_(wei_xiao_wei),1,Artist,wei_(cfze2853),wei (cfze2853),,,,,[]
I70-079673,windcaller,1,Artist,,,,,WindCaller,,[]
I70-079674,wo_jianqiang_fu_guo,1,Artist,,,,,wo jianqiang fu guo,,[]
I70-079675,wosinnk,1,Artist,,,,,,,[]
I70-079676,wuguno_ziran_juan,1,Artist,,,,,wuguno Ziran Juan,,[]
I70-079677,wuzhu_nis,1,Artist,ni_dgs,ni dgs,,,,,[]
I70-079678,xandredarium22,1,Artist,,,,,,,[]
I70-079679,xiao_jian,1,Artist,,,,,,,[]
I70-079680,xiaoji_chuangzao,1,Artist,,,,,,,[]
I70-079681,xiaojuan_(user_ezvt7287),1,Artist,,,,,,,[]
I70-079682,xiaowu0074,1,Artist,,,,,,,[]
I70-079683,xobox,1,Artist,,,,,xobox,,[]
I70-079684,y.kami_nao/take,1,Artist,,,,,,,[]
I70-079685,yaco_(085),1,Artist,,,,,,,[]
I70-079686,yado_taityou,1,Artist,yado_2b,yado 2b,,,,,[]
I70-079687,yakkuro,1,Artist,,,,,ヤクロ,,[]
I70-079688,yamagishi_chihiro,1,Artist,,,,,山頂チヒロ,,[]
I70-079689,yinori,1,Artist,minoriqq,minoriqq,,,Yinori,,[]
I70-079690,yomoyama_(toirets),1,Artist,,,,,Yomoyama（Toirets）,,[]
I70-079691,yonaga_tsuki25,1,Artist,,,,,,,[]
I70-079692,yoshida_takuma,1,Artist,,,,,吉田高田,,[]
I70-079693,yoshihara_seiichi,1,Artist,,,,,ヨシハラ聖書,,[]
I70-079694,yoyterra,1,Artist,,,,,ヨイテラ,,[]
I70-079695,yu_(pocketsun636),1,Artist,dchrmt,dchrmt,,,,,[]
I70-079696,yu_416416,1,Artist,,,,,Yu 416416,,[]
I70-079697,yu1_na12,1,Artist,,,,,,,[]
I70-079698,yukari_yukke,1,Artist,,,,,Yukari Yukke,,[]
I70-079699,yuki_kaori,1,Artist,,,,,Kaoriゆけ,,[]
I70-079700,yukimurayura,1,Artist,"kirin_(kirin1023),kirin3939",kirin (kirin1023) | kirin3939,,,,,[]
