old_genre_id,old_subgenre_id,old_label_ja,v1_primary_count,v2_action,candidate_kind,candidate_facet,reason
BODY_ANATOMY,BREAST_NIPPLE,乳房・乳首,43,REMOVE_VISIBLE_SUBGENRE,身体・状態,部位:乳房・乳首,body-site axis; facetへ移す
BODY_ANATOMY,FEMALE_GENITAL,女性器,35,REMOVE_VISIBLE_SUBGENRE,身体・状態,部位:女性器,body-site axis; facetへ移す
BODY_ANATOMY,MALE_GENITAL,男性器,66,REMOVE_VISIBLE_SUBGENRE,身体・状態,部位:男性器,body-site axis; facetへ移す
BODY_ANATOMY,BUTTOCK_ANUS,臀部・肛門,21,REMOVE_VISIBLE_SUBGENRE,身体・状態,部位:臀部・肛門(暫定),body-site axis; 肛門/臀部の分離要否は全件確認
BODY_ANATOMY,INTERNAL_ANATOMY,体内・断面,20,FLATTEN,身体・状態,,20件のため恒久ツリーノードにしない
BODY_ANATOMY,BODY_ADORNMENT_MARK,装飾・印,57,FLATTEN,身体・状態,,意味差は検索/表示語で保持し恒久ツリーは増やさない
BODY_ANATOMY,PUBIC_HAIR,陰毛,10,FLATTEN,身体・状態,,10件の小棚を廃止
NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,裸体・半裸,118,FLATTEN,衣服・露出,,大分類内へ統合
NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,脱衣・着崩し,115,FLATTEN,衣服・露出,,大分類内へ統合
NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,部分露出,68,FLATTEN,衣服・露出,,大分類内へ統合
NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,隠し・覆い,58,FLATTEN,衣服・露出,,大分類内へ統合
NUDITY_CLOTHING_EXPOSURE,THROUGH_CLOTHING_VISIBILITY,透け・衣服越し,14,FLATTEN,衣服・露出,,14件の小棚を廃止
NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,開口・カットアウト,61,FLATTEN,衣服・露出,,大分類内へ統合
NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,下着・ランジェリー,54,FLATTEN,衣服・露出,,大分類内へ統合
SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,性交・性行為,35,FLATTEN,行為・接触,,行為の細分類を恒久ツリーにしない
SEXUAL_ACTIVITY_STIMULATION,MASTURBATION,自慰,33,FLATTEN,行為・接触,,検索/タグ名で識別可能
SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,口淫,91,REMOVE_VISIBLE_SUBGENRE,行為・接触,部位:口・口内,行為home + body-site facet
SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,手・足・身体刺激,86,FLATTEN,行為・接触,,細分類を廃止
SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,擦り・挟み・こすり,35,FLATTEN,行為・接触,,細分類を廃止
SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,局所刺激,76,FLATTEN,行為・接触,,部位facetが代替するため細分類不要
SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,絶頂・反応,20,FLATTEN,行為・接触,,20件の小棚を廃止
SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,直前・事後,50,FLATTEN,行為・接触,,細分類を廃止
SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,示唆・仕草,46,FLATTEN,行為・接触,,細分類を廃止
SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,協力・複数行為,68,FLATTEN,行為・接触,,細分類を廃止
CONTACT_INSERTION_BODY_SITE,GENERAL_INSERTION,挿入全般,43,FLATTEN,行為・接触,,旧top-levelごと行為へ統合
CONTACT_INSERTION_BODY_SITE,ANAL_SITE,肛門・直腸,18,REMOVE_VISIBLE_SUBGENRE,行為・接触,部位:臀部・肛門(暫定),body-site facetへ
CONTACT_INSERTION_BODY_SITE,FEMALE_GENITAL_SITE,女性器,8,REMOVE_VISIBLE_SUBGENRE,行為・接触,部位:女性器,8件の小棚を廃止しfacetへ
CONTACT_INSERTION_BODY_SITE,URETHRAL_SITE,尿道,12,REMOVE_VISIBLE_SUBGENRE,行為・接触,部位:尿道,12件の小棚を廃止しfacetへ
CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,外部接触,41,FLATTEN,行為・接触,,細分類を廃止
CONTACT_INSERTION_BODY_SITE,MULTIPLE_DEEP_INSERTION,深部・多重挿入,20,FLATTEN,行為・接触,,20件の小棚を廃止
BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,拘束状態,61,REMOVE_VISIBLE_SUBGENRE,行為・接触,テーマ:拘束・BDSM,theme axisをhomeから分離
BONDAGE_BDSM_DOMINATION,BONDAGE_POSITION,緊縛姿勢,13,REMOVE_VISIBLE_SUBGENRE,ポーズ・構図・場面,テーマ:拘束・BDSM,13件の小棚廃止; pose homeへ
BONDAGE_BDSM_DOMINATION,RESTRAINT_DEVICE,拘束具,62,REMOVE_VISIBLE_SUBGENRE,道具・物,テーマ:拘束・BDSM,deviceは道具home
BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,口枷,42,REMOVE_VISIBLE_SUBGENRE,道具・物,部位:口・口内 | テーマ:拘束・BDSM,object/body-site/themeを分離
BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,貞操管理,21,REMOVE_VISIBLE_SUBGENRE,道具・物(暫定),テーマ:拘束・BDSM,device/state混在のため全件確認
BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,苦痛・拷問,74,REMOVE_VISIBLE_SUBGENRE,行為・接触,テーマ:拘束・BDSM,theme axisを分離
BONDAGE_BDSM_DOMINATION,DOMINATION_SUBMISSION,支配・服従,23,REMOVE_VISIBLE_SUBGENRE,人物・関係,テーマ:拘束・BDSM,role/relation homeへ
BONDAGE_BDSM_DOMINATION,FORCE_NONCONSENT,強制・非合意,42,REMOVE_VISIBLE_SUBGENRE,行為・接触,テーマ:拘束・BDSM,context/themeをhomeから分離
