identity_key,boundary_flags,candidate_state
aqua_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
aqua_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
black_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
black_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
black_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
black_chemise,underlayer_token:chemise,CLOTHING_BOUNDARY
black_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
blue_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
blue_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
blue_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
blue_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
bow_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
bow_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
brown_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
brown_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
brown_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
budget_sarashi,underlayer_token:sarashi,CLOTHING_BOUNDARY
buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
chest_sarashi,underlayer_token:sarashi,CLOTHING_BOUNDARY
colored_petticoat,underlayer_token:petticoat,CLOTHING_BOUNDARY
frilled_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
frilled_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
frilled_chemise,underlayer_token:chemise,CLOTHING_BOUNDARY
frilled_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
girdle,underlayer_token:girdle,CLOTHING_BOUNDARY
gradient_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
green_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
green_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
grey_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
grey_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
grey_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
grey_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
lace-trimmed_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
orange_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
orange_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
orange_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
petticoat,underlayer_token:petticoat,CLOTHING_BOUNDARY
pink_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
pink_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
pink_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
pink_chemise,underlayer_token:chemise,CLOTHING_BOUNDARY
pink_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
pinstripe_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
plaid_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
polka_dot_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
polka_dot_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
print_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
purple_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
purple_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
purple_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
purple_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
red_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
red_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
red_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
red_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
ribbed_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
ribbon-trimmed_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
sarashi,underlayer_token:sarashi,CLOTHING_BOUNDARY
sideless_dress,exposure_pattern:sideless,CLOTHING_BOUNDARY
sideless_kimono,exposure_pattern:sideless,CLOTHING_BOUNDARY
sideless_shirt,exposure_pattern:sideless,CLOTHING_BOUNDARY
sideless_shorts,exposure_pattern:sideless,CLOTHING_BOUNDARY
sideless_sweater,exposure_pattern:sideless,CLOTHING_BOUNDARY
striped_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
white_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
white_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
white_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
white_chemise,underlayer_token:chemise,CLOTHING_BOUNDARY
white_hiphighs,underlayer_token:hiphighs,CLOTHING_BOUNDARY
yellow_bloomers,underlayer_token:bloomers,CLOTHING_BOUNDARY
yellow_buruma,underlayer_token:buruma,CLOTHING_BOUNDARY
yellow_camisole,underlayer_token:camisole,CLOTHING_BOUNDARY
