row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-081701,arutoria_(187497382),1,Artist,,,,,Arutoria（187497382）,,[]
I70-081702,asagiri_kogen,1,Artist,,,,,アサギリ・コゲン,,[]
I70-081703,asahi_(ge_nyu),1,Artist,,,,,アサヒ（ge nyu）,,[]
I70-081704,ashofourtime,1,Artist,,,,,,,[]
I70-081705,asuda,1,Artist,,,,,asuda,,[]
I70-081706,auuufox,1,Artist,,,,,,,[]
I70-081707,avesaoi,1,Artist,,,,,,,[]
I70-081708,ayahosiyuki,1,Artist,,,,,,,[]
I70-081709,ayame_(3103942),1,Artist,,,,,,,[]
I70-081710,ayuhara_hiiro,1,Artist,,,,,ayuhara hiiro,,[]
I70-081711,azuki_(lizzy),1,Artist,,,,,アズキ（リジー）,,[]
I70-081712,azuman,1,Artist,,,,,アズマン,,[]
I70-081713,baba_kanade,1,Artist,,,,,ババ・カナデ,,[]
I70-081714,badamon,1,Artist,"yai_sea_ball,user_gsdy3725",user gsdy3725 | yai sea ball,,,バダモン,,[]
I70-081715,bamashengze,1,Artist,,,,,,,[]
I70-081716,bananatsukis,1,Artist,,,,,,,[]
I70-081717,barurun_pen,1,Artist,,,,,,,[]
I70-081718,beaker_pour,1,Artist,,,,,,,[]
I70-081719,beegle,1,Artist,,,,,beegle,,[]
I70-081720,beseunaj-jamjaneun_gemdol-i,1,Artist,ppodol0905,ppodol0905,,,,,[]
I70-081721,binzoko_megane_(san-inch),1,Artist,,,,,ビンゾコ・メガン（サンインチ）,,[]
I70-081722,birdhatter,1,Artist,,,,,,,[]
I70-081723,black_soldier,1,Artist,,,,,黒人兵士,,[]
I70-081724,bo_cota,1,Artist,,,,,,,[]
I70-081725,bokuso,1,Artist,,,,,Bokuso,,[]
I70-081726,cela_f,1,Artist,,,,,,,[]
I70-081727,chabi009,1,Artist,,,,,,,[]
I70-081728,chen_kang,1,Artist,,,,,,,[]
I70-081729,chen_ying_(alan-yut),1,Artist,,,,,,,[]
I70-081730,chenrong96,1,Artist,fiiishman,fiiishman,,,,,[]
I70-081731,chief_(chiefvinsmoke),1,Artist,,,,,,,[]
I70-081732,chigalidepoi,1,Artist,,,,,,,[]
I70-081733,chisaku,1,Artist,,,,,,,[]
I70-081734,chouti_ttt,1,Artist,,,,,,,[]
I70-081735,cirrika,1,Artist,,,,,Cirrika,,[]
I70-081736,cluhob,1,Artist,,,,,,,[]
I70-081737,cnorkie,1,Artist,,,,,,,[]
I70-081738,conejologia,1,Artist,,,,,,,[]
I70-081739,crazzeffect,1,Artist,,,,,,,[]
I70-081740,croix_(croixtw),1,Artist,,,,,,,[]
I70-081741,cyaca_ab,1,Artist,,,,,Cyaca AB,,[]
I70-081742,daiki,1,Artist,,,,,ダイキ,,[]
I70-081743,daisx_(dais0115),1,Artist,,,,,daisx（dais0115）,,[]
I70-081744,dancho_(danch),1,Artist,,,,,ダンチョ（ダンチ）,,[]
I70-081745,darlsdraws,1,Artist,"lina_rojas,dataglitch",dataglitch | lina rojas,,,リナロハス,,[]
I70-081746,daro,1,Artist,,,,,ダロ,,[]
I70-081747,daxieshen_huashi,1,Artist,,,,,,,[]
I70-081748,daxz240r,1,Artist,,,,,DAXZ240R,,[]
I70-081749,dconan_owo,1,Artist,,,,,dconan owo,,[]
I70-081750,dddddvkoko,1,Artist,,,,,,,[]
