review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
1126,sweet_pea,YES,スイートピーの花・植物,BROWSE_WORTHY,LIVING,CORE,植物・花として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
1129,fenix_uniform,YES,『仮面ライダーリバイス』の組織FENIXの制服,MIXED,CLOTHING_EXPOSURE,CORE,作品固有の制服として衣装から探す入口が成立,,,,,,,"[""CLOTHING/UNIFORM""]",[],[],NO,,RESEARCHED,"[""https://tokusatsunetwork.com/2021/09/kamen-rider-revice-fenix-tribe-uniform-sports-apparel-collection-revealed/""]",Kamen Rider ReviceのFENIX隊員用制服・ジャケットであることを確認。
1132,kanazawa_(city),YES,日本の石川県金沢市を指す地名参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
1135,gyaru_makeup,YES,ギャル系の特徴的なメイク,BROWSE_WORTHY,HAIR_FACE,CORE,顔の化粧・外見として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1138,plaid_cardigan,YES,チェック柄のカーディガン,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,COLOR_PATTERN_SHAPE,SUPPORTING,チェック柄から探す入口も独立して有用,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1141,facefucking,YES,陰茎を相手の口・喉へ能動的に出し入れするイラマチオ／facefucking,BROWSE_WORTHY,ACTION_CONTACT,CORE,口腔への挿入を伴う性行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]","[""MALE_GENITAL"", ""MOUTH_ORAL""]",[],NO,,RESEARCHED,"[""https://www.wikidata.org/wiki/Q2998028""]",facefuckingがirrumatioの別名で、penisをmouth/throatへthrustするoral sexと定義されることを確認。
1144,picture_book,YES,絵本,BROWSE_WORTHY,TOOL_OBJECT,CORE,本・小物として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1147,in_palm,YES,人物・小物などが手のひらの中／上に収まっている配置,BROWSE_WORTHY,POSE_POSITION,CORE,手のひらとの位置関係・スケール配置として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1150,grandmother_and_grandson,YES,祖母と孫息子の組み合わせ,BROWSE_WORTHY,RELATION_ROLE,CORE,家族関係・役割として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1153,frying_pan,YES,フライパン,BROWSE_WORTHY,TOOL_OBJECT,CORE,調理道具として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1156,dunmer,YES,『The Elder Scrolls』シリーズのダークエルフ種族Dunmerを指す固有種族参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/dagoth_ur""]",Danbooru wikiでMorrowindのDagoth Urがancient Dunmerと明記されることを確認。
1159,mint,YES,ミント（ハッカ）類の植物・葉,BROWSE_WORTHY,LIVING,CORE,植物・ハーブとして探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
1162,asymmetrical_sidelocks,YES,左右で長さ・形が異なるサイドロック（顔横の髪束）,BROWSE_WORTHY,HAIR_FACE,CORE,髪型・顔周りの髪として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1165,cat's_cradle,YES,紐を指に掛けて形を作るあやとり（Cat's cradle）,BROWSE_WORTHY,ACTION_CONTACT,CORE,紐を手指で操作する遊び・動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
1168,urban_legend,YES,都市伝説を題材・主題にした表現,BROWSE_WORTHY,,,,,,,,,,[],[],[],YES,都市伝説という物語・題材テーマに対応する専用top routeがない,CHECKED,[],
1171,slugcat,YES,ゲーム『Rain World』のプレイヤー種族・生物Slugcatを指す固有参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Rain_World""]",Rain Worldでプレイヤーがcat-slug hybridの「slugcat」を操作することを確認。
1174,audio-technica,YES,オーディオ機器メーカーAudio-Technicaおよび同社製品を示すブランド参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=880687&page=history&type=tag_history"", ""https://www.bloomberg.com/profile/company/7779920Z:JP""]",Safebooruでheadphonesとaudio-technicaの併用を確認し、メーカーがヘッドホン等の音響機器を製造することを確認。
1177,stitched_chest,YES,胸部の傷・皮膚などが縫合され、縫い目が見える表現,BROWSE_WORTHY,BODY_SITE,CORE,胸部の身体表現として探すのが自然,,,,,,,[],[],"[""INJURY_R18G""]",NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=5984436&page=post&s=view""]",Safebooruでscar on chest・stitchesと併用される胸部の縫合痕として確認。
1180,type_56_assault_rifle,YES,中国製の56式自動歩槍（Type 56 assault rifle）,MIXED,TOOL_OBJECT,CORE,銃器・武器として探す入口が成立,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
1183,bamboo,YES,竹,BROWSE_WORTHY,LIVING,CORE,植物として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
1186,large_nose,YES,大きく目立つ鼻,BROWSE_WORTHY,HAIR_FACE,CORE,顔の外見特徴として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1189,pink_one-piece_swimsuit,YES,ピンク色のワンピース型水着,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,水着・衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
