review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
1726,skull_print,YES,髑髏を描いたプリント・柄,BROWSE_WORTHY,COLOR_PATTERN_SHAPE,CORE,図柄・プリント模様として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1729,dragonslayer_(sword),YES,『ベルセルク』の大剣ドラゴンころしを指す固有武器参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
1732,blue_romper,YES,青いロンパース,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1735,roller_coaster,YES,ジェットコースター,BROWSE_WORTHY,TOOL_OBJECT,CORE,乗り物・遊具として探すのが自然,,,,,,,"[""OBJECT_PROP/VEHICLE""]",[],[],NO,,CHECKED,[],
1738,tree_costume,YES,木を模したコスチューム,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣装として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
1741,lying_on_branch,YES,木の枝の上に横たわる姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,人物の姿勢と枝上の配置として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1744,handbell,YES,手で持って鳴らすハンドベル,BROWSE_WORTHY,TOOL_OBJECT,CORE,楽器・小物として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1747,nibelheim,YES,『FINAL FANTASY VII』などの固有地名Nibelheimを指す参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
1750,sports_panties,YES,スポーツ用・運動着風のパンティー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,下着・衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1753,oversized_wings,YES,身体に対して極端に大きな翼を持つ外見,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,非人間的な付加器官として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1756,sheriff_(western),YES,西部劇の保安官・シェリフという役割,BROWSE_WORTHY,RELATION_ROLE,CORE,人物の職業・役割として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1759,tank_cupola,YES,戦車上部のキューポラ・車長用ハッチ周辺構造,BROWSE_WORTHY,TOOL_OBJECT,CORE,車両の構造・部品として探すのが自然,,,,,,,"[""OBJECT_PROP/VEHICLE""]",[],[],NO,,CHECKED,[],
1762,fur-trimmed_shawl,YES,毛皮で縁取られたショール,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服・肩掛けとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
1765,unworn_sandals,YES,履かずに置かれたり持たれたりしているサンダル,BROWSE_WORTHY,TOOL_OBJECT,CORE,身につけていない履物を物体として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1768,swivel_chair,YES,回転椅子,BROWSE_WORTHY,TOOL_OBJECT,CORE,家具・日用品として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1771,orange_peel,YES,オレンジの皮,BROWSE_WORTHY,TOOL_OBJECT,CORE,食品由来の物体として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
1774,tassel_choker,YES,タッセル飾り付きのチョーカー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,アクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
1777,dubcon,YES,フィクションで性的同意が不明確・疑わしい状況を示すdubious consentテーマ,BROWSE_WORTHY,,,,,,,,,,[],[],[],YES,同意の曖昧さという性的・物語的状況テーマに対応する専用top routeがない,RESEARCHED,"[""https://www.fanlore.org/wiki/Dub-con""]",Fanloreでdub-conがsexual interactions involving Dubious Consentで、同意が不明・確立されていない・疑わしい状況で得られた場合を指すと確認。
1780,character_background,YES,キャラクターを背景要素として配置・反復する背景表現,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,背景構成として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1783,black_lightning,YES,黒色で描かれた稲妻・電撃,BROWSE_WORTHY,LIGHT_TIME_WEATHER,CORE,稲妻・光学的な視覚要素として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1786,soldering_iron,YES,はんだごて,BROWSE_WORTHY,TOOL_OBJECT,CORE,工具として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1789,spring_onion_hair_ornament,YES,長ネギを意匠にした髪飾り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,髪のアクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
1792,full_cowling_(boku_no_hero_academia),YES,『僕のヒーローアカデミア』の技・状態Full Cowlingを指す固有参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
1795,destiny's_embrace_(kingdom_hearts),YES,『KINGDOM HEARTS』のキーブレードDestiny's Embraceを指す固有武器参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
1798,kuromorimine_(emblem),YES,『ガールズ＆パンツァー』の黒森峰女学園の校章・エンブレム,BROWSE_WORTHY,TEXT_SYMBOL,CORE,紋章・シンボルとして探す入口が成立,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
