review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
1951,fur-trimmed_jacket,YES,毛皮で縁取られたジャケット,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1954,on-model_vs_in_your_style_challenge,YES,公式・原作寄りの描画と自分の絵柄を比較する作画チャレンジ,BROWSE_WORTHY,STYLE_PROCESSING,CORE,作画・スタイル比較形式として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1957,metroid_suit,YES,『メトロイド』系列の固有スーツ・衣装参照,MIXED,CLOTHING_EXPOSURE,CORE,特徴的な衣装として探す入口が成立,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
1960,comic_panel_inset,YES,漫画コマの中や上に別の小コマを挿入したレイアウト,BROWSE_WORTHY,TEXT_SYMBOL,CORE,漫画レイアウトとして探すのが自然,,,,,,,"[""TEXT_SYMBOL/LAYOUT""]",[],[],NO,,CHECKED,[],
1963,labia_piercing,YES,陰唇に施したピアス,BROWSE_WORTHY,BODY_SITE,CORE,女性器の身体装飾として探すのが自然,,,,,,,[],"[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
1966,snow_on_head,YES,頭や髪の上に雪が積もった・付着した状態,BROWSE_WORTHY,HAIR_FACE,CORE,頭髪の外見状態として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1969,milk,YES,牛乳・ミルク,BROWSE_WORTHY,TOOL_OBJECT,CORE,飲食物として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
1972,hakama_removed,YES,袴を脱いだ・外した状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の脱衣状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
1975,split_head,YES,頭部が割れた・裂けた損傷表現,BROWSE_WORTHY,BODY_SITE,CORE,頭部の損傷として探すのが自然,,,,,,,[],[],"[""INJURY_R18G""]",NO,,CHECKED,[],
1978,polka_dot_sleeves,YES,水玉模様の袖,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の袖・柄として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1981,film_grain,YES,フィルム粒子のようなざらつきを加える画像表現,BROWSE_WORTHY,STYLE_PROCESSING,CORE,画像処理・質感として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1984,removing_coat,YES,コートを脱ぐ途中の動作,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の脱衣状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
1987,dildo_under_panties,YES,パンティーの内側にディルドを入れた性的表現,BROWSE_WORTHY,TOOL_OBJECT,CORE,性具・物体として探すのが自然,,,,,,,[],"[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
1990,tip_jar,YES,チップを入れる瓶・容器,BROWSE_WORTHY,TOOL_OBJECT,CORE,日用品・容器として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
1993,melting_eyes,YES,目が溶ける・液状化する異常表現,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,通常人体からの異常変形として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
1996,grey_male_underwear,YES,灰色の男性用下着,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,下着・衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
1999,magnum_buckle,YES,Magnum Buckleという作品固有の装備・アイテム参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
2002,sleeves_past_fingers,YES,袖が指先より長く手を覆う衣服状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,袖の長さ・衣服状態として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
2005,mask_pull,YES,マスクを引っ張る・ずらす動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,身につけた物を操作する動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
2008,watching_pornography,YES,ポルノ画像・映像を視聴している行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,視聴という行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
2011,knotted_penis,YES,根元付近などに結節・ノット状の膨らみを持つ陰茎表現,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,通常と異なる生殖器形状として探すのが自然,,,,,,,[],"[""MALE_GENITAL""]",[],NO,,CHECKED,[],
2014,red_lightning,YES,赤色で描かれた稲妻・電撃,BROWSE_WORTHY,LIGHT_TIME_WEATHER,CORE,稲妻・光学的な視覚要素として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
2017,native_american_headdress,YES,北米先住民文化に由来する羽根飾りなどの頭飾り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,頭部アクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
2020,aqua_hoodie,YES,水色・アクア色のフーディー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
2023,pom_pom_beanie,YES,ポンポン付きのニット帽・ビーニー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,帽子・アクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
