row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-000706,t-head_trainer_(umamusume),Character,4017,Tヘッドトレーナー（ウマ娘）,Tヘッドトレーナー（ウマ娘） | Tヘッド | Tヘッドトレーナー,AI監修：日本語ファン呼称の表記揺れ確認候補,character_review_final_batch061.csv,,,,,,
I70-001100,non-human_admiral_(kancolle),Character,2838,人外提督,人外提督 | 非人間提督,ファン呼称系タグのため日本語定着名を要確認,character_review_final_batch061.csv,,,,,,
I70-001418,justice_task_force_member_(blue_archive),Character,2291,正義実現委員会モブ,正義実現委員会モブ | 正実モブ,ファン定着名と公式役割名の境界を要確認,character_review_final_batch061.csv,,,,,,
I70-001419,lilith_(fate),Character,2291,リリス,リリス | リリス(Fate),新規Fateキャラクターの公式日本語表記を要確認,character_review_final_batch061.csv,,,,,,
I70-001490,kaguya_(tsukuyomi)_(cho_kaguya-hime!),Character,2177,かぐや,かぐや | かぐや(超かぐや姫！),作品側の公式キャラクター表記を要確認,variant_lost_qualifier_batch003_03.csv,,,,,,
I70-001651,nugget_(project_moon),Character,1990,自職員,自職員,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-001667,bloop_(gawr_gura),Character,1971,Bloop,Bloop,日本語表示名・表記の確定に追加確認が必要,character_no_trusted_ja_batch010.csv,,,,,,
I70-001789,dokibird,Character,1864,Dokibird,Dokibird,日本語表示名・表記の確定に追加確認が必要,character_no_trusted_ja_batch010.csv,,,,,,
I70-001883,employee_(project_moon),Character,1786,自職員,自職員,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002045,kama_(young)_(fate),Character,1656,カーマ（幼少）,カーマ（幼少）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002062,soul_(utdr),Character,1647,ソウル,ソウル,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002101,tokiko_(touhou),Character,1613,朱鷺子,朱鷺子,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002117,merlin_(fate/prototype),Character,1596,マーリン〔プロトタイプ〕,マーリン〔プロトタイプ〕,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002139,artoria_pendragon_(swimsuit_ruler)_(first_ascension)_(fate),Character,1586,アルトリア・ペンドラゴン（水着ルーラー・第一再臨）,アルトリア・ペンドラゴン（水着ルーラー・第一再臨）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002222,green_(pokemon),Character,1523,ブルー,ブルー,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002235,enemy_aircraft_(kancolle),Character,1516,敵航空機,敵航空機,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002236,firefly_(spring_missive)_(honkai:_star_rail),Character,1516,ホタル（春の贈り物）,ホタル（春の贈り物）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002293,tailless_(zenless_zone_zero),Character,1473,無尾,無尾,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002312,clumsy_nun_(diva),Character,1458,不器用な修道女,不器用な修道女,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002314,red_soul_(utdr),Character,1457,赤いソウル,赤いソウル,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002379,kama_(teenager)_(fate),Character,1423,カーマ（少女）,カーマ（少女）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002385,wei_wuxian_(yiling_laozu),Character,1420,魏無羨（夷陵老祖）,魏無羨（夷陵老祖）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002438,evanescia_(honkai:_star_rail),Character,1389,緋英,緋英,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002439,nekomiya_mana,Character,1389,猫宮又奈,猫宮又奈,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002452,chief_(path_to_nowhere),Character,1381,局長（無期迷途）,局長（無期迷途）,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002455,lucia_(pgr),Character,1381,ルシア,ルシア,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002466,adashino_adami,Character,1374,化野あだみ,化野あだみ,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv,,,,,,
I70-002502,indou_hikaru,Character,1355,ヒカル,ヒカル | インドウヒカル,既存候補は確認できるが漢字表記の確証が不足するため要確認,character_review_final_batch061.csv,,,,,,
I70-002511,orphie_magnusson,Character,1349,オルペウス・マグヌッソン,オルペウス・マグヌッソン | オルフィー・マグヌッソン,Alias と既存候補に表記差の余地があるため公式日本語表記の再確認が必要,character_review_final_batch061.csv,,,,,,
I70-002575,female_chief_(path_to_nowhere),Character,1309,女局長,女局長 | 局長,性別付き主人公呼称の公式日本語表記を再確認する必要がある,character_review_final_batch061.csv,,,,,,
I70-002576,35p_(sakura_miko),Character,1308,35P（みこぴー）,35P | みこぴー,ファン呼称・キャラクター化表現の表示名としてどの表記を採るか要確認,character_review_final_batch061.csv,,,,,,
I70-002661,meltryllis_(swimsuit_lancer)_(first_ascension)_(fate),Character,1260,メルトリリス（水着ランサー・第一再臨）,メルトリリス（水着ランサー・第一再臨） | メルトリリス,既存候補に機械訳崩れがあるため形態ラベルの正式表記を要確認,character_review_final_batch061.csv,,,,,,
I70-002663,ziche_fuzhao,Character,1260,子車甫昭,子車甫昭 | Ziche Fuzhao,中国語圏作品の固有名で確立した日本語表記を確認できないため原表記を保持し要確認,character_review_final_batch061.csv,,,,,,
I70-002669,sancho_(project_moon),Character,1258,サンチョ,サンチョ,ストーリー由来の固有名で既存候補との不一致があるため公式日本語表記を要確認,character_review_final_batch061.csv,,,,,,
I70-002740,shylily,Character,1222,Shylily,Shylily | シャイリリー,AI監修：VTuber名の公式表記は原綴り優先、既存カナ表記を検索語として保持,character_review_final_batch061.csv,,,,,,
I70-002758,mortis_(persona)_(bang_dream!),Character,1214,モーティス,モーティス,AI監修：既存日本語候補・作品関係を確認して採用,variant_lost_qualifier_batch003_03.csv,,,,,,
I70-002764,mordred_(third_ascension)_(fate),Character,1213,モードレッド（第三再臨）,モードレッド（第三再臨） | モードレッド,AI監修：再臨差分の正式日本語表示を要確認,character_review_final_batch061.csv,,,,,,
I70-002770,hysilens_(honkai:_star_rail),Character,1210,セイレンス,セイレンス | セイレンス（スターレイル）,AI監修：既存日本語候補を採用候補とし公式表記の最終確認が必要,character_review_final_batch061.csv,,,,,,
I70-002777,friend_(nanashi_mumei),Character,1207,Friend,Friend | 友達,AI監修：固有キャラクター名の公式表記確認が必要,character_no_trusted_ja_batch010.csv,,,,,,
I70-002785,tsujinaka_yoshiki,Character,1205,辻中佳紀,辻中佳紀 | 辻中よしき,AI監修：原作公式漢字表記を要確認,character_review_final_batch061.csv,,,,,,
I70-002792,chalky_(zenless_zone_zero),Character,1202,Chalky,Chalky,AI監修：公式日本語名の根拠が不足しているため原綴りを保持,character_no_trusted_ja_batch010.csv,,,,,,
I70-002796,sendai_hakurei_no_miko_(m.u.g.e.n),Character,1201,先代博麗の巫女,先代博麗の巫女,AI監修：M.U.G.E.N派生キャラクターの定着日本語名として要確認,character_review_final_batch061.csv,,,,,,
I70-002800,sion_eltnam_(type-moon),Character,1200,シオン・エルトナム・アトラシア,シオン・エルトナム・アトラシア | シオン・エルトナム,AI監修：派生作品間の姓・名表記差分を要確認,character_review_final_batch061.csv,,,,,,
I70-002802,fujimaru_ritsuka_(female)_(polar_chaldea_uniform),Character,1199,藤丸立香（女性・極地用カルデア制服）,藤丸立香（女性・極地用カルデア制服） | 極地用カルデア制服,AI監修：衣装差分を含む正式表示名の表記を要確認,character_review_final_batch061.csv,,,,,,
I70-002819,takakura_ken_(transformed)_(dandadan),Character,1190,高倉健（変身）,高倉健（変身） | 高倉健（ダンダダン） | オカルン,AI監修：変身形態の正式日本語ラベルを要確認,character_review_final_batch061.csv,,,,,,
I70-002840,nemo_(fate),Character,1180,ネモ,ネモ | ネモ・シリーズ,AI監修：canonicalが単体ネモかシリーズ総称かの表示粒度を要確認,character_review_final_batch061.csv,,,,,,
I70-002856,li_huowang,Character,1175,李火旺,李火旺,AI監修：中国語原名を保持、日本語での定着表記を要確認,character_review_final_batch061.csv,,,,,,
I70-002880,evelynn_(league),Character,1164,イブリン,イブリン | Evelynn,AI監修：日本版公式カナ表記の最終確認が必要,character_review_final_batch061.csv,,,,,,
I70-002882,neopolitan_(rwby),Character,1164,ネオ・ポリタン,ネオ・ポリタン | ネオ,AI監修：既存候補のカナ表記に揺れがあるため要確認,character_review_final_batch061.csv,,,,,,
I70-002921,rindo_chihaya,Character,1150,輪堂千速,輪堂千速,AI監修：既存候補がノイズのためhololive DEV_IS公式表記を採用候補として要確認,character_review_final_batch061.csv,,,,,,
I70-002952,jeanne_d'arc_alter_(avenger)_(third_ascension)_(fate),Character,1142,ジャンヌ・ダルク〔オルタ〕（アヴェンジャー・第三再臨）,ジャンヌ・ダルク〔オルタ〕（アヴェンジャー・第三再臨） | ジャンヌ・オルタ,AI監修：再臨差分を含む正式表示名を要確認,character_review_final_batch061.csv,,,,,,
I70-002956,zhuang_fangyi_(arknights),Character,1141,ゾアン天師,ゾアン天師,AI監修：Endfield由来の日本語公式名を要確認,character_review_final_batch061.csv,,,,,,
I70-002972,abigail_williams_(traveling_outfit)_(fate),Character,1135,アビゲイル・ウィリアムズ（英霊旅装）,アビゲイル・ウィリアムズ（英霊旅装） | 英霊旅装,AI監修：概念礼装衣装差分の正式表示名を要確認,character_review_final_batch061.csv,,,,,,
I70-002977,ant_tenna,Character,1134,テナ,テナ,AI監修：DELTARUNEキャラクターの公式日本語表記を要確認,character_review_final_batch061.csv,,,,,,
I70-003020,abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),Character,1115,アビゲイル・ウィリアムズ（水着・第3再臨）,アビゲイル・ウィリアムズ | アビゲイル(水着) | 第3再臨,,character_accepted_blank_batch057.csv,,,,,,
I70-003022,harmony_(pokemon),Character,1114,セイカ,セイカ | Harmony | Pokémon LEGENDS Z-A,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003051,klein_moretti,Character,1104,クライン・モレッティ,クライン・モレッティ | Klein Moretti,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
I70-003054,richard_i_(fate),Character,1103,リチャード一世,リチャード一世 | セイバー(strange Fake),,character_accepted_blank_batch057.csv,,,,,,
I70-003062,doro_(nikke),Character,1101,ドロ,ドロ | Doro | NIKKE,要確認,character_youkakunin_remaining_batch053.csv,,,,,,
I70-003075,hebi_nyoubou_(fate),Character,1094,蛇女房,蛇女房 | おみぃさん | Mrs. Snake,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,
