row_id,canonical_tag,category,post_count,current_display_ja,current_search_ja,current_status,audit_verdict,proposed_display_ja,proposed_search_ja,reason,confidence,evidence_url,audit_method
I70-035980,omori,Copyright,23416,OMORI,,REVIEW_REQUIRED,KEEP,,,Exact title-style display; no conflicting source evidence in this row.,MEDIUM,,source_evidence+triage
I70-035992,tales_of_(series),Copyright,20835,テイルズ,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,テイルズ オブ シリーズ,テイルズ オブ シリーズ | テイルズ,Series tag likely benefits from full franchise form; verify official Japanese franchise naming before finalizing.,MEDIUM,,source_evidence+triage
I70-035993,kimetsu_no_yaiba,Copyright,20669,鬼滅の刃,,REVIEW_REQUIRED,KEEP,,,Current display matches established Japanese title and source evidence.,MEDIUM,,source_evidence+triage
I70-035995,utdr_(toby_fox),Copyright,20287,utdr (toby fox),,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,UNDERTALE / DELTARUNE,UNDERTALE | DELTARUNE,UTDR is a combined Toby Fox umbrella tag; exact user-facing Japanese/official surface needs policy confirmation.,LOW,,source_evidence+triage
I70-036004,toaru_kagaku_no_railgun,Copyright,17515,toaru kagaku no railgun,,REVIEW_REQUIRED,FIX_BOTH,とある科学の超電磁砲,とある科学の超電磁砲 | レールガン,Source evidence contains the established Japanese title while current display is raw romanized canonical text.,MEDIUM,,source_evidence+triage
I70-036010,nier_(series),Copyright,16936,ニーア,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,ニーア,ニーア,"Current Japanese reading is plausible for the series, but official brand often uses NieR; verify display policy for Latin official branding.",MEDIUM,,source_evidence+triage
I70-036014,spy_x_family,Copyright,16824,スパイファミリー,,REVIEW_REQUIRED,NEEDS_EXTERNAL_CHECK,スパイファミリー,スパイファミリー | SPY×FAMILY,"Current Japanese reading is useful, but official branding is Latin/SPY×FAMILY; verify display-vs-search policy.",MEDIUM,,source_evidence+triage
I70-036017,touhou_(pc-98),Copyright,16614,東方旧作,,REVIEW_REQUIRED,KEEP,,,Danbooru grouping is conventionally represented as 東方旧作 and source evidence agrees.,MEDIUM,,source_evidence+triage
I70-036018,kill_la_kill,Copyright,16383,キルラキル,,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese title in source evidence.,MEDIUM,,source_evidence+triage
I70-036021,tsukihime,Copyright,16062,月姫,,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese title in source evidence.,MEDIUM,,source_evidence+triage
