row_id,canonical_tag,category,post_count,prior_verdict,final_verdict,proposed_display_ja,proposed_search_ja,reason,confidence,evidence_url,audit_method
I70-035992,tales_of_(series),Copyright,20835,NEEDS_EXTERNAL_CHECK,FIX_BOTH,テイルズ オブ シリーズ,テイルズ オブ シリーズ | テイルズ オブ | テイルズ,Bandai Namco describes the official portal as covering the 『テイルズ オブ』シリーズ; use a readable series surface rather than the shortened テイルズ.,HIGH,https://www.bandainamcoid.com/portal/serviceDetail?sv=1210,official_web+source_evidence
I70-035995,utdr_(toby_fox),Copyright,20287,NEEDS_EXTERNAL_CHECK,FIX_BOTH,UNDERTALE / DELTARUNE,UNDERTALE | DELTARUNE,UTDR is a Danbooru umbrella for the two Toby Fox properties; official DELTARUNE material describes DELTARUNE as a parallel/new adventure in the UNDERTALE series but does not use UTDR as a public title. A combined explicit surface is clearer than raw internal shorthand.,MEDIUM,https://deltarune.jp/,official_web+danbooru_scope
I70-036010,nier_(series),Copyright,16936,NEEDS_EXTERNAL_CHECK,FIX_BOTH,NieRシリーズ,NieRシリーズ | NieR | ニーア,Square Enix itself labels the franchise page NieRシリーズ and also uses ニーア as the Japanese reading.,HIGH,https://www.jp.square-enix.com/music/lineup/series/nier/,official_web+source_evidence
I70-036014,spy_x_family,Copyright,16824,NEEDS_EXTERNAL_CHECK,FIX_BOTH,SPY×FAMILY,SPY×FAMILY | スパイファミリー,The official Japanese anime site consistently uses SPY×FAMILY as the title. Keep the Japanese reading as a search surface.,HIGH,https://spy-family.net/,official_web+source_evidence
I70-036035,neptune_(series),Copyright,14429,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ネプテューヌシリーズ,ネプテューヌシリーズ | ネプテューヌ,Compile Heart's official page explicitly labels the property ネプテューヌシリーズ.,HIGH,https://www.compileheart.com/neptune/about/,official_web+source_evidence
I70-036048,darkstalkers,Copyright,13242,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ヴァンパイアシリーズ,ヴァンパイアシリーズ | ヴァンパイア | Darkstalkers,Capcom's Japanese releases localize the Darkstalkers family under the ヴァンパイア titles (ヴァンパイア/ハンター/セイヴァー). Use the Japanese umbrella surface while retaining the English canonical family term through normal canonical search.,MEDIUM,https://www.capcom.co.jp/support/faq/platform_switch_cfc_0152743.html,official_web+scope_inference
I70-036049,cho_kaguya-hime!,Copyright,13201,NEEDS_EXTERNAL_CHECK,FIX_BOTH,超かぐや姫！,超かぐや姫！,The project's official Piapro account uses 超かぐや姫！ with full-width punctuation; normalize the current ASCII exclamation mark.,HIGH,https://www.piapro.jp/Cho_KaguyaHime,official_web+source_evidence
I70-036061,nikki_(series),Copyright,12274,NEEDS_EXTERNAL_CHECK,KEEP,ニキシリーズ,ニキシリーズ,The umbrella is not presented as one single Japanese product title, but official Japanese entries consistently retain ニキ in each series title and Danbooru explicitly uses nikki_(series) as the cross-game umbrella. Existing ニキシリーズ is a clear practical Japanese label.,MEDIUM,https://www.shiningnikki.jp/,official_web+danbooru_scope
I70-036080,atelier_(series),Copyright,10890,NEEDS_EXTERNAL_CHECK,FIX_BOTH,アトリエシリーズ,アトリエシリーズ | アトリエ,Koei Tecmo explicitly calls the franchise 「アトリエ」シリーズ / アトリエ IP; make the series scope visible in display.,HIGH,https://www.gamecity.ne.jp/news/9372.html,official_web+source_evidence
I70-036081,guilty_gear_strive,Copyright,10791,NEEDS_EXTERNAL_CHECK,FIX_BOTH,GUILTY GEAR -STRIVE-,GUILTY GEAR -STRIVE- | ギルティギア ストライヴ | ギルティギア,Arc System Works uses GUILTY GEAR -STRIVE- as the official product title and supplies ギルティギア ストライヴ as the Japanese reading. Official Latin branding is preferable for display here.,HIGH,https://www.guiltygear.com/ggst/sw/jp/,official_web+source_evidence
I70-036090,hololive_dev_is,Copyright,10276,NEEDS_EXTERNAL_CHECK,FIX_BOTH,hololive DEV_IS,hololive DEV_IS | ホロライブDEV_IS | ホロライブ DEV_IS,Cover's official Japanese materials use hololive DEV_IS as the group branding; keep Japanese phonetic forms for search.,HIGH,https://hololive.hololivepro.com/news/20260116-01-371/,official_web+source_evidence
