canonical,old_display_ja,new_display_ja,reason
cicada_hug,ウマゼミ,セミのように抱きつく,SEMANTIC_ERROR
cigarette_kiss,シガーキス,シガレットキス,SEMANTIC_ERROR
cinnamiku_hairstyle,タグ「cinnamiku hairstyle」,シナミクの髪型,RAW_ENGLISH_WRAPPER
cinnamon_roll,肉桂卷,シナモンロール,NON_JAPANESE_RESIDUE
cinq_association_east_uniform,cinq association eastの制服,シンク協会東部の制服,MIXED_ENGLISH_DEBRIS
cinq_association_south_uniform,cinq association southの制服,シンク協会南部の制服,MIXED_ENGLISH_DEBRIS
cinq_association_west_uniform,cinq association westの制服,シンク協会西部の制服,MIXED_ENGLISH_DEBRIS
circle_censor,円形のcensor,円形の修正,MIXED_ENGLISH_DEBRIS
circle_cutout,円形のcutout,円形の切り抜き,MIXED_ENGLISH_DEBRIS
circle_hands,円形の両手,手で輪を作る,SEMANTIC_ERROR
circle_skirt,圆裙,サーキュラースカート,NON_JAPANESE_RESIDUE
circled_9,タグ「circled 9」,丸で囲まれた9,RAW_ENGLISH_WRAPPER
circumcision_scar,タグ「circumcision scar」,包皮切除の傷跡,RAW_ENGLISH_WRAPPER
circus_tent,タグ「circus tent」,サーカステント,RAW_ENGLISH_WRAPPER
city,城市,都市,NON_JAPANESE_RESIDUE
clam_shell_ornament,clam・shell・飾り,貝殻の飾り,MIXED_ENGLISH_DEBRIS
claw_hair_clip,claw・髪・clip,爪型ヘアクリップ,MIXED_ENGLISH_DEBRIS
claw_hammer,ネイルハンマー,釘抜き付きハンマー,SEMANTIC_ERROR
clawed_boots,クローズドブーツ,爪付きブーツ,SEMANTIC_ERROR
clawed_feet,タグ「clawed feet」,爪のある足,RAW_ENGLISH_WRAPPER
clawed_gloves,clawedの手袋,爪付き手袋,MIXED_ENGLISH_DEBRIS
clawed_hands,clawed・両手,爪のある手,MIXED_ENGLISH_DEBRIS
clawed_wings,clawed・翼,爪のある翼,MIXED_ENGLISH_DEBRIS
cleaning_gun,タグ「cleaning gun」,銃の手入れ,RAW_ENGLISH_WRAPPER
clear_sky,晴空,晴天,NON_JAPANESE_RESIDUE
cleats,钉鞋,スパイクシューズ,NON_JAPANESE_RESIDUE
cleavage_cutout_tug,胸の谷間・cutout・tug,胸元の切り抜き部分を引っ張る,MIXED_ENGLISH_DEBRIS
cleft_anus,タグ「cleft anus」,裂け目のある肛門,RAW_ENGLISH_WRAPPER
clenched_butt,タグ「clenched butt」,力を入れた尻,RAW_ENGLISH_WRAPPER
clerical_collar,clerical・襟,ローマンカラー,MIXED_ENGLISH_DEBRIS
climbing_ladder,登山はしご,はしごを登る,SEMANTIC_ERROR
climbing_tree,登山木,木に登る,SEMANTIC_ERROR
climbing_wall,登山壁,壁を登る,SEMANTIC_ERROR
clinging,抱紧,しがみつく,NON_JAPANESE_RESIDUE
clinic,いいん,診療所,SEMANTIC_ERROR
clippers,钳子,クリッパー,NON_JAPANESE_RESIDUE
clipping_another's_nails,clipping・他人の爪,他人の爪を切る,MIXED_ENGLISH_DEBRIS
clipping_toenails,タグ「clipping toenails」,足の爪を切る,RAW_ENGLISH_WRAPPER
clitoral_circular_saw,シリコン丸鋸,クリトリス用丸鋸,SEMANTIC_ERROR
clitoral_injection,タグ「clitoral injection」,クリトリスへの注射,RAW_ENGLISH_WRAPPER
cloaca,泄殖腔,総排泄腔,NON_JAPANESE_RESIDUE
