canonical,old_display_ja,new_display_ja,reason
blob_(google),タグ「blob (google)」,Google Blob（絵文字）,RAW_ENGLISH_WRAPPER
ddd_threesome,タグ「ddd threesome」,ddd threesome,RAW_ENGLISH_WRAPPER
orientation_play,タグ「orientation play」,orientation play,RAW_ENGLISH_WRAPPER
yomorio_lingerie,タグ「yomorio lingerie」,yomorio lingerie,RAW_ENGLISH_WRAPPER
\(^o^)/,タグ「\(^o^)/」,＼(^o^)／（顔文字）,RAW_ENGLISH_WRAPPER
acorn_(palico_armor),タグ「acorn (palico armor)」,Acorn（オトモ装備）,RAW_ENGLISH_WRAPPER
alternate_(the_mandela_catalogue),タグ「alternate (the mandela catalogue)」,Alternate（The Mandela Catalogue）,RAW_ENGLISH_WRAPPER
animatech_(league),タグ「animatech (league)」,animatech (league),RAW_ENGLISH_WRAPPER
annihilation_(nikke),タグ「annihilation (nikke)」,Annihilation（NIKKE）,RAW_ENGLISH_WRAPPER
anon_tokyo_(bang_dream!),タグ「anon tokyo (bang dream!)」,ANON TOKYO（BanG Dream!）,RAW_ENGLISH_WRAPPER
anti-rain_(girls'_frontline),タグ「anti-rain (girls' frontline)」,AR小隊（ドールズフロントライン）,RAW_ENGLISH_WRAPPER
appletrend,タグ「appletrend」,Appletrend,RAW_ENGLISH_WRAPPER
aps_rifle,タグ「aps rifle」,APS水中銃,RAW_ENGLISH_WRAPPER
aramasa,タグ「aramasa」,Aramasa,RAW_ENGLISH_WRAPPER
armatus_(tales),タグ「armatus (tales)」,神依（テイルズ）,RAW_ENGLISH_WRAPPER
assisted_rape,タグ「assisted rape」,レイプの補助,RAW_ENGLISH_WRAPPER
attitude_derriere,タグ「attitude derriere」,アティチュード・デリエール,RAW_ENGLISH_WRAPPER
awakening_(toaru),タグ「awakening (toaru)」,Awakening（とある）,RAW_ENGLISH_WRAPPER
awakening_beat_(project_sekai),タグ「awakening beat (project sekai)」,Awakening Beat（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
awestruck,タグ「awestruck」,畏敬している,RAW_ENGLISH_WRAPPER
awooo,タグ「awooo」,アオーン,RAW_ENGLISH_WRAPPER
ax_bass,タグ「ax bass」,AXベース,RAW_ENGLISH_WRAPPER
azure_(armor),タグ「azure (armor)」,azure (armor),RAW_ENGLISH_WRAPPER
bamboozler_14_(splatoon),タグ「bamboozler 14 (splatoon)」,14式竹筒銃（Splatoon）,RAW_ENGLISH_WRAPPER
beaded_penis,タグ「beaded penis」,ビーズ入り陰茎,RAW_ENGLISH_WRAPPER
bear_position,タグ「bear position」,bear position,RAW_ENGLISH_WRAPPER
belly_press,タグ「belly press」,腹を押す,RAW_ENGLISH_WRAPPER
belly_riding,タグ「belly riding」,腹乗り,RAW_ENGLISH_WRAPPER
beloved_zofia,タグ「beloved zofia」,Beloved Zofia,RAW_ENGLISH_WRAPPER
bent_w,タグ「bent w」,曲がったW字ポーズ,RAW_ENGLISH_WRAPPER
beta_pollux,タグ「beta pollux」,Beta Pollux,RAW_ENGLISH_WRAPPER
bevor,タグ「bevor」,ビーバー（甲冑の喉当て）,RAW_ENGLISH_WRAPPER
black_bulls_(emblem),タグ「black bulls (emblem)」,黒の暴牛の紋章,RAW_ENGLISH_WRAPPER
blacked_(phrase),タグ「blacked (phrase)」,blacked（フレーズ）,RAW_ENGLISH_WRAPPER
blacktober,タグ「blacktober」,Blacktober,RAW_ENGLISH_WRAPPER
blake_bloom_(wuthering_waves),タグ「blake bloom (wuthering waves)」,Blake Bloom（鳴潮）,RAW_ENGLISH_WRAPPER
bouncing_belly,タグ「bouncing belly」,揺れる腹,RAW_ENGLISH_WRAPPER
bouncing_bulge,タグ「bouncing bulge」,揺れる股間の膨らみ,RAW_ENGLISH_WRAPPER
