canonical,old_display_ja,new_display_ja,reason
sony_mdr-series_headphones,タグ「sony mdr-series headphones」,Sony MDRシリーズのヘッドホン,RAW_ENGLISH_WRAPPER
sopheria_flower_(tales),タグ「sopheria flower (tales)」,ソフィリアの花（テイルズ）,RAW_ENGLISH_WRAPPER
sophie_hatter_(howl_no_ugoku_shiro)_(cosplay),sophie hatter (howl no ugoku shiro) (cosplay),ソフィー・ハッター（ハウルの動く城）（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
sorashido_academy_school_uniform,sorashido academyの学校制服,空詩堂学園の制服,MIXED_ENGLISH_DEBRIS
sorceress_(dragon's_crown)_(cosplay),魔術師（ドラゴンの王冠）（コスプレ）,ソーサレス（ドラゴンズクラウン）（コスプレ）,SEMANTIC_ERROR
sos,タグ「sos」,SOS,RAW_ENGLISH_WRAPPER
sos_brigade,タグ「sos brigade」,SOS団,RAW_ENGLISH_WRAPPER
sos_brigade_logo,sos brigadeのロゴ,SOS団のロゴ,MIXED_ENGLISH_DEBRIS
sothis_(fire_emblem)_(cosplay),神祖の服,ソティス（ファイアーエムブレム）（コスプレ）,SEMANTIC_ERROR
soul_eater_moon,タグ「soul eater moon」,ソウルイーターの月,RAW_ENGLISH_WRAPPER
soul_patch,魂のパッチ,ソウルパッチ（下唇のひげ）,SEMANTIC_AMBIGUITY
sound_effects_only,纯拟声词,効果音のみ,NON_JAPANESE_RESIDUE
soup,だし,スープ,SEMANTIC_NARROWING
soup_ladle,スープのひしゃく,スープレードル,SEMANTIC_ERROR
souryuu_asuka_langley_(cosplay),souryuu asuka langley (cosplay),惣流・アスカ・ラングレー（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
southern_cross_academy_school_uniform,southern cross academyの学校制服,サザンクロス学園の制服,MIXED_ENGLISH_DEBRIS
souya_high_school_uniform,総耶高校,総耶高校の制服,SEMANTIC_UNDERSPECIFICATION
soviet_army,ソ連兵,ソ連陸軍,SEMANTIC_NARROWING
soviet_school_uniform,sovietの学校制服,ソ連の学校制服,MIXED_ENGLISH_DEBRIS
sovyonok_pioneer_camp_uniform,sovyonok pioneer campの制服,ソヴョノク・ピオネールキャンプの制服,MIXED_ENGLISH_DEBRIS
soy_sauce_bottle,タグ「soy sauce bottle」,醤油差し,RAW_ENGLISH_WRAPPER
soyombo,タグ「soyombo」,ソヨンボ,RAW_ENGLISH_WRAPPER
soyombo_earrings,soyomboのイヤリング,ソヨンボのイヤリング,MIXED_ENGLISH_DEBRIS
space_skin,space・肌,宇宙柄の肌,MIXED_ENGLISH_DEBRIS
space_wolves,タグ「space wolves」,スペースウルフ,RAW_ENGLISH_WRAPPER
spacecraft_interior,宇宙船のインテリア,宇宙船の内部,SEMANTIC_AMBIGUITY
spacecraft_turret,タグ「spacecraft turret」,宇宙船の砲塔,RAW_ENGLISH_WRAPPER
spade_cutout,スペード・cutout,スペード形の切り抜き,MIXED_ENGLISH_DEBRIS
spade_facial_mark,スペード・facial・印,スペード形の顔の印,MIXED_ENGLISH_DEBRIS
spade_vine_tattoo,spade vineのタトゥー,スペードと蔓のタトゥー,MIXED_ENGLISH_DEBRIS
spanish_clothes,spanish・服,スペイン風の服,MIXED_ENGLISH_DEBRIS
spanish_national_soccer_team_uniform,spanish national soccer teamの制服,スペイン代表サッカーチームのユニフォーム,MIXED_ENGLISH_DEBRIS
sparkle_(honkai:_star_rail)_(cosplay),sparkle (honkai: star rail) (cosplay),花火（崩壊：スターレイル）（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
sparkle_censor,タグ「sparkle censor」,輝きによる隠し,RAW_ENGLISH_WRAPPER
sparkle_facial_mark,sparkle・facial・印,輝き形の顔の印,MIXED_ENGLISH_DEBRIS
sparkling_aura,タグ「sparkling aura」,きらめくオーラ,RAW_ENGLISH_WRAPPER
sparkling_daydream,タグ「sparkling daydream」,Sparkling Daydream,RAW_ENGLISH_WRAPPER
sparkling_sweat,タグ「sparkling sweat」,きらめく汗,RAW_ENGLISH_WRAPPER
sparring,タグ「sparring」,スパーリング,RAW_ENGLISH_WRAPPER
sparse_arm_hair,sparse・腕・髪,まばらな腕毛,MIXED_ENGLISH_DEBRIS
sparse_ass_hair,sparse・ass・髪,まばらな尻毛,MIXED_ENGLISH_DEBRIS
sparse_back_hair,sparse・背中・髪,まばらな背中の毛,MIXED_ENGLISH_DEBRIS
sparse_chest_hair,sparse・胸・髪,まばらな胸毛,MIXED_ENGLISH_DEBRIS
sparse_leg_hair,sparse・leg・髪,まばらな脚毛,MIXED_ENGLISH_DEBRIS
sparse_navel_hair,sparse・navel・髪,まばらなへそ周りの毛,MIXED_ENGLISH_DEBRIS
sparse_stubble,タグ「sparse stubble」,まばらな無精ひげ,RAW_ENGLISH_WRAPPER
