canonical,old_display_ja,new_display_ja,reason
suiten_nikkou_amaterasu_yanoshisu_ishi,タグ「suiten nikkou amaterasu yanoshisu ishi」,水天日光天照八野鎮石,RAW_ENGLISH_WRAPPER
sukoyaka_middle_school_uniform,すこやか中学校,すこやか中学校の制服,SEMANTIC_UNDERSPECIFICATION
sumeru_rose_(genshin_impact),须弥蔷薇,スメールローズ（原神）,NON_JAPANESE_RESIDUE
sumimi_(bang_dream!),タグ「sumimi (bang dream!)」,sumimi（BanG Dream!）,RAW_ENGLISH_WRAPPER
summer_pockets_school_uniform,summer pocketsの学校制服,Summer Pocketsの制服,MIXED_ENGLISH_DEBRIS
summoned_swords,タグ「summoned swords」,召喚剣,RAW_ENGLISH_WRAPPER
sumo,相扑,相撲,NON_JAPANESE_RESIDUE
sun_behind_head,sun・behind・頭,頭の後ろの太陽,MIXED_ENGLISH_DEBRIS
sun_earrings,sunのイヤリング,太陽のイヤリング,MIXED_ENGLISH_DEBRIS
sun_hat_ornament,sun・帽子・飾り,太陽の帽子飾り,MIXED_ENGLISH_DEBRIS
sun_necklace,sun・ネックレス,太陽のネックレス,MIXED_ENGLISH_DEBRIS
sun_ornament,sun・飾り,太陽の飾り,MIXED_ENGLISH_DEBRIS
sun_print,日焼け止め,太陽柄,SEMANTIC_ERROR
sun_with_face,sun・付きの顔,顔のある太陽,SEMANTIC_RELATION_ERROR
sunagakure_symbol,Sunagakureシンボル,砂隠れの里のシンボル,MIXED_ENGLISH_DEBRIS
sunburn,晒伤,日焼け,NON_JAPANESE_RESIDUE
sunna_(zenless_zone_zero)_(cosplay),sunna (zenless zone zero) (cosplay),スンナ（ゼンレスゾーンゼロ）（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
sunsettia_(genshin_impact),sunsettia (genshin impact),夕暮れの実（原神）,CANONICAL_FALLBACK_TRANSLATABLE
sunshower_(e.g.o),sunshower (e.g.o),サンシャワー（E.G.O）,CANONICAL_FALLBACK_TRANSLATABLE
suomi_kp/-31,タグ「suomi kp/-31」,スオミ KP/-31,RAW_ENGLISH_WRAPPER
super_creek_(umamusume)_(cosplay),super creek (umamusume) (cosplay),スーパークリーク（ウマ娘）（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
super_earth_salute_(helldivers),タグ「super earth salute (helldivers)」,スーパーアース式敬礼（HELLDIVERS）,RAW_ENGLISH_WRAPPER
super_leaf,タグ「super leaf」,スーパーこのは,RAW_ENGLISH_WRAPPER
super_leaf_(transformation),タグ「super leaf (transformation)」,スーパーこのは（変身）,RAW_ENGLISH_WRAPPER
super_nintendo,スーパー任天堂,Super Nintendo,SEMANTIC_ERROR
super_smash_bros._logo,スーパースマッシュブラザーズ。ロゴ,大乱闘スマッシュブラザーズのロゴ,TRANSLITERATION_ERROR
super_soaker,スーパーおむつカバー,スーパーソーカー,SEMANTIC_ERROR
super_stamina_drink_(gakuen_idolmaster),super stamina drink (gakuen idolmaster),スーパースタミナドリンク（学園アイドルマスター）,CANONICAL_FALLBACK_TRANSLATABLE
supergirl_(cosplay),supergirl (cosplay),スーパーガール（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
superimposition,タグ「superimposition」,重ね合わせ,RAW_ENGLISH_WRAPPER
superman_exposure,タグ「superman exposure」,スーパーマン式の胸元露出,RAW_ENGLISH_WRAPPER
superman_logo,supermanのロゴ,スーパーマンのロゴ,MIXED_ENGLISH_DEBRIS
supporting_another's_weight,supporting・他人のweight,他人の体重を支える,MIXED_ENGLISH_DEBRIS
