canonical,old_display_ja,new_display_ja,reason
bolt_hair_ornament,boltの髪飾り,ボルトの髪飾り,MALFORMED_MIXED_LANGUAGE
bomb_hair_ornament,bombの髪飾り,爆弾の髪飾り,MALFORMED_MIXED_LANGUAGE
bone_armor,boneの鎧,骨の鎧,MALFORMED_MIXED_LANGUAGE
bone_earrings,boneのイヤリング,骨のイヤリング,MALFORMED_MIXED_LANGUAGE
bone_in_mouth,boneの中のmouth,口に骨,MACHINE_COMPOSITION_ERROR
bone_weapon,boneの武器,骨の武器,MALFORMED_MIXED_LANGUAGE
borrowed_weapon,borrowedの武器,借りた武器,MALFORMED_MIXED_LANGUAGE
bow_babydoll,リボン・babydoll,リボン付きベビードール,MALFORMED_MIXED_LANGUAGE
bow_garter_belt,リボン・garter・ベルト,リボン付きガーターベルト,MALFORMED_MIXED_LANGUAGE
braid_over_shoulder,braidの上の肩,肩にかけた三つ編み,MACHINE_COMPOSITION_ERROR
braided_scarf,編み込みのscarf,編み込みスカーフ,MALFORMED_MIXED_LANGUAGE
braiding_own_hair,braiding・own・髪,自分の髪を編む,MACHINE_COMPOSITION_ERROR
brazilian_flag_print,brazilian flagの柄,ブラジル国旗柄,MALFORMED_MIXED_LANGUAGE
brazilian_national_soccer_team_uniform,brazilian national soccer teamの制服,ブラジル代表サッカーユニフォーム,MALFORMED_MIXED_LANGUAGE
breaking_through_window,breaking・越しのwindow,窓を突き破る,MACHINE_COMPOSITION_ERROR
breast_shake,胸・shake,胸を揺らす,MALFORMED_MIXED_LANGUAGE
broken_heart_hair_ornament,broken heartの髪飾り,割れたハートの髪飾り,MALFORMED_MIXED_LANGUAGE
bubble_print,bubbleの柄,泡柄,MALFORMED_MIXED_LANGUAGE
bug_print,bugの柄,虫柄,MALFORMED_MIXED_LANGUAGE
bullet_earrings,bulletのイヤリング,弾丸イヤリング,MALFORMED_MIXED_LANGUAGE
cardiogram_print,cardiogramの柄,心電図柄,MALFORMED_MIXED_LANGUAGE
flower_wrapper,花・wrapper,花の包み紙,MALFORMED_MIXED_LANGUAGE
