canonical,old_display_ja,new_display_ja,reason
feature_scout_1_(ensemble_stars!),タグ「feature scout 1 (ensemble stars!)」,フィーチャースカウト1（あんさんぶるスターズ！）,RAW_ENGLISH_WRAPPER
feature_scout_2_(ensemble_stars!),タグ「feature scout 2 (ensemble stars!)」,フィーチャースカウト2（あんさんぶるスターズ！）,RAW_ENGLISH_WRAPPER
finger_pointer,タグ「finger pointer」,指差しポインター,RAW_ENGLISH_WRAPPER
fn_f2000,タグ「fn f2000」,FN F2000,RAW_ENGLISH_WRAPPER
fn_fal,タグ「fn fal」,FN FAL,RAW_ENGLISH_WRAPPER
fn_fnc,タグ「fn fnc」,FN FNC,RAW_ENGLISH_WRAPPER
fn_mag,タグ「fn mag」,FN MAG,RAW_ENGLISH_WRAPPER
fn_mk_20_ssr,タグ「fn mk 20 ssr」,FN Mk 20 SSR,RAW_ENGLISH_WRAPPER
fn_p90,タグ「fn p90」,FN P90,RAW_ENGLISH_WRAPPER
fn_scar,タグ「fn scar」,FN SCAR,RAW_ENGLISH_WRAPPER
fn_scar_16,タグ「fn scar 16」,FN SCAR 16,RAW_ENGLISH_WRAPPER
fn_scar_17,タグ「fn scar 17」,FN SCAR 17,RAW_ENGLISH_WRAPPER
focus_(horizon),タグ「focus (horizon)」,フォーカス（Horizon）,RAW_ENGLISH_WRAPPER
football_goal,タグ「football goal」,サッカーゴール,RAW_ENGLISH_WRAPPER
ford_crown_victoria_(2nd_generation),タグ「ford crown victoria (2nd generation)」,フォード・クラウンビクトリア（第2世代）,RAW_ENGLISH_WRAPPER
ford_mustang_(1st_generation),タグ「ford mustang (1st generation)」,フォード・マスタング（第1世代）,RAW_ENGLISH_WRAPPER
fortified_suit_(imperial_royal_guard),タグ「fortified suit (imperial royal guard)」,強化装備（帝国斯衛軍）,RAW_ENGLISH_WRAPPER
fortified_suit_(kagami_sumika),タグ「fortified suit (kagami sumika)」,強化装備（鑑純夏）,RAW_ENGLISH_WRAPPER
fox_mousing,タグ「fox mousing」,キツネのマウシング（飛び込み狩り）,RAW_ENGLISH_WRAPPER
funamusea_(style),タグ「funamusea (style)」,海底囚人（Funamusea）風,RAW_ENGLISH_WRAPPER
geissele_urg-i,タグ「geissele urg-i」,Geissele URG-I,RAW_ENGLISH_WRAPPER
genjiguruma,タグ「genjiguruma」,源氏車,RAW_ENGLISH_WRAPPER
get_over_it._(project_sekai),タグ「get over it. (project sekai)」,Get over it.（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
gloved_sleeves,タグ「gloved sleeves」,手袋一体型の袖,RAW_ENGLISH_WRAPPER
goatee_stubble,タグ「goatee stubble」,山羊ひげ状の無精ひげ,RAW_ENGLISH_WRAPPER
god_tier_(homestuck),タグ「god tier (homestuck)」,ゴッドティア（Homestuck）,RAW_ENGLISH_WRAPPER
goodyear,タグ「goodyear」,Goodyear,RAW_ENGLISH_WRAPPER
guilty_gear_strive_x_tower_records,タグ「guilty gear strive x tower records」,GUILTY GEAR STRIVE × TOWER RECORDS,RAW_ENGLISH_WRAPPER
guimpe,タグ「guimpe」,ギンプ（胸元を覆う布）,RAW_ENGLISH_WRAPPER
hanamiya_nina_(style),タグ「hanamiya nina (style)」,hanamiya nina風,RAW_ENGLISH_WRAPPER
happy_enjoy_music!_(project_sekai),タグ「happy enjoy music! (project sekai)」,HAPPY ENJOY MUSIC!（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
hellfire_gala,タグ「hellfire gala」,Hellfire Gala,RAW_ENGLISH_WRAPPER
hello_mem_world!_(honkai:_star_rail),タグ「hello mem world! (honkai: star rail)」,Hello Mem World!（崩壊：スターレイル）,RAW_ENGLISH_WRAPPER
hellomegu!,タグ「hellomegu!」,hellomegu!,RAW_ENGLISH_WRAPPER
illusion_cake,タグ「illusion cake」,イリュージョンケーキ,RAW_ENGLISH_WRAPPER
into_the_new_light_(project_sekai),タグ「into the new light (project sekai)」,Into the New Light（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
inward_w,タグ「inward w」,内向きW字ポーズ,RAW_ENGLISH_WRAPPER
irken,タグ「irken」,イルケン人,RAW_ENGLISH_WRAPPER
irken_pak,タグ「irken pak」,イルケンPAK,RAW_ENGLISH_WRAPPER
ironmouse_outfit_art_contest,タグ「ironmouse outfit art contest」,Ironmouse衣装アートコンテスト,RAW_ENGLISH_WRAPPER
iterator_(rain_world),タグ「iterator (rain world)」,イテレーター（Rain World）,RAW_ENGLISH_WRAPPER
j.k._(style),タグ「j.k. (style)」,J.K.風,RAW_ENGLISH_WRAPPER
jack_(fish),タグ「jack (fish)」,アジ類,RAW_ENGLISH_WRAPPER
jevilstail,タグ「jevilstail」,ジェビルテイル,RAW_ENGLISH_WRAPPER
kagemitsu_g4,タグ「kagemitsu g4」,カゲミツG4,RAW_ENGLISH_WRAPPER
karana_mudra,タグ「karana mudra」,カラナ・ムドラー（降魔印）,RAW_ENGLISH_WRAPPER
killkiss_(bang_dream!),タグ「killkiss (bang dream!)」,KILLKISS（BanG Dream!）,RAW_ENGLISH_WRAPPER
kinktober,タグ「kinktober」,Kinktober,RAW_ENGLISH_WRAPPER
knowing_the_unseen_(project_sekai),タグ「knowing the unseen (project sekai)」,Knowing the Unseen（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
koi_(koisan)_(style),タグ「koi (koisan) (style)」,koi（koisan）風,RAW_ENGLISH_WRAPPER
koikoi_love_cafe_(ensemble_stars!),タグ「koikoi love cafe (ensemble stars!)」,Koikoi Love Cafe（あんさんぶるスターズ！）,RAW_ENGLISH_WRAPPER
kurokw_(style),タグ「kurokw (style)」,kurokw風,RAW_ENGLISH_WRAPPER
la_chancla,タグ「la chancla」,ラ・チャンクラ,RAW_ENGLISH_WRAPPER
legbinder,タグ「legbinder」,脚拘束具,RAW_ENGLISH_WRAPPER
lekku_(anatomy),タグ「lekku (anatomy)」,レック（Lekku／頭部触手）,RAW_ENGLISH_WRAPPER
lemur_girl,タグ「lemur girl」,キツネザル娘,RAW_ENGLISH_WRAPPER
lombax,タグ「lombax」,ロンバックス,RAW_ENGLISH_WRAPPER
long_fall_boots_(portal),タグ「long fall boots (portal)」,ロングフォールブーツ（Portal）,RAW_ENGLISH_WRAPPER
m110_sass,タグ「m110 sass」,M110 SASS,RAW_ENGLISH_WRAPPER
m202_flash,タグ「m202 flash」,M202 FLASH,RAW_ENGLISH_WRAPPER
m249_saw,タグ「m249 saw」,M249 SAW,RAW_ENGLISH_WRAPPER
mab_pa-15,タグ「mab pa-15」,MAB PA-15,RAW_ENGLISH_WRAPPER
mazda_mx-5_na,タグ「mazda mx-5 na」,マツダ MX-5 NA,RAW_ENGLISH_WRAPPER
mazda_mx-5_nd,タグ「mazda mx-5 nd」,マツダ MX-5 ND,RAW_ENGLISH_WRAPPER
mazda_rx-7_fc,タグ「mazda rx-7 fc」,マツダ RX-7 FC,RAW_ENGLISH_WRAPPER
mazda_rx-7_fd,タグ「mazda rx-7 fd」,マツダ RX-7 FD,RAW_ENGLISH_WRAPPER
mbcc_insignia_(path_to_nowhere),タグ「mbcc insignia (path to nowhere)」,MBCCの紋章（無期迷途）,RAW_ENGLISH_WRAPPER
mcbling,タグ「mcbling」,マックブリング,RAW_ENGLISH_WRAPPER
mcm_(brand),タグ「mcm (brand)」,MCM（ブランド）,RAW_ENGLISH_WRAPPER
mirialan,タグ「mirialan」,ミリアラン人,RAW_ENGLISH_WRAPPER
mp-443_grach,タグ「mp-443 grach」,MP-443 グラッチ,RAW_ENGLISH_WRAPPER
naked_ascot,タグ「naked ascot」,裸にアスコットタイだけ,RAW_ENGLISH_WRAPPER
naked_poncho,タグ「naked poncho」,裸にポンチョだけ,RAW_ENGLISH_WRAPPER
naked_tape,タグ「naked tape」,裸にテープだけ,RAW_ENGLISH_WRAPPER
nameplay,タグ「nameplay」,名前遊び,RAW_ENGLISH_WRAPPER
nemes,タグ「nemes」,ネメス（古代エジプトの頭巾）,RAW_ENGLISH_WRAPPER
nereid_(romancing_saga_2),タグ「nereid (romancing saga 2)」,ネレイド（ロマンシング サガ2）,RAW_ENGLISH_WRAPPER
nes,タグ「nes」,NES（海外版ファミコン）,RAW_ENGLISH_WRAPPER
nes_controller,タグ「nes controller」,NESコントローラー,RAW_ENGLISH_WRAPPER
neumann_ku_100,タグ「neumann ku 100」,Neumann KU 100,RAW_ENGLISH_WRAPPER
noah_(d.gray-man),タグ「noah (d.gray-man)」,ノア（D.Gray-man）,RAW_ENGLISH_WRAPPER
noah_hat_(ragnarok_online),タグ「noah hat (ragnarok online)」,ノア帽（ラグナロクオンライン）,RAW_ENGLISH_WRAPPER
old_nail_(hollow_knight),タグ「old nail (hollow knight)」,古びた釘（Hollow Knight）,RAW_ENGLISH_WRAPPER
old_tales_(nikke),タグ「old tales (nikke)」,オールドテイルズ（NIKKE）,RAW_ENGLISH_WRAPPER
omocat_(style),タグ「omocat (style)」,OMOCAT風,RAW_ENGLISH_WRAPPER
