canonical,old_display_ja,new_display_ja,reason
chocolate_lady_no_karasawagi,タグ「chocolate lady no karasawagi」,Chocolate Lady no Karasawagi,RAW_ENGLISH_WRAPPER
choir_outfit_(utdr),タグ「choir outfit (utdr)」,聖歌隊衣装（UTDR）,RAW_ENGLISH_WRAPPER
close_game/offline_(project_sekai),タグ「close game/offline (project sekai)」,Close game/OFFLINE（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
coil_(dimension_w),タグ「coil (dimension w)」,コイル（Dimension W）,RAW_ENGLISH_WRAPPER
comp_(megami_tensei),タグ「comp (megami tensei)」,COMP（女神転生）,RAW_ENGLISH_WRAPPER
completionist_cape_(runescape),タグ「completionist cape (runescape)」,Completionist Cape（RuneScape）,RAW_ENGLISH_WRAPPER
complex_exterior,タグ「complex exterior」,複雑な外観,RAW_ENGLISH_WRAPPER
constellation_crystal_(ff14),タグ「constellation crystal (ff14)」,星座クリスタル（FF14）,RAW_ENGLISH_WRAPPER
cool_s,タグ「cool s」,Cool S,RAW_ENGLISH_WRAPPER
coreflame_(honkai:_star_rail),タグ「coreflame (honkai: star rail)」,コアフレイム（崩壊：スターレイル）,RAW_ENGLISH_WRAPPER
covenant_halo_(girls'_frontline_2),タグ「covenant halo (girls' frontline 2)」,Covenant Halo（ドールズフロントライン2）,RAW_ENGLISH_WRAPPER
cover_bikini_girl_(gta_vi)_(pose),タグ「cover bikini girl (gta vi) (pose)」,GTA VI表紙ビキニ女性のポーズ,RAW_ENGLISH_WRAPPER
cr-unit_(date_a_live),タグ「cr-unit (date a live)」,CRユニット（デート・ア・ライブ）,RAW_ENGLISH_WRAPPER
cruxis_wings_(tales),タグ「cruxis wings (tales)」,クルシスの翼（テイルズ）,RAW_ENGLISH_WRAPPER
cs/ls06,タグ「cs/ls06」,CS/LS06,RAW_ENGLISH_WRAPPER
cunt_busting,タグ「cunt busting」,女性器を強く打つ,RAW_ENGLISH_WRAPPER
cutout_eyelashes,タグ「cutout eyelashes」,切り抜き風まつげ,RAW_ENGLISH_WRAPPER
cyaron!_(love_live!),タグ「cyaron! (love live!)」,CYaRon!（ラブライブ！）,RAW_ENGLISH_WRAPPER
date_clan_blades_(touken_ranbu),タグ「date clan blades (touken ranbu)」,伊達組（刀剣乱舞）,RAW_ENGLISH_WRAPPER
deku's_photo_of_hagakure_toru,タグ「deku's photo of hagakure toru」,デクが撮った葉隠透の写真,RAW_ENGLISH_WRAPPER
destiny's_embrace_(kingdom_hearts),タグ「destiny's embrace (kingdom hearts)」,デスティニープレイス（KINGDOM HEARTS）,RAW_ENGLISH_WRAPPER
dior,タグ「dior」,Dior,RAW_ENGLISH_WRAPPER
dipper,タグ「dipper」,dipper,RAW_ENGLISH_WRAPPER
diverdiva,タグ「diverdiva」,DiverDiva,RAW_ENGLISH_WRAPPER
diyap_(style),タグ「diyap (style)」,diyap風,RAW_ENGLISH_WRAPPER
djinn_equip,タグ「djinn equip」,ジン装備,RAW_ENGLISH_WRAPPER
do_not_want,タグ「do not want」,欲しくない,RAW_ENGLISH_WRAPPER
doll_(nikke),タグ「doll (nikke)」,Doll（NIKKE）,RAW_ENGLISH_WRAPPER
drawing_arrow,タグ「drawing arrow」,矢をつがえて引く,RAW_ENGLISH_WRAPPER
drive-by,タグ「drive-by」,ドライブバイ,RAW_ENGLISH_WRAPPER
dshk,タグ「dshk」,DShK,RAW_ENGLISH_WRAPPER
durex,タグ「durex」,Durex,RAW_ENGLISH_WRAPPER
dx,タグ「dx」,DX,RAW_ENGLISH_WRAPPER
dytica_(nijisanji),タグ「dytica (nijisanji)」,Dytica（にじさんじ）,RAW_ENGLISH_WRAPPER
eargasm,タグ「eargasm」,イヤーガズム,RAW_ENGLISH_WRAPPER
edel_note,タグ「edel note」,Edel Note,RAW_ENGLISH_WRAPPER
en'enra,タグ「en'enra」,煙々羅,RAW_ENGLISH_WRAPPER
ena_(species),タグ「ena (species)」,ENA（種族）,RAW_ENGLISH_WRAPPER
enter_enter_mission!,タグ「enter enter mission!」,Enter Enter MISSION!,RAW_ENGLISH_WRAPPER
eternal_moon_article,タグ「eternal moon article」,Eternal Moon Article,RAW_ENGLISH_WRAPPER
ether_aria_(love_live!),タグ「ether aria (love live!)」,Ether Aria（ラブライブ！）,RAW_ENGLISH_WRAPPER
exploded_cosmetics,タグ「exploded cosmetics」,飛び散った化粧品,RAW_ENGLISH_WRAPPER
expression_35,タグ「expression 35」,expression 35,RAW_ENGLISH_WRAPPER
eye_banner_(trend),タグ「eye banner (trend)」,目のバナー（トレンド）,RAW_ENGLISH_WRAPPER
fallschirmhelm,タグ「fallschirmhelm」,降下猟兵用ヘルメット,RAW_ENGLISH_WRAPPER
fan_meeting,タグ「fan meeting」,ファンミーティング,RAW_ENGLISH_WRAPPER
father_and_son_threesome,タグ「father and son threesome」,父子を含む3P,RAW_ENGLISH_WRAPPER
fdd_threesome,タグ「fdd threesome」,fdd threesome,RAW_ENGLISH_WRAPPER
find_the_dream_view_(project_sekai),タグ「find the dream view (project sekai)」,Find the Dream View（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
fingering_gesture,タグ「fingering gesture」,fingering gesture,RAW_ENGLISH_WRAPPER
firelock,タグ「firelock」,firelock,RAW_ENGLISH_WRAPPER
fireseal,タグ「fireseal」,fireseal,RAW_ENGLISH_WRAPPER
floral_dissolve,タグ「floral dissolve」,花が溶ける表現,RAW_ENGLISH_WRAPPER
flowjob,タグ「flowjob」,flowjob,RAW_ENGLISH_WRAPPER
fraid,タグ「fraid」,fraid,RAW_ENGLISH_WRAPPER
freudian_switch,タグ「freudian switch」,Freudian switch,RAW_ENGLISH_WRAPPER
fuck-me_pasties,タグ「fuck-me pasties」,fuck-me pasties,RAW_ENGLISH_WRAPPER
fuuka_school_uniform_(hara_hara!!),タグ「fuuka school uniform (hara hara!!)」,フウカの制服（HARA HARA!!）,RAW_ENGLISH_WRAPPER
g'ie_(hundred_line),タグ「g'ie (hundred line)」,G'ie（HUNDRED LINE）,RAW_ENGLISH_WRAPPER
garmentmaker_(honkai:_star_rail),タグ「garmentmaker (honkai: star rail)」,Garmentmaker（崩壊：スターレイル）,RAW_ENGLISH_WRAPPER
gloria_the_scot,タグ「gloria the scot」,Gloria the Scot,RAW_ENGLISH_WRAPPER
grassrunner,タグ「grassrunner」,grassrunner,RAW_ENGLISH_WRAPPER
grind_fiction,タグ「grind fiction」,Grind Fiction,RAW_ENGLISH_WRAPPER
gyaru_w,タグ「gyaru w」,gyaru w,RAW_ENGLISH_WRAPPER
handjob_gesture_(not_ok),タグ「handjob gesture (not ok)」,handjob gesture（not ok）,RAW_ENGLISH_WRAPPER
hanging_wedgie,タグ「hanging wedgie」,吊り下げウェッジー,RAW_ENGLISH_WRAPPER
hounskull,タグ「hounskull」,Hounskull,RAW_ENGLISH_WRAPPER
hypnoshades_(splatoon),タグ「hypnoshades (splatoon)」,Hypnoshades（Splatoon）,RAW_ENGLISH_WRAPPER
imijikarishi_valentine,タグ「imijikarishi valentine」,Imijikarishi Valentine,RAW_ENGLISH_WRAPPER
