canonical,old_display_ja,new_display_ja,reason
powerful_penis,タグ「powerful penis」,powerful penis,RAW_ENGLISH_WRAPPER
preschool_team_(len'en),タグ「preschool team (len'en)」,Preschool Team（連縁）,RAW_ENGLISH_WRAPPER
primrose_field_illusion,タグ「primrose field illusion」,Primrose Field Illusion,RAW_ENGLISH_WRAPPER
protocol._(futsuu_no_keion-bu),タグ「protocol. (futsuu no keion-bu)」,protocol.（ふつうの軽音部）,RAW_ENGLISH_WRAPPER
pussy_press,タグ「pussy press」,pussy press,RAW_ENGLISH_WRAPPER
racer's_high_(stellar_blade),タグ「racer's high (stellar blade)」,Racer's High（Stellar Blade）,RAW_ENGLISH_WRAPPER
ranger_uniform_(amphibia),タグ「ranger uniform (amphibia)」,レンジャー制服（Amphibia）,RAW_ENGLISH_WRAPPER
ratline,タグ「ratline」,ラットライン（帆船の縄ばしご）,RAW_ENGLISH_WRAPPER
raven_guard,タグ「raven guard」,レイヴンガード,RAW_ENGLISH_WRAPPER
raven_suit_(stellar_blade),タグ「raven suit (stellar blade)」,レイヴンスーツ（Stellar Blade）,RAW_ENGLISH_WRAPPER
rebecca_sugar_(style),タグ「rebecca sugar (style)」,Rebecca Sugar風,RAW_ENGLISH_WRAPPER
remnant_cube_(wuthering_waves),タグ「remnant cube (wuthering waves)」,Remnant Cube（鳴潮）,RAW_ENGLISH_WRAPPER
rex_genome,タグ「rex genome」,Rex Genome,RAW_ENGLISH_WRAPPER
reze's_eye_twitch_(chainsaw_man),タグ「reze's eye twitch (chainsaw man)」,レゼの目の痙攣（チェンソーマン）,RAW_ENGLISH_WRAPPER
rise_as_one!_(project_sekai),タグ「rise as one! (project sekai)」,Rise as ONE!（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
road_of_radiance_(umamusume),タグ「road of radiance (umamusume)」,Road of Radiance（ウマ娘）,RAW_ENGLISH_WRAPPER
robin_(bird),タグ「robin (bird)」,ロビン（鳥）,RAW_ENGLISH_WRAPPER
royal_ease,タグ「royal ease」,royal ease,RAW_ENGLISH_WRAPPER
ryegrass_for_haru_urara,タグ「ryegrass for haru urara」,ハルウララ用のライグラス,RAW_ENGLISH_WRAPPER
samurai_condenser,タグ「samurai condenser」,samurai condenser,RAW_ENGLISH_WRAPPER
sarkany_csont_landzsa,タグ「sarkany csont landzsa」,sarkany csont landzsa,RAW_ENGLISH_WRAPPER
sartorial_line,タグ「sartorial line」,sartorial line,RAW_ENGLISH_WRAPPER
schorl_(path_to_nowhere),タグ「schorl (path to nowhere)」,Schorl（無期迷途）,RAW_ENGLISH_WRAPPER
scoundrel_team_(len'en),タグ「scoundrel team (len'en)」,Scoundrel Team（連縁）,RAW_ENGLISH_WRAPPER
sechi_(sechihyeo)_(style),タグ「sechi (sechihyeo) (style)」,sechi（sechihyeo）風,RAW_ENGLISH_WRAPPER
self-borrowed_hairstyle,タグ「self-borrowed hairstyle」,self-borrowed hairstyle,RAW_ENGLISH_WRAPPER
self-pornography,タグ「self-pornography」,self-pornography,RAW_ENGLISH_WRAPPER
sensei_haruki_suetsugu_(style),タグ「sensei haruki suetsugu (style)」,sensei haruki suetsugu風,RAW_ENGLISH_WRAPPER
shimizu_takako_(style),タグ「shimizu takako (style)」,shimizu takako風,RAW_ENGLISH_WRAPPER
shoulder_pads_(fashion),タグ「shoulder pads (fashion)」,肩パッド（ファッション）,RAW_ENGLISH_WRAPPER
shrine_team_(len'en),タグ「shrine team (len'en)」,Shrine Team（連縁）,RAW_ENGLISH_WRAPPER
siegrunen,タグ「siegrunen」,Siegrunen,RAW_ENGLISH_WRAPPER
slasher_route_(hundred_line),タグ「slasher route (hundred line)」,Slasher Route（HUNDRED LINE）,RAW_ENGLISH_WRAPPER
slides,タグ「slides」,slides,RAW_ENGLISH_WRAPPER
special_present_for_you!_(project_sekai),タグ「special present for you! (project sekai)」,Special Present for YOU!（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
spiegel_replica,タグ「spiegel replica」,Spiegel Replica,RAW_ENGLISH_WRAPPER
spike_(stagecraft),タグ「spike (stagecraft)」,スパイク（舞台の位置マーク）,RAW_ENGLISH_WRAPPER
spin-spin_(site),タグ「spin-spin (site)」,Spin-Spin（サイト）,RAW_ENGLISH_WRAPPER
sputnik_and_pogrom,タグ「sputnik and pogrom」,Sputnik and Pogrom,RAW_ENGLISH_WRAPPER
stratagem_(helldivers),タグ「stratagem (helldivers)」,戦略支援（HELLDIVERS）,RAW_ENGLISH_WRAPPER
strawpage,タグ「strawpage」,Straw.Page,RAW_ENGLISH_WRAPPER
street_fighter_6_new_challenger_art_contest,タグ「street fighter 6 new challenger art contest」,Street Fighter 6 New Challenger Art Contest,RAW_ENGLISH_WRAPPER
stretch_action,タグ「stretch action」,ストレッチ動作,RAW_ENGLISH_WRAPPER
stringer,タグ「stringer」,stringer,RAW_ENGLISH_WRAPPER
sumo_sticker_(chaos;child),タグ「sumo sticker (chaos;child)」,力士シール（CHAOS;CHILD）,RAW_ENGLISH_WRAPPER
sword_school_reunion_(touken_ranbu),タグ「sword school reunion (touken ranbu)」,sword school reunion（刀剣乱舞）,RAW_ENGLISH_WRAPPER
t.t._star_(nikke),タグ「t.t. star (nikke)」,T.T. Star（NIKKE）,RAW_ENGLISH_WRAPPER
taguel,タグ「taguel」,タグエル,RAW_ENGLISH_WRAPPER
taito_four_seasons_figure_(vocaloid),タグ「taito four seasons figure (vocaloid)」,タイトー四季フィギュア（VOCALOID）,RAW_ENGLISH_WRAPPER
take_the_best_shot!_(project_sekai),タグ「take the best shot! (project sekai)」,Take the Best Shot!（プロジェクトセカイ）,RAW_ENGLISH_WRAPPER
takenami_hideyuki_(style),タグ「takenami hideyuki (style)」,takenami hideyuki風,RAW_ENGLISH_WRAPPER
tam_(ragnarok_online),タグ「tam (ragnarok online)」,TAM（ラグナロクオンライン）,RAW_ENGLISH_WRAPPER
taurus_curve,タグ「taurus curve」,taurus curve,RAW_ENGLISH_WRAPPER
temporal_hairline,タグ「temporal hairline」,こめかみの生え際,RAW_ENGLISH_WRAPPER
the_fun_gang,タグ「the fun gang」,The Fun Gang,RAW_ENGLISH_WRAPPER
the_game_awards,タグ「the game awards」,The Game Awards,RAW_ENGLISH_WRAPPER
thinner_than_canon,タグ「thinner than canon」,原作設定より細い,RAW_ENGLISH_WRAPPER
thorn_(elizabeth_rose_bloodflame),タグ「thorn (elizabeth rose bloodflame)」,Thorn（Elizabeth Rose Bloodflame）,RAW_ENGLISH_WRAPPER
tomato_(sword),タグ「tomato (sword)」,Tomato（剣）,RAW_ENGLISH_WRAPPER
transom_window,タグ「transom window」,欄間窓,RAW_ENGLISH_WRAPPER
tre_kronor,タグ「tre kronor」,Tre Kronor,RAW_ENGLISH_WRAPPER
twitter_suki,タグ「twitter suki」,Twitter好き,RAW_ENGLISH_WRAPPER
we_can_do_it!,タグ「we can do it!」,We Can Do It!,RAW_ENGLISH_WRAPPER
