lane,surface_or_canonical,canonical_target,category,post_count,decision,reason
ALIAS_SURFACE,stocking,thighhighs,General,1526834,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,stockings,thighhighs,General,1526834,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,thigh_highs,thighhighs,General,1526834,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,pantie,panties,General,817605,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,butt,ass,General,789016,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,buttocks,ass,General,789016,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,oshiri,ass,General,789016,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,rearend,ass,General,789016,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,open_clothing,open_clothes,General,749984,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,armsleeves,detached_sleeves,General,587714,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,detached_sleeve,detached_sleeves,General,587714,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,leghighs,socks,General,576258,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,sock,socks,General,576258,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,spread_leg,spread_legs,General,349720,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,off-shoulder,off_shoulder,General,344372,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,off_shoulders,off_shoulder,General,344372,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,sheer_clothes,see-through_clothes,General,218456,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,sheer_clothing,see-through_clothes,General,218456,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,translucent_clothing,see-through_clothes,General,218456,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,pubes,pubic_hair,General,188189,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,pubichair,pubic_hair,General,188189,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,body_suit,bodysuit,General,182380,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,pierced,piercing,General,175144,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,piercings,piercing,General,175144,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,absolute_territory,zettai_ryouiki,General,169986,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,big_thighs,thick_thighs,General,159807,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,fat_thighs,thick_thighs,General,159807,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,huge_thighs,thick_thighs,General,159807,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,thunder_thighs,thick_thighs,General,159807,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,drool,saliva,General,151691,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,spit,saliva,General,151691,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,open_blouse,open_shirt,General,150342,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,openshirt,open_shirt,General,150342,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,pubic_hair_(female),female_pubic_hair,General,126776,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,lying_on_side,on_side,General,123717,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,tit_window,cleavage_cutout,General,121662,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,ass_fangs,ass_visible_through_thighs,General,117628,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,butt_fangs,ass_visible_through_thighs,General,117628,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,gluteal_fold,ass_visible_through_thighs,General,117628,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,tank_top_lift,shirt_lift,General,108970,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,top_lift,shirt_lift,General,108970,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,lifted_skirt,skirt_lift,General,94634,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,lifting_skirt,skirt_lift,General,94634,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,fishnet,fishnets,General,92845,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
ALIAS_SURFACE,lifted_by_self,lifting_own_clothes,General,88148,CANDIDATE_SEARCH_ALIAS,verified one-target Danbooru alias for an already accepted Special-covered canonical; keep canonical output unchanged
