identity_key,general_path,general_status,general_confidence,token_count
3d_glasses,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
abs_cutout,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
acorn_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
acorn_pendant,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
adrian_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
affinity_sunglasses_(blue_archive),CLOTHING/ACCESSORY,PROPOSED,HIGH,4
aiguillette,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
airplane_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
ajirogasa,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
alpaca_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
altering_(agito),CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
alternate_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
alternate_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
alternate_halo,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
alternate_headwear,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
alternate_neckwear,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
altyn_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
american_football_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
amigasa,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
ammunition_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
anchor_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
anchor_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
anchor_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
anchor_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
anchor_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
anchor_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_ear_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_headphones,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_headwear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_hood,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
animal_ear_piercing,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,3
animal_earmuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_hood,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
animal_skull_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
ankh_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankh_necklace,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_bell,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
ankle_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_flower,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_garter,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_holster,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_lace-up,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,3
ankle_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_strap,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
ankle_wrap,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
ankleband,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
anklet,CLOTHING/ACCESSORY,PROPOSED,HIGH,1
antler_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
antler_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
antler_ring,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
apple_earrings,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
apple_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
apron_pocket,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua-framed_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
aqua-tinted_eyewear,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
aqua_armband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_ascot,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_assault_visor,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
aqua_belt,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_bowtie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_choker,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_halo,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
aqua_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_headband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_helmet,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_hood,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_neckerchief,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_necktie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_ribbon,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_sash,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_scarf,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_scrunchie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
aqua_visor_cap,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
aqua_wrist_cuffs,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
arched_crown,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
archery_shooting_glove,CLOTHING/ACCESSORY,PROPOSED,HIGH,3
arcle_(kuuga),CLOTHING/ACCESSORY,PROPOSED,MEDIUM,2
argyle_bow,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
argyle_bowtie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
argyle_hairband,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
argyle_hat,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
argyle_necktie,CLOTHING/ACCESSORY,PROPOSED,HIGH,2
