row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-050501,ruberule,1,Artist,"rubewe,rubewe",rubewe,,,ruberule,,[]
I70-050502,salpin,1,Artist,,,,,サルピン,,[]
I70-050503,shenbei_xiaoqiu,1,Artist,jiang-ge,jiang-ge,,,Shenbei Xiaoqiu,,[]
I70-050504,stopu,1,Artist,,,,,,,[]
I70-050505,superpig,1,Artist,,,,,SuperPig,,[]
I70-050506,tomoyuki_kotani,1,Artist,styleos,styleos,,,トモユキ・コタニ,,[]
I70-050507,uguisu_mochi_(ykss35),1,Artist,,,,,うずまぐモチ（YKSS35）,,[]
I70-050508,yakota_(usuk-yako),1,Artist,,,,,ヤコタ（usuk-yako）,,[]
I70-050509,amagasa_yun,1,Artist,,,,,アマガサユン,,[]
I70-050510,aono_(f_i_s),1,Artist,,,,,aono（f i s）,,[]
I70-050511,betti_(xx_betti),1,Artist,emori71758,emori71758,,,,,[]
I70-050512,fujiko_(emnprmn),1,Artist,,,,,藤子（emnprmn）,,[]
I70-050513,futaba_miwa,1,Artist,cube_sugar,cube sugar,,,utaba miwa,,[]
I70-050514,gecchu,1,Artist,,,,,gecchu,,[]
I70-050515,gram_9,1,Artist,"gramstorage,guramu_kyuu-ban",gramstorage | guramu kyuu-ban,,,グラム9,,[]
I70-050516,hiro_hiroki,1,Artist,,,,,ヒロ・ヒロキ,,[]
I70-050517,hisin,1,Artist,,,,,ヒシン,,[]
I70-050518,kaneko_(novram58),1,Artist,,,,,Kaneko（novram58）,,[]
I70-050519,kazawa_(tonzura-d),1,Artist,,,,,カザワ（トンズラ-D）,,[]
I70-050520,kemurin,1,Artist,,,,,ケムリン,,[]
I70-050521,kieyza,1,Artist,,,,,キエザ,,[]
I70-050522,konohoshi,1,Artist,,,,,,,[]
I70-050523,kotobukkii_(yt_lvlv),1,Artist,,,,,kotobukkii（yt lvlv）,,[]
I70-050524,lio_(maguri),1,Artist,"rio_(lio_yuzu),lio_814sky,liomaguri5",lio 814sky | liomaguri5 | rio (lio yuzu),,,,,[]
I70-050525,lunch_boxer,1,Artist,,,,,ランチボクサー,,[]
I70-050526,minami_juujisei,1,Artist,,,,,Minami Juujisei,,[]
I70-050527,miya_(tsumazukanai),1,Artist,,,,,ミヤ（ツマズカナイ）,,[]
I70-050528,miyasaka_miyu,1,Artist,,,,,ミヤサカミユ,,[]
I70-050529,moreshan,1,Artist,,,,,モレシャン,,[]
I70-050530,mosta_(lo1777789),1,Artist,,,,,Mosta（LO1777789）,,[]
I70-050531,motohara_moka,1,Artist,,,,,モトハラモカ,,[]
I70-050532,neonfloyd,1,Artist,"neon_mmj,waffle_drink",neon mmj | waffle drink,,,ネオンフロイド,,[]
I70-050533,nocopyrightgirl,1,Artist,,,,,,,[]
I70-050534,okuma_mai,1,Artist,tamarashi,tamarashi,,,オクママイ,,[]
I70-050535,pinch_(nesume),1,Artist,,,,,ピンチ（nesume）,,[]
I70-050536,sai-go,1,Artist,,,,,saigo,,[]
I70-050537,same_anko,1,Artist,reimu9,reimu9,,,同じアンコ,,[]
I70-050538,shiina_kuro,1,Artist,,,,,シーナ・クロ,,[]
I70-050539,shiosoda,1,Artist,,,,,シオダ,,[]
I70-050540,sino42,1,Artist,,,,,sino42,,[]
I70-050541,tamago_(eva1314056),1,Artist,eva1314056,eva1314056,,,タマゴ（EVA1314056）,,[]
I70-050542,tsuyadashi_shuuji,1,Artist,demour402,demour402,,,ツヤダシ・シュウジ,,[]
I70-050543,umibudou,1,Artist,,,,,umibudou,,[]
I70-050544,yalmyu,1,Artist,,,,,ヤルミュー,,[]
I70-050545,yamamoto_kazue,1,Artist,studio_ego,studio ego,,,山本カズエ,,[]
I70-050546,yuihira_asu,1,Artist,,,,,ユイヒラアス,,[]
I70-050547,zombiyh,1,Artist,,,,,,,[]
I70-050548,amu_(takuya0331),1,Artist,,,,,,,[]
I70-050549,caramelo_game,1,Artist,,,,,,,[]
I70-050550,chakabo,1,Artist,,,,,チャカボ,,[]
