row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note,reviewed_unresolved,review_count,last_review_cycle,last_review_reason
I70-004953,spike_spiegel,Character,652,スパイク・スピーゲル,スパイク・スピーゲル,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004955,yan_qing_(fate),Character,652,燕青,燕青,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004962,hinase_(cookie),Character,651,HNS姉貴,HNS姉貴,要確認,character_youkakunin_final_batch055.csv,,,,,,,,,,
I70-004990,conch_(gundam),Character,646,コンチ,コンチ,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-005006,mlynar_(arknights),Character,644,ムリナール,ムリナール,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-005011,daifuku_(yukihana_lamy),Character,643,だいふく（雪花ラミィ）,だいふく（雪花ラミィ）,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,,,,,
I70-005021,hubert_von_vestra,Character,642,ヒューベルト＝フォン＝ベストラ,ヒューベルト＝フォン＝ベストラ,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-005034,king_(aotu_world),Character,640,金,金,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-005037,sasori_(naruto),Character,640,サソリ,サソリ,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-005062,kamio_reiji_(yua),Character,636,カミオ・レイジ（ユア）,カミオ・レイジ（ユア）,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-005067,lexington_(warship_girls_r),Character,635,レキシントン（戦艦少女R）,レキシントン（戦艦少女R）,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-005075,ishtar_(fire_emblem),Character,634,イシュタル,イシュタル,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-061358,fujita_mariko,Artist,141,藤田まり子,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-061411,nogami_takeshi,Artist,141,野上武志,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-061436,takani_yoshiyuki,Artist,141,高荷義之,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-061758,aizawa_chihiro,Artist,138,藍沢ちひろ,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-061815,kishi_torajirou,Artist,138,岸虎次郎,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-061848,oomura_yuusuke,Artist,138,大村祐介,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-062231,iwasaki_masakazu,Artist,135,いわさきまさかず,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-062340,yano_akane,Artist,135,矢野茜,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-062664,yoshimizu_kagami,Artist,133,美水かがみ,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-062733,manabe_jouji,Artist,132,真鍋譲治,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-062871,kawamura_toshie,Artist,131,川村敏江,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-063136,amano_yoshitaka,Artist,129,天野喜孝,,semantic artist audit: independently verified Japanese name,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-039895,morimens,Copyright,179,忘却前夜,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039900,ace_attorney_investigations:_miles_edgeworth,Copyright,178,逆転検事,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039905,gouketsuji_ichizoku,Copyright,178,豪血寺一族,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039908,kure-nai,Copyright,178,紅kure-nai,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039920,kemono_friends_kingdom,Copyright,177,动物朋友王国,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039928,beelzebub_(manga),Copyright,176,べるぜバブ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-039935,meiji_(brand),Copyright,176,明治,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039943,sweethex,Copyright,176,恋人,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039947,yakin_byoutou,Copyright,176,夜勤病栋,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039949,agarest_senki,Copyright,175,アガレスト戦記,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-039952,bakugan,Copyright,175,爆丸,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039957,koimonogatari,Copyright,175,恋物語,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
