special_id,canonical,dimension,before,after,practical_rationale
12,buttjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
13,cloth glansjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
16,cooperative footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
17,cooperative handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
19,cuddling handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
20,double footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
21,double handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
24,footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
25,footjob from behind,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
26,footjob under table,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
27,footjob with boots,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
28,footjob with footwear,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
29,footjob with legwear,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
30,footjob with sandals,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
31,footjob with shoes,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
33,glansjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
37,hairjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
38,handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
41,implied footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
43,kneepit sex,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
44,legjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
48,nursing handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
50,reach-around,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
51,reverse footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
52,reverse nursing handjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
55,simulated footjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
56,tailjob,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
60,thigh sex,body_site,,男性器,Intrinsic target site for the generation concept; old v1 route omitted the cross-cutting body-site facet.
