special_id,old_body_facet_id,old_body_facet_ja,new_body_facet_id,new_body_facet_ja,audit_subintent,audit_status
1,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
2,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
3,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
4,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
34,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,BUTTOCK,RESOLVED
101,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
145,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL,RESOLVED
146,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
147,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
148,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
149,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
150,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
151,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
152,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
153,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
154,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
155,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
156,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
157,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
158,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
159,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
160,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
161,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
162,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
163,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
164,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
165,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
166,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
167,BUTTOCK_ANUS,臀部・肛門（暫定）,BUTTOCK_ANAL,尻・肛門,ANAL_RECTAL_EXPLICIT_V1_ROUTE,RESOLVED
