review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
228,alpha_legion,YES,"『Warhammer 40,000』の固有勢力Alpha Legion",SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://aos.warhammerism.com/warhammer-40k/factions/chaos-space-marines/alpha-legion""]",
231,russian_ground_forces,YES,ロシア陸軍を表す軍事組織・所属参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Russian_Ground_Forces""]",
234,swan_boat,YES,白鳥型のボート・足こぎボート,BROWSE_WORTHY,TOOL_OBJECT,CORE,乗り物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/VEHICLE""]",[],[],NO,,CHECKED,[],
237,celestica_flute,YES,『Pokémon LEGENDS アルセウス』の固有アイテム「Celestica Flute」,MIXED,TOOL_OBJECT,CORE,笛という小道具として視覚的に探せる,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,RESEARCHED,"[""https://pokemon.fandom.com/wiki/Celestica_Flute""]",
240,mechanical_heart,YES,機械式・人工機械として表現された心臓,BROWSE_WORTHY,TOOL_OBJECT,CORE,機械部品的な視覚オブジェクトとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
243,mushroom,YES,キノコ,BROWSE_WORTHY,LIVING,CORE,生物・菌類の自然要素としてシーンに加える対象,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
246,triangle_bra,YES,三角形カップのブラジャー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,下着の種類として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
249,cammy_stretch_(meme),YES,『Street Fighter 6』のキャミィのストレッチに由来する反り腰・腕上げポーズのミーム,MIXED,POSE_POSITION,CORE,特徴的な身体ポーズとして視覚的に探せる,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/cammy_stretch_(meme)""]",
252,impossible_hair,YES,現実には成立しにくい誇張・不可能な髪型,BROWSE_WORTHY,HAIR_FACE,CORE,髪型・髪の形状として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
255,telekinetic_stimulation,YES,念動力で身体を性的に刺激する表現,BROWSE_WORTHY,ACTION_CONTACT,CORE,性的刺激という行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]",[],[],NO,,CHECKED,[],
258,imminent_netorare,YES,寝取られが間もなく起こる直前の状況・場面,BROWSE_WORTHY,RELATION_ROLE,CORE,寝取られに至る人物関係・状況として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/imminent_netorare""]",
261,object_insertion_from_behind,YES,背後から物体を身体へ挿入する性的行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,挿入行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]",[],[],NO,,CHECKED,[],
264,how_to_talk_to_short_people_(meme),YES,「How to Talk to Short People」の二者の身長差と対話姿勢を使う定型ミーム,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://knowyourmeme.com/memes/how-to-talk-to-short-people""]",
267,animal_ear_earrings,YES,動物の耳を意匠にしたイヤリング,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,耳に着けるアクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
270,spray_paint,YES,スプレー塗料・スプレーペイント缶,BROWSE_WORTHY,TOOL_OBJECT,CORE,道具・小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
273,bound_breasts,YES,乳房を縄などで縛った状態,BROWSE_WORTHY,BODY_SITE,CORE,乳房の拘束状態が主要な視覚,,,,,,,[],"[""BREAST_NIPPLE""]","[""BDSM_RESTRAINT""]",NO,,CHECKED,[],
276,penguin_ornament,YES,ペンギンを意匠にした装飾品・オーナメント,BROWSE_WORTHY,TOOL_OBJECT,CORE,装飾小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
279,gold_petals,YES,金色の花びら,BROWSE_WORTHY,LIVING,CORE,花びらという植物要素として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
282,bite_mark_on_ass,YES,尻に付いた噛み跡,BROWSE_WORTHY,BODY_SITE,CORE,尻の損傷・痕跡が主要な視覚,,,,,,,[],"[""BUTTOCK_ANAL""]","[""INJURY_R18G""]",NO,,CHECKED,[],
285,asahina_mikuru_(cosplay),YES,朝比奈みくるの衣装を再現したコスプレ,MIXED,CLOTHING_EXPOSURE,CORE,キャラクター衣装として視覚的に探せる,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
288,bike_jersey,YES,自転車競技用ジャージ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服・スポーツウェアとして探すのが自然,,,,,,,"[""CLOTHING/UNIFORM""]",[],[],NO,,CHECKED,[],
291,torn_hair_ribbon,YES,破れた髪リボン,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,髪に着けるアクセサリーの損傷状態として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
294,that's_your_girlfriend_(meme),YES,"「Dude, Chill. That’s Your Girlfriend」に由来する定型ミーム・再現構図",SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://knowyourmeme.com/memes/dude-chill-thats-your-girlfriend""]",
297,bunker,YES,地下壕・防空壕・軍事用バンカー,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・背景環境として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
300,against_chalkboard,YES,人物が黒板に身体を寄せる・押し付ける位置関係,BROWSE_WORTHY,POSE_POSITION,CORE,身体と黒板の位置関係を指定するポーズとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
