review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
3,abhaya_mudra,YES,手のひらを外へ向けて掲げる施無畏印の手勢,BROWSE_WORTHY,POSE_POSITION,CORE,手・腕の形を指定するポーズとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
6,ophanim_halo,YES,オファニム（車輪天使）を思わせる多重輪・眼などを伴う光輪表現,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人外・天使的な身体装飾／形態として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://megatenwiki.com/wiki/Ophanim""]",固有のhalo意匠としての細部定義は参照先で直接確認できない
9,broken_condom,YES,破損・破れたコンドーム,BROWSE_WORTHY,TOOL_OBJECT,CORE,性具・小物としてシーンに置く対象,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
12,hands_on_own_legs,YES,自分の脚に両手または手を置く姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,手と脚の配置そのものを指定するポーズ,,,,,,,[],[],[],NO,,CHECKED,[],
15,myoukou_pose_(meme),YES,『艦これ』妙高の中破絵に由来する特徴的なポーズのミーム,MIXED,POSE_POSITION,CORE,再現可能な身体ポーズとして視覚的に探せる,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://knowyourmeme.com/memes/moderately-damaged-myoukou""]",
18,heart_in_heart_hands,YES,ハート形の手の中にさらにハートを作る手勢,BROWSE_WORTHY,POSE_POSITION,CORE,手指の形を指定するポーズとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
21,market,YES,市場・マーケットの場面,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・環境として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
24,3others,YES,主要対象以外に3人の人物がいる人数構成,BROWSE_WORTHY,PEOPLE_COUNT,CORE,人数構成として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
27,wanwan_wonderful_(idolmaster),YES,『アイドルマスター』に属する「Wanwan Wonderful」という固有参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/wanwan_wonderful_(idolmaster)""]",公開検索では固有参照の詳細を十分確認できず、名称検索向けとして保守的に扱う
30,forced_lactation,YES,強制的に母乳を出させる・授乳させる成人向け表現,BROWSE_WORTHY,FLUID_EXCRETION,CORE,乳汁・分泌の視覚表現が中心,,,,,,,[],[],"[""REPRO_PREGNANCY_LACTATION""]",NO,,CHECKED,[],
33,toilet_stall,YES,トイレの個室・仕切られた便所ブース,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・背景設備として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
36,grey_headscarf,YES,灰色のヘッドスカーフ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,頭部に着ける服飾品として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
39,spiked_thighlet,YES,棘付きの太もも用アクセサリー・腿飾り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,身につける装飾品として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
42,double_vertical_stripe,YES,二本の縦縞・縦線模様,BROWSE_WORTHY,COLOR_PATTERN_SHAPE,CORE,柄・形そのものを指定する視覚属性,,,,,,,[],[],[],NO,,CHECKED,[],
45,ice_cream_cone_spill,YES,アイスクリームコーンの中身がこぼれた状態,BROWSE_WORTHY,TOOL_OBJECT,CORE,食べ物・小物の状態として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
48,hands_on_own_knees,YES,自分の膝に手を置く姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,手と膝の配置を指定するポーズ,,,,,,,[],[],[],NO,,CHECKED,[],
51,hedgehog_boy,YES,ハリネズミの針・耳・尾などを持つ少年,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人間に動物的特徴が加わった外観として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/hedgehog_boy""]",
54,white_romper,YES,白いロンパース,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の種類として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
