review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
678,hands_on_another's_thighs,YES,両手または手を相手の太ももに置く身体接触,BROWSE_WORTHY,ACTION_CONTACT,CORE,人物間の手と太ももの接触として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
681,print_bed_sheet,YES,柄やプリントの入ったベッドシーツ,BROWSE_WORTHY,TOOL_OBJECT,CORE,寝具・布製小物として探すのが自然,COLOR_PATTERN_SHAPE,SUPPORTING,プリント柄自体も独立した視覚意図になる,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
684,dark_pit_staff_(kid_icarus),YES,『Kid Icarus: Uprising』のDark Pit Staffという固有武器,MIXED,TOOL_OBJECT,CORE,杖型・射撃武器として視覚的に探せる,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,RESEARCHED,"[""https://www.kidicaruswiki.org/wiki/Dark_Pit_Staff""]",
687,chained_wrists,YES,手首を鎖で拘束された状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,拘束行為・状態として探すのが自然,,,,,,,[],[],"[""BDSM_RESTRAINT""]",NO,,CHECKED,[],
690,amiya_(arknights)_(cosplay),YES,『Arknights』のAmiyaの衣装を再現したコスプレ,MIXED,CLOTHING_EXPOSURE,CORE,キャラクター衣装として視覚的に探せる,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
693,apron_pull,YES,エプロンを引っ張る・引き寄せる動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,衣服を引く動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
696,gingham_background,YES,ギンガムチェック柄の背景,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,背景の見た目として探すのが自然,COLOR_PATTERN_SHAPE,SUPPORTING,ギンガム柄自体も独立した視覚意図になる,,,,[],[],[],NO,,CHECKED,[],
699,wataboushi,YES,和装の花嫁が着用する綿帽子,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,頭部衣装・婚礼装束として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
702,phantometal_(paradox_live),YES,『Paradox Live』で幻影を生み出す特殊金属・それを含むアクセサリーPhantometal,MIXED,TOOL_OBJECT,CORE,作品固有の物質・アクセサリーとして視覚対象になりうる,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Paradox_Live""]",
705,crescent_print,YES,三日月模様のプリント,BROWSE_WORTHY,COLOR_PATTERN_SHAPE,CORE,三日月形の反復・印刷模様として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
708,cruxis_wings_(tales),YES,『Tales of Symphonia』のCruxis Crystalにより現れる天使状の翼,MIXED,NONHUMAN_TRANSFORM,CORE,人物に現れる作品固有の翼特徴として探せる,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Tales_of_Symphonia""]",
