lane_local_index,review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
1,2,headband_around_neck,YES,ヘッドバンドを首まわりに着けている状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,身につけ方を含む服飾アクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
2,5,master_crown,YES,『星のカービィ』シリーズの固有アイテム「マスタークラウン」,MIXED,CLOTHING_EXPOSURE,CORE,王冠という装身具の見た目からも探せる,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,RESEARCHED,"[""https://wikirby.com/wiki/Master_Crown_(boss)""]",固有名検索も自然
3,8,prostitution,YES,金銭などの対価を伴う売春・性的サービスの場面,BROWSE_WORTHY,RELATION_ROLE,CORE,人物の役割・関係性として場面を探す入口が自然,,,,,,,[],[],[],NO,,CHECKED,[],
4,11,ronald_mcdonald_(cosplay),YES,ロナルド・マクドナルドの衣装を再現するコスプレ,MIXED,CLOTHING_EXPOSURE,CORE,コスプレ衣装として視覚的に探せる,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
5,14,blood_trail,YES,血が線状・跡状に残っている表現,BROWSE_WORTHY,FLUID_EXCRETION,CORE,血液の痕跡そのものが主要な視覚要素,,,,,,,[],[],"[""INJURY_R18G""]",NO,,CHECKED,[],
6,17,brace,YES,「brace」という単独語で示される対象,SEMANTIC_UNRESOLVED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://dictionary.cambridge.org/dictionary/english/brace""]",braceは装具・歯列矯正器具・支え等の多義語で、このidentityだけではDanbooru上の意図を安全に特定できない
7,20,body_soaping,YES,身体に石けんを付けて洗う行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,身体を洗う行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
8,23,cruiser,YES,巡洋艦などのクルーザー型船舶,BROWSE_WORTHY,TOOL_OBJECT,CORE,船舶・乗り物としてシーンに加える対象,,,,,,,"[""OBJECT_PROP/VEHICLE""]",[],[],NO,,RESEARCHED,"[""https://dictionary.cambridge.org/dictionary/english/cruiser""]",英語cruiserには複数の乗り物用法があるが、いずれも乗り物入口が共通して有用
9,26,metal_collar,YES,金属製の首輪・カラー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,首に装着するアクセサリーとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
10,29,two-sided_jacket,YES,表裏・両面を使えるリバーシブル系ジャケット,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,ジャケットの種類として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,RESEARCHED,"[""https://hbx.com/men/brands/j-eongl-i/river-reversible-blouson-black""]",
11,32,omegaverse,YES,オメガバースという固有の創作世界設定・属性体系,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
