identity_key,reviewed_class,pilot_review_status,review_reason
restraints,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
condom_in_mouth,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
panties_on_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
floating_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
cuffed,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
excessive_saliva,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
ora_ora_get_pregnant_(meme),SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breasts_day,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
fertilization,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
plap_plap_plap_get_pregnant_(meme),SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
cunt_punt,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
lube_on_breasts,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
viewer_on_leash,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_pool,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breasts_on_table,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_trail,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
sperm_circle_tattoo,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
condom_between_breasts,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
condom_on_ass,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
groping_motion,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
pointless_condom,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breast_shake,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
sabotaged_condom,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
pole_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
perky_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
condom_wrapper_in_clothes,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
weapon_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
face_in_armpit,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
holding_own_leash,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
legless_amputee,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_pull,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
phone_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
veiny_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_implants,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
knee_boobs,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
breast_conscious,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_punch,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
microphone_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_strap,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
heart-shaped_boob_challenge,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_contest,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
gun_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
rope_marks,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
female_fertilization,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
oppai_mochi,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
goggles_around_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
electrostimulation,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_massage,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
large_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
buttjob_under_clothes,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
pink_leash,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_pile,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
long-tailed_tit,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
putting_on_condom,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breast_padding,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
blood_from_forehead,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
oppai_oppai,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
hand_in_another's_panties,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
compressed_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
oppai_hoodie,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
animal_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
stethoscope_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
sword_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
yaoi_(object),NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
card_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
ink_on_breast,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
extended_downblouse,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
surrounded_by_breasts,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
extended_upskirt,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
yuri,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
single_handcuff,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
mouth_drool,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
