identity_key,reviewed_class,pilot_review_status,review_reason
breasts_on_shoulders,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
chain_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
extra_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
bleeding_heart_(flower),NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
kissing_breast,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
small_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
drooling_blood,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
mole_on_areola,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
chain_leash,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
smelly_armpits,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
armless_amputee,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_reduction,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
towel_around_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
intestine_clothing,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
book_on_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
yuri_(object),NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
powerful_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
neckerchief_between_breasts,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_trail_between_teeth,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
male_underwear_aside,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
